Cell Line Name	Best Cell Line Name
697	697
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697
CDDB:1	697
ACH-000070	697
idCell:9	697
862	862
862_LUNG	862
CDDB:2	862
idCell:1092	862
5637	5637
5637_URINARY_TRACT	5637
CDDB:3	5637
ACH-000905	5637
idCell:6	5637
2313287	2313287
2313287_STOMACH	2313287
23132-87	2313287
23132/87	2313287
CDDB:4	2313287
ACH-000948	2313287
idCell:4	2313287
1321N1	1321N1
1321N1_CENTRAL_NERVOUS_SYSTEM	1321N1
CDDB:5	1321N1
ACH-001000	1321N1
idCell:1	1321N1
143B	143B
143B_BONE	143B
CDDB:6	143B
ACH-001001	143B
idCell:2	143B
22RV1	22RV1
22RV1_PROSTATE	22RV1
22Rv1	22RV1
CDDB:7	22RV1
ACH-000956	22RV1
idCell:3	22RV1
253J	253J
253J_URINARY_TRACT	253J
CDDB:8	253J
ACH-000011	253J
idCell:826	253J
253JBV	253JBV
253JBV_URINARY_TRACT	253JBV
253J-BV	253JBV
CDDB:9	253JBV
ACH-000026	253JBV
idCell:827	253JBV
42MGBA	42MGBA
42MGBA_CENTRAL_NERVOUS_SYSTEM	42MGBA
42-MG-BA	42MGBA
CDDB:10	42MGBA
ACH-000323	42MGBA
idCell:5	42MGBA
451LU	451LU
451LU_SKIN	451LU
CDDB:11	451LU
ACH-001002	451LU
idCell:1099	451LU
501MEL	501MEL
501MEL_SKIN	501MEL
CDDB:12	501MEL
idCell:1100	501MEL
59M	59M
59M_OVARY	59M
CDDB:13	59M
ACH-000520	59M
idCell:1003	59M
639V	639V
639V_URINARY_TRACT	639V
639-V	639V
CDDB:14	639V
ACH-000973	639V
idCell:7	639V
647V	647V
647V_URINARY_TRACT	647V
647-V	647V
CDDB:15	647V
ACH-000896	647V
idCell:8	647V
769P	769P
769P_KIDNEY	769P
769-P	769P
CDDB:16	769P
ACH-000411	769P
idCell:10	769P
769PNEO	769PNEO
CDDB:17	769PNEO
idCell:1101	769PNEO
769PVHL	769PVHL
769P_KIDNEY_VHL	769PVHL
CDDB:18	769PVHL
idCell:1102	769PVHL
786O	786O
786O_KIDNEY	786O
786-O	786O
CDDB:19	786O
ACH-000649	786O
idCell:11	786O
idCell:806	786O
8305C	8305C
8305C_THYROID	8305C
CDDB:20	8305C
ACH-001306	8305C
idCell:12	8305C
8505C	8505C
8505C_THYROID	8505C
CDDB:21	8505C
ACH-001307	8505C
idCell:13	8505C
8MGBA	8MGBA
8MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA
8-MG-BA	8MGBA
CDDB:22	8MGBA
ACH-000137	8MGBA
idCell:14	8MGBA
idCell:807	8MGBA
A101D	A101D
A101D_SKIN	A101D
CDDB:23	A101D
ACH-000008	A101D
idCell:15	A101D
A1207	A1207
A1207_CENTRAL_NERVOUS_SYSTEM	A1207
CDDB:24	A1207
ACH-000283	A1207
idCell:1062	A1207
A172	A172
A172_CENTRAL_NERVOUS_SYSTEM	A172
CDDB:25	A172
ACH-000558	A172
idCell:16	A172
A204	A204
A204_SOFT_TISSUE	A204
A-204	A204
CDDB:26	A204
ACH-000201	A204
idCell:17	A204
A2058	A2058
A2058_SKIN	A2058
CDDB:27	A2058
ACH-000788	A2058
idCell:18	A2058
A253	A253
A253_SALIVARY_GLAND	A253
A-253	A253
CDDB:28	A253
ACH-000740	A253
idCell:19	A253
A2780	A2780
A2780_OVARY	A2780
CDDB:29	A2780
ACH-000657	A2780
idCell:20	A2780
A375	A375
A375_SKIN	A375
A-375	A375
CDDB:30	A375
ACH-000219	A375
idCell:21	A375
A3KAW	A3KAW
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3KAW
A3-KAW	A3KAW
A3/KAW	A3KAW
CDDB:31	A3KAW
ACH-000697	A3KAW
idCell:22	A3KAW
A427	A427
A427_LUNG	A427
A-427	A427
CDDB:32	A427
ACH-000757	A427
A498	A498
A498_KIDNEY	A498
A-498	A498
CDDB:33	A498
ACH-000555	A498
idCell:23	A498
A4FUK	A4FUK
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4FUK
A4-Fuk	A4FUK
A4/Fuk	A4FUK
CDDB:34	A4FUK
ACH-000157	A4FUK
idCell:24	A4FUK
A549	A549
A549_LUNG	A549
CDDB:35	A549
ACH-000681	A549
idCell:25	A549
A549BAXBAKDKO	A549BAXBAKDKO
A549BAXBAKDKO_ENGINEERED	A549BAXBAKDKO
CDDB:36	A549BAXBAKDKO
A673	A673
A673_BONE	A673
A-673	A673
CDDB:37	A673
ACH-000052	A673
idCell:26	A673
A7	A7
CDDB:38	A7
idCell:1045	A7
A704	A704
A704_KIDNEY	A704
A-704	A704
CDDB:39	A704
ACH-000429	A704
idCell:1005	A704
ABC1	ABC1
ABC1_LUNG	ABC1
ABC-1	ABC1
CDDB:40	ABC1
ACH-000528	ABC1
idCell:27	ABC1
ACCMESO1	ACCMESO1
ACCMESO1_PLEURA	ACCMESO1
ACC-MESO-1	ACCMESO1
CDDB:41	ACCMESO1
ACH-000086	ACCMESO1
idCell:828	ACCMESO1
ACCS	ACCS
ACCS_URINARY_TRACT	ACCS
CDDB:42	ACCS
ACH-001011	ACCS
idCell:28	ACCS
ACHN	ACHN
ACHN_KIDNEY	ACHN
CDDB:43	ACHN
ACH-000046	ACHN
idCell:29	ACHN
AGS	AGS
AGS_STOMACH	AGS
CDDB:44	AGS
ACH-000880	AGS
idCell:30	AGS
ALLSIL	ALLSIL
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALLSIL
ALL-SIL	ALLSIL
CDDB:46	ALLSIL
ACH-000105	ALLSIL
idCell:32	ALLSIL
AM38	AM38
AM38_CENTRAL_NERVOUS_SYSTEM	AM38
AM-38	AM38
CDDB:47	AM38
ACH-000269	AM38
idCell:33	AM38
AML193	AML193
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML193
AML-193	AML193
CDDB:48	AML193
ACH-000557	AML193
idCell:34	AML193
AMO1	AMO1
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO1
AMO-1	AMO1
CDDB:49	AMO1
ACH-000838	AMO1
idCell:35	AMO1
AN3CA	AN3CA
AN3CA_ENDOMETRIUM	AN3CA
AN3-CA	AN3CA
AN3 CA	AN3CA
CDDB:50	AN3CA
ACH-000940	AN3CA
idCell:36	AN3CA
ARP1	ARP1
ARP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ARP1
CDDB:51	ARP1
idCell:1103	ARP1
ASPC1	ASPC1
ASPC1_PANCREAS	ASPC1
AsPC-1	ASPC1
CDDB:52	ASPC1
ACH-000222	ASPC1
idCell:37	ASPC1
AU565	AU565
AU565_BREAST	AU565
CDDB:53	AU565
ACH-000248	AU565
idCell:38	AU565
AZ521	AZ521
AZ521_STOMACH	AZ521
CDDB:54	AZ521
ACH-001015	AZ521
idCell:39	AZ521
BC3C	BC3C
BC3C_URINARY_TRACT	BC3C
BC-3C	BC3C
CDDB:55	BC3C
ACH-000593	BC3C
idCell:40	BC3C
BCP1	BCP1
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP1
BCP-1	BCP1
CDDB:56	BCP1
ACH-000923	BCP1
idCell:41	BCP1
BCPAP	BCPAP
BCPAP_THYROID	BCPAP
B-CPAP	BCPAP
CDDB:57	BCPAP
ACH-000456	BCPAP
idCell:42	BCPAP
BDCM	BDCM
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM
CDDB:58	BDCM
ACH-000080	BDCM
idCell:43	BDCM
BECKER	BECKER
BECKER_CENTRAL_NERVOUS_SYSTEM	BECKER
Becker	BECKER
CDDB:59	BECKER
ACH-001016	BECKER
idCell:44	BECKER
BEN	BEN
BEN_LUNG	BEN
CDDB:60	BEN
ACH-000603	BEN
idCell:45	BEN
BFTC905	BFTC905
BFTC905_URINARY_TRACT	BFTC905
BFTC-905	BFTC905
CDDB:61	BFTC905
ACH-000802	BFTC905
idCell:46	BFTC905
BFTC909	BFTC909
BFTC909_KIDNEY	BFTC909
BFTC-909	BFTC909
CDDB:62	BFTC909
ACH-000792	BFTC909
idCell:47	BFTC909
BGC823	BGC823
BGC823_STOMACH	BGC823
CDDB:63	BGC823
ACH-001017	BGC823
idCell:48	BGC823
BHT101	BHT101
BHT101_THYROID	BHT101
BHT-101	BHT101
CDDB:64	BHT101
ACH-000191	BHT101
idCell:49	BHT101
BHY	BHY
BHY_UPPER_AERODIGESTIVE_TRACT	BHY
CDDB:65	BHY
ACH-000548	BHY
idCell:50	BHY
BICR16	BICR16
BICR16_UPPER_AERODIGESTIVE_TRACT	BICR16
BICR-16	BICR16
BICR 16	BICR16
CDDB:66	BICR16
ACH-000503	BICR16
idCell:982	BICR16
BICR18	BICR18
BICR18_UPPER_AERODIGESTIVE_TRACT	BICR18
BICR-18	BICR18
BICR 18	BICR18
CDDB:67	BICR18
ACH-000992	BICR18
idCell:829	BICR18
BICR22	BICR22
BICR22_UPPER_AERODIGESTIVE_TRACT	BICR22
BICR-22	BICR22
BICR 22	BICR22
CDDB:68	BICR22
ACH-000794	BICR22
idCell:983	BICR22
BICR31	BICR31
BICR31_UPPER_AERODIGESTIVE_TRACT	BICR31
BICR-31	BICR31
BICR 31	BICR31
CDDB:69	BICR31
ACH-000228	BICR31
idCell:984	BICR31
BICR56	BICR56
BICR56_UPPER_AERODIGESTIVE_TRACT	BICR56
BICR-56	BICR56
BICR 56	BICR56
CDDB:70	BICR56
ACH-000771	BICR56
idCell:985	BICR56
BICR6	BICR6
BICR6_UPPER_AERODIGESTIVE_TRACT	BICR6
BICR-6	BICR6
BICR 6	BICR6
CDDB:71	BICR6
ACH-000415	BICR6
idCell:986	BICR6
BJ	BJ
CDDB:72	BJ
idCell:1159	BJ
BJHTERT	BJHTERT
BJHTERT_FIBROBLAST	BJHTERT
BJHTERT_SKIN	BJHTERT
CDDB:73	BJHTERT
ACH-001018	BJHTERT
BL41	BL41
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL41
BL-41	BL41
CDDB:74	BL41
ACH-000245	BL41
idCell:51	BL41
BL70	BL70
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL70
BL-70	BL70
CDDB:75	BL70
ACH-000402	BL70
idCell:52	BL70
BT112	BT112
CDDB:77	BT112
idCell:1180	BT112
BT131	BT131
CDDB:78	BT131
idCell:1201	BT131
BT139	BT139
CDDB:79	BT139
idCell:1195	BT139
BT145	BT145
CDDB:80	BT145
idCell:1181	BT145
BT147	BT147
CDDB:81	BT147
idCell:1202	BT147
BT159	BT159
CDDB:82	BT159
idCell:1196	BT159
BT164	BT164
CDDB:83	BT164
idCell:1182	BT164
BT172	BT172
CDDB:84	BT172
idCell:1203	BT172
BT179	BT179
CDDB:85	BT179
idCell:1183	BT179
BT181	BT181
CDDB:86	BT181
idCell:1204	BT181
BT182	BT182
CDDB:87	BT182
idCell:1205	BT182
BT187	BT187
CDDB:88	BT187
idCell:1197	BT187
BT189	BT189
CDDB:89	BT189
idCell:1206	BT189
