	Sample 0	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Sample 19	Sample 20	Sample 21	Sample 22	Sample 23	Sample 24	Sample 25	Sample 26	Sample 27	Sample 28	Sample 29	Sample 30	Sample 31	Sample 32	Sample 33	Sample 34	Sample 35	Sample 36	Sample 37	Sample 38	Sample 39	Sample 40	Sample 41	Sample 42	Sample 43	Sample 44	Sample 45	Sample 46	Sample 47	Sample 48	Sample 49	Sample 50	Sample 51	Sample 52	Sample 53	Sample 54	Sample 55	Sample 56	Sample 57	Sample 58	Sample 59	Sample 60	Sample 61	Sample 62	Sample 63	Sample 64	Sample 65	Sample 66	Sample 67	Sample 68	Sample 69	Sample 70	Sample 71	Sample 72	Sample 73	Sample 74	Sample 75	Sample 76	Sample 77	Sample 78	Sample 79
Sample 0	0.0	0.3191594106511719	0.9870659088656052	0.37733846712261954	0.8940562256077496	0.8611932197322046	0.7750394928485834	0.6448857134067045	0.7463805861246923	0.40083527348163217	0.6789276422787923	0.0936308163307035	0.8060515547798917	0.34347031191469407	0.6146321256070848	0.7105900200048764	0.5868316411512527	1.0353664831841694	0.2281384505985498	0.697690208519123	0.8714293014632227	0.8265871576682947	0.5927441302069479	0.06106156738846696	0.8571007134700954	0.5822333105262683	0.5386447855172388	0.26847651861265176	0.19912267530907016	0.14275136557197307	0.7104713971355415	0.3408158182377317	0.6210266751666471	0.4198841457823046	0.61372303800556	1.0245115256451565	0.27809862381136585	0.1869547447534172	0.5576551813041138	0.4873933658364952	0.5659397473425105	0.4440351805287024	0.5541319591610524	0.3534473375239586	0.3371964187693417	0.9689701270036926	0.9426587171659263	0.17759995794436734	0.7204357591291919	0.418422240213391	0.36681185958780427	0.4156175761911674	0.3730401981773961	0.7374953011957636	0.5164770590249311	0.24678392010731837	0.8927303046011101	0.726223880921678	0.9326416221299426	0.7468300996672005	0.6497867125726186	0.8726587181479633	0.4536926868727415	0.8898691314539384	0.6157557957789191	0.2930617396646772	0.7422666367088915	0.5400109256418143	0.8490098808695182	0.6146276837041416	0.6525183183674784	0.5087242873175973	0.6827550931796514	0.5631265601644225	1.015589605183288	0.7799949630732538	0.5828813821475832	0.6344687612463861	0.4460447255930385	0.3321697526415511
Sample 1	0.3191594106511719	0.0	0.6730933011693141	0.11717368811611993	0.5833361453304873	0.5452498379362068	0.46884313439925895	0.34306794802624213	0.4508211349682446	0.08324828131777601	0.3618059168052235	0.2602983470604685	0.4951329378828538	0.22519423214115653	0.3015701366897817	0.4648829732821759	0.2713108849432039	0.7250438446418518	0.3306263736268084	0.3815336652252188	0.6057083311813418	0.5728692471287605	0.28946995722673213	0.2942452505249738	0.5873889244400138	0.3573900755131766	0.22046063563477772	0.4845936003783142	0.40990480473359386	0.27609176753663484	0.3938165077601038	0.20279288143083288	0.3036858781707125	0.10923740380390484	0.3161642461323696	0.7062048053156079	0.21393447466608587	0.17698782220151632	0.2427491152386808	0.1837452954684544	0.28494580063084735	0.1404563710195863	0.2442404667948365	0.05225107412288205	0.07484945184448627	0.6558761280959651	0.7590394729174352	0.17821687785328005	0.490366755934376	0.22546343121320997	0.14248898596702544	0.32451046111508164	0.11039839304403218	0.4342139191079355	0.26760330548379707	0.2018762250109969	0.5934925389250203	0.42107431174987087	0.6182481599752399	0.46850370139506814	0.3360728132670225	0.6499233323101313	0.1980946424899784	0.6373600108353822	0.420149530051165	0.08111129201014726	0.4289099545778563	0.3254620539225889	0.5365358308714524	0.30402253636116494	0.35770521010827344	0.19621438444700404	0.3693847705997068	0.30786659844234376	0.6985958210455684	0.5542755024763776	0.425842944489036	0.31877328824068496	0.21830235266752504	0.0861389878661255
Sample 2	0.9870659088656052	0.6730933011693141	0.0	0.6169406958517656	0.32277608369684213	0.14172738453766168	0.383245992798565	0.45930967052000804	0.2753453418317047	0.5987096649988783	0.35713799138130353	0.9170337473210451	0.3350811797764992	0.7162619746129738	0.42964911645994625	0.6229523672763116	0.40191420450245613	0.3507420554190306	0.9111746758865572	0.2928814482166391	0.58173582284963	0.6164306888176242	0.4824989977263619	0.9659920185877862	0.5619890848794561	0.5153140974972367	0.46838839199711624	1.1426836375209661	1.0709198787133076	0.906255447308443	0.2819759238803941	0.776828123318325	0.37682781166744017	0.568620966165105	0.4885264185966788	0.20439097731336148	0.7682635427482547	0.8151213618912606	0.4657793191572278	0.5466989487213167	0.45041315202749793	0.5824807818239138	0.4331272420100058	0.6499193982708753	0.675725310523609	0.036609704663103836	0.891972599439669	0.8471915828973232	0.6690647165610482	0.722638527655923	0.6409633278916643	0.7321162788110595	0.6559503008351353	0.26540975867144406	0.5168153529263395	0.8403149757466011	0.1750037231083628	0.40810437462577004	0.08979713003690702	0.32028451810452335	0.40503781735023486	0.7368047609111524	0.633869341319794	0.6388749970131221	0.5552050393644978	0.7262275738409011	0.35000767428316165	0.5489144416750977	0.30710423369840806	0.44245245952150214	0.48037375770369983	0.49470291880488937	0.30478255818335975	0.6090944976584346	0.24594282605485357	0.6955081647753473	0.6297121387589409	0.40151971647312146	0.5827057177734617	0.6581127857469384
Sample 3	0.37733846712261954	0.11717368811611993	0.6169406958517656	0.0	0.5857065402330764	0.49528760514199704	0.48367612201897947	0.3703691662723001	0.36904358269476273	0.1325360882647865	0.35003067328779786	0.31233477683256516	0.4994963079427938	0.1454992137397032	0.3130833713537036	0.5261806879449519	0.22985899734736415	0.7238618987272587	0.323553529280376	0.3377037113696646	0.6540220160014915	0.6311312405649198	0.3219254597159799	0.36428238192274615	0.6323334437667095	0.24198297490355136	0.22102688327764242	0.5810129662937675	0.5039453442999473	0.2997513452979448	0.351944596103971	0.3185231590115193	0.2760365687542852	0.09525189580894165	0.34970889856732873	0.6795323134053297	0.1701923031386278	0.21032916165091375	0.25504321802871777	0.22964400704786447	0.1921389318678237	0.19927858696461945	0.1902793124626554	0.13537217806217952	0.17263069510309176	0.5999209028689065	0.8410999290122726	0.27354238461925473	0.5642960090746958	0.33185345806744804	0.09449358431869931	0.2333652150077147	0.1735066856638635	0.3685453495175323	0.16083796395085403	0.3152467005585516	0.5158019239050672	0.4384954741232733	0.5636372972628644	0.37893374750070813	0.34237720992931403	0.7203483289085201	0.28310237093440216	0.6937699288571103	0.3076605463389967	0.1972464631127422	0.4305828567378587	0.22437431782221398	0.5289135502664797	0.31767724410251713	0.39119987796246614	0.19458839909418602	0.3176235404671649	0.37998725322031957	0.6807335387561805	0.6269837430979411	0.31840175972193463	0.320793355627621	0.10348291972430651	0.0528074057001651
Sample 4	0.8940562256077496	0.5833361453304873	0.32277608369684213	0.5857065402330764	0.0	0.2617354289752732	0.12311042184833085	0.25876206690887527	0.4164061957312909	0.5007319410348209	0.24464637544320633	0.8347676052238627	0.09220735792863137	0.7236166624521538	0.2828949632014143	0.3507650401676496	0.3687203190680955	0.15073097253427487	0.8865423519954616	0.29408823063875994	0.2652812435661413	0.30043947260450965	0.3029177653434744	0.8596995093479198	0.2522046208473322	0.6156565700527076	0.36935773347253237	0.9788014704525919	0.9210791298080457	0.8504541149420742	0.28105690718987875	0.6027339573260347	0.3207367526214043	0.504765387316948	0.2950810600938463	0.19957148495722407	0.754184460445726	0.7507584143816334	0.342484155091107	0.4084372794316602	0.4914968507997158	0.45094642082106173	0.4140830491514247	0.5486759021532412	0.5632044148428844	0.31939834468800943	0.5752465050637604	0.7263013513794003	0.37442774864444456	0.5283874548340938	0.6106377952218525	0.7805148267488308	0.5464158055350119	0.36457109640798974	0.5643686745535379	0.6876707650007667	0.41746836229540474	0.1789183333384536	0.2969233734807443	0.48157105335280637	0.25125383811593194	0.42047980606586677	0.4600349395299364	0.3186109414355366	0.6801555559041023	0.6025814861832436	0.1606827247589905	0.6205140893251424	0.12799395449518566	0.2886142799294587	0.2641769854114067	0.4103564773347893	0.3252977720503797	0.3832023627542531	0.15845017992571098	0.38895952586262555	0.7418516437579021	0.2681368908464865	0.6060529908119976	0.6107026086197502
Sample 5	0.8611932197322046	0.5452498379362068	0.14172738453766168	0.49528760514199704	0.2617354289752732	0.0	0.2826805255344377	0.3318588775995563	0.1891727288458055	0.46901803903186795	0.22262392987509474	0.7960735060288144	0.2473631036724247	0.6040485886994102	0.30574750393996963	0.504298306476328	0.27795444486765797	0.3330024451796356	0.8034466337641313	0.17315155851760086	0.49552937030841854	0.5244395245118263	0.35511624519557106	0.8365018398053595	0.47123636907097266	0.42739300873227043	0.3405369181198888	1.0109817160814005	0.9434555850666004	0.7899752285939621	0.16304961263988477	0.6494675480437256	0.2555297840571231	0.445208405322709	0.3575540342275263	0.21496915247213041	0.6541700963551762	0.6961024702428057	0.33938632482916037	0.4209417651334907	0.3339363220626966	0.45088076353058304	0.3130018308855747	0.5178845547793284	0.5518089823146981	0.1415703451891463	0.798614304832683	0.716317283145639	0.5599161018104398	0.592854161014136	0.5296238825474383	0.6348514919480349	0.5191340180887042	0.18697488001829074	0.4171089543359032	0.7106426665265104	0.15629785841499202	0.290805182389777	0.07579749092674377	0.2707783277217158	0.27526526769580967	0.6436727447841788	0.5105441982970932	0.5554766100243502	0.4874784835375052	0.5955194566196651	0.23196046740933932	0.46664389905777537	0.20775252279084147	0.30899185283331915	0.353295820349593	0.37483826247699426	0.18850350775228858	0.4813877244582755	0.24165752244034325	0.5921332786158445	0.5611882360182671	0.2774838515961869	0.4743269737085071	0.5368062023654119
Sample 6	0.7750394928485834	0.46884313439925895	0.383245992798565	0.48367612201897947	0.12311042184833085	0.2826805255344377	0.0	0.13900274347816727	0.38958951538535713	0.3871314457625995	0.16007440544136586	0.7185113003966707	0.05947012294748292	0.6261182273347302	0.173890563167774	0.2600492098349023	0.2851950209979006	0.26417544516306724	0.7803670463176934	0.2433434981683425	0.23590844057782262	0.24850243301039726	0.18260442215348527	0.739249816752693	0.21805844625897944	0.5513826328502431	0.26397264858597513	0.8559744337278378	0.7990415701129974	0.7382402157185772	0.234448273086552	0.4807775076335706	0.23890554505629022	0.39920135037991367	0.1755680170187002	0.3003236193116236	0.6509174923221069	0.6383380920655521	0.23328800323057391	0.29215207796531534	0.41790553807622327	0.33288780228130305	0.32914354278760716	0.43285051713694284	0.4470278329629774	0.37494632130767386	0.5301209059372026	0.6053695872357805	0.2866615868567352	0.40576950535887873	0.5102065801795448	0.6926757121532064	0.43032989525728116	0.33652100341531205	0.48718645151046325	0.5653102378087024	0.4326251596739179	0.06516762241813302	0.3408339029726631	0.4551471248300252	0.14438360391074545	0.3737423008357427	0.33986579351212004	0.2896104812105621	0.6219248935279285	0.4826335956442448	0.0737907572940392	0.549902670572132	0.14083837036522956	0.17687988645793906	0.14581061817344176	0.3078518611740856	0.27287374589434427	0.2626349491009263	0.2689186157040565	0.3176509056315792	0.6771403521729046	0.16634644734277274	0.518143025311484	0.5041963336451379
Sample 7	0.6448857134067045	0.34306794802624213	0.45930967052000804	0.3703691662723001	0.25876206690887527	0.3318588775995563	0.13900274347816727	0.0	0.3754717207905176	0.2629667586911312	0.11925396998917646	0.5941338323104365	0.1843683612459537	0.5146090039823477	0.09557730494993803	0.2112602146758524	0.21625250357415748	0.3921982907812161	0.6662246093112598	0.2320283835489321	0.2893411516039817	0.2803473073967743	0.06203659130820265	0.6065659837097734	0.26646982019601634	0.48165671864614085	0.16337249514181376	0.7295329401004312	0.6749794828873598	0.617146302969514	0.23144630553008944	0.3608612171886546	0.1878010786310374	0.28856682697866726	0.03728540229660943	0.4098695774621272	0.5347748311827598	0.5173195943854659	0.13413793603654642	0.17795782366920024	0.33984143211187223	0.2044053443922477	0.25238585238563355	0.3023488368144427	0.3278803653409777	0.4498920465462399	0.5326793581466721	0.47326321782498115	0.2578350472125673	0.2845211003884817	0.4071884178276192	0.593493791268446	0.294104335289386	0.33785404160916693	0.4092765813856599	0.4385767045902879	0.4570573255631198	0.0820544297433694	0.40150735388303793	0.4433028768498076	0.06846005105124967	0.38766471593469626	0.22832717345129597	0.3368092578490294	0.561483801220286	0.3520753264976693	0.11704318056622205	0.48213187089290044	0.2209690435851692	0.06134180221643305	0.0337627177111801	0.21576072887180844	0.25183772364436263	0.15065256653169928	0.38806336053533724	0.30787377676015726	0.609236283157745	0.10626466951174526	0.4228820999508908	0.3875949047267124
Sample 8	0.7463805861246923	0.4508211349682446	0.2753453418317047	0.36904358269476273	0.4164061957312909	0.1891727288458055	0.38958951538535713	0.3754717207905176	0.0	0.39170283935571615	0.2601345333445784	0.6780657712682537	0.3667555574354282	0.44896920886498826	0.3171104933028823	0.5751155954266085	0.20847307012362493	0.5146407331756986	0.6565721101115338	0.1591396689088011	0.6169153871654735	0.6299524629857247	0.37099942420222565	0.7310548078159359	0.5912354294819826	0.2434634155764878	0.29799779897350176	0.93450530431399	0.8599156067102186	0.6580113657289166	0.164850163896648	0.60270908688009	0.2222177021072275	0.3481050752506839	0.3871668592930275	0.4040432278679434	0.5067192471665902	0.573306733788995	0.3170930968381033	0.3847334263495011	0.18762627592346	0.4021580866945644	0.21668038253123564	0.43576080261308897	0.4728122306698788	0.2634970935498277	0.898979545945473	0.6268596027177111	0.6318989410889648	0.5682862260481618	0.4017767846030852	0.4621191045636139	0.44649778885400754	0.11077567524805791	0.2558909912396222	0.6426737439456872	0.14935555945113985	0.3754975450884845	0.2314801082442867	0.11719364453499856	0.3084442341396699	0.747731651096454	0.483117610085257	0.6744840600103407	0.3019133323206077	0.5184984206205506	0.32283718569355185	0.2989414942941062	0.3533446691961413	0.3261425238084927	0.4034352447956733	0.3124145937836458	0.1391946012068619	0.5020026727963102	0.42942334019184353	0.678081536603385	0.3779648151205119	0.29319561220882734	0.3190661681686754	0.41601715264996686
Sample 9	0.40083527348163217	0.08324828131777601	0.5987096649988783	0.1325360882647865	0.5007319410348209	0.46901803903186795	0.3871314457625995	0.2629667586911312	0.39170283935571615	0.0	0.27927713876617477	0.342285585417083	0.4130817271117547	0.27185048758486074	0.21971922830445773	0.40308644861679677	0.19923739886713424	0.6420162286273425	0.40537963269806637	0.3067190598685068	0.5343138456542966	0.5060091948473577	0.2098588101389922	0.37259746092493895	0.5148901148985966	0.34303694739330276	0.13922577102594175	0.5479285816441198	0.4769257709227994	0.3570573213014534	0.3182002783311449	0.22015893141707635	0.2270930305178981	0.0678389016010646	0.2380994178839325	0.6240440415062695	0.27763461929875166	0.25715808507729115	0.16119689144311586	0.11049359134759522	0.24274781091840758	0.06863576177288648	0.18077888468848113	0.05788524196345587	0.09909243933859553	0.582273987357705	0.710555047809235	0.2487001494025507	0.4336145798752866	0.21037364039583972	0.16977788195060176	0.36383776192995526	0.10199704997616975	0.37031956685723594	0.25073083126744444	0.2513894346449744	0.5291814138199076	0.33941854315648184	0.5429706403109884	0.42021340166874027	0.25291232230188837	0.5914513556588497	0.1571789238276838	0.5698024712545394	0.4144956182484675	0.12899574032672037	0.34573301557797165	0.31963878157842873	0.4538612765565809	0.22163584154907376	0.2799456810623174	0.12584807641093798	0.2979660592602214	0.24960192524503808	0.615640405448362	0.49703635227511106	0.4346307681381355	0.23654950320321533	0.22188446056273223	0.13107317421988646
