	Sample 0	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Sample 19	Sample 20	Sample 21	Sample 22	Sample 23	Sample 24	Sample 25	Sample 26	Sample 27	Sample 28	Sample 29
Sample 0	0.0	0.07822164305433749	0.7249337148988135	0.2635806452942542	0.07803604799973024	0.42840437217667754	0.53566716830484	0.9039009876459612	0.3766757844292864	0.08243446619424988	0.6932045574291333	0.7471999303119038	0.7652107285980941	0.6221126861548639	0.09326340388640708	0.3989399501509343	0.47418022593704584	0.7490180196435885	0.9122291608425199	0.2080070568857672	0.6996736437950823	0.4241076082202612	0.9092183427702634	0.3789057583824137	0.32339204877855277	0.8727708114310975	0.7600776751514741	0.6758160673615329	0.9063113122217166	0.8957843600428781
Sample 1	0.07822164305433749	0.0	0.834991998319333	0.15489658920540395	0.0662394679636833	0.34108837692246025	0.5843145774186334	0.8922366186109119	0.443548808878969	0.07683262119010875	0.8089131199199286	0.856424052269618	0.8728991837099996	0.7346983116629251	0.0995786293474396	0.45711522307364955	0.547048051403474	0.8586347982376313	0.8920488175367547	0.3105873644178603	0.6098657527030027	0.4708042635466242	0.8910075653141998	0.26661870416947625	0.40728483414563454	0.93288199282126	0.8689650746767787	0.7934608139811036	0.8994873245236874	0.838109820556321
Sample 2	0.7249337148988135	0.834991998319333	0.0	0.9098786647478387	0.7564591998708519	0.8834847488144517	0.18738429561843772	0.3386886514907732	0.36581386540225913	0.7280273404813009	0.09597709539055799	0.08423797791367571	0.09071300207259819	0.09848077020175433	0.6830008361770988	0.34316295801847163	0.2627815882518495	0.08317767315596131	0.37348328500150596	0.4609246493854524	0.5778765039628821	0.3166835629402479	0.36595582447467767	0.9013906395696378	0.4085603045581743	0.10236136816662639	0.09022828732408272	0.09602632531993233	0.3189576317090499	0.45414050394084465
Sample 3	0.2635806452942542	0.15489658920540395	0.9098786647478387	0.0	0.2320808487536804	0.11910668733734592	0.8063946424086825	0.6755841390856224	0.6194528088033537	0.26050904919709456	0.9068099099705793	0.9184069682125767	0.9110858409835927	0.9019878924180016	0.3042323122686011	0.642506707906592	0.7332911276176408	0.9193187454931332	0.6428578510152365	0.5319973917090935	0.4340368977310207	0.6712778588061156	0.6501226507446056	0.09818014001852204	0.5784303951887428	0.9011488364418296	0.9116747144615736	0.9061890612333425	0.6939250318229302	0.5547655103500433
Sample 4	0.07803604799973024	0.0662394679636833	0.7564591998708519	0.2320808487536804	0.0	0.40757826212820625	0.5458874038220864	0.9033030672260285	0.39885745788795346	0.0771506523010938	0.7255513214440209	0.7795716923265603	0.8012963351225362	0.6511328086258987	0.09214289838167972	0.41918710340657894	0.527749956126561	0.7817278816562685	0.9098073741934514	0.23407016300682304	0.6734372482994382	0.44139191349151047	0.9071631242305441	0.3500020245280693	0.348744207660898	0.8980186027795132	0.7958320471393576	0.708167475869821	0.9072551002575782	0.8861002502960839
Sample 5	0.42840437217667754	0.34108837692246025	0.8834847488144517	0.11910668733734592	0.40757826212820625	0.0	0.9365428653851993	0.5353584785320005	0.8385379696463351	0.42644596099016274	0.9001888098992901	0.8808977596295943	0.8527033609796166	0.9388541709518713	0.453371269601916	0.8528158511658506	0.9054922315814227	0.8806310570499684	0.5216856977379047	0.6986426311611382	0.21806153984649962	0.8698138392597401	0.5241184827715538	0.06078404283973193	0.8000512743965009	0.7749217395372963	0.8568150903070446	0.9115402357361849	0.5455491252420658	0.4325087367963024
Sample 6	0.53566716830484	0.5843145774186334	0.18738429561843772	0.8063946424086825	0.5458874038220864	0.9365428653851993	0.0	0.5278165332708149	0.10778346565671892	0.5365747515510373	0.15853937703299814	0.19662936098294576	0.23573917499906366	0.0876835507196917	0.5252154115697645	0.10254368648875428	0.08259202685663197	0.19749175316409578	0.5438627303577163	0.2071001953023583	0.8620855901399398	0.09544900873583284	0.539960535752499	0.9130977126186999	0.1266178079117375	0.326518487737874	0.22980789201728435	0.13944100074190513	0.4751837610078316	0.6272149651768055
Sample 7	0.9039009876459612	0.8922366186109119	0.3386886514907732	0.6755841390856224	0.9033030672260285	0.5353584785320005	0.5278165332708149	0.0	0.6814849020139869	0.9038862584918401	0.3736699472293885	0.3109171842002437	0.29054016991373216	0.433230567991469	0.9039796132034416	0.6593206710329418	0.5539874572751877	0.308510363093278	0.08337638560695992	0.8401115237107395	0.2435988519687564	0.6319965417167643	0.08653341054727998	0.5660529194265765	0.7337704814875641	0.18460252843844865	0.29446018105334215	0.39024613015627	0.09596008777151244	0.0944439724881242
Sample 8	0.3766757844292864	0.443548808878969	0.36581386540225913	0.6194528088033537	0.39885745788795346	0.8385379696463351	0.10778346565671892	0.6814849020139869	0.0	0.37907282549877	0.3290924877054531	0.3962698463798917	0.4399895921597279	0.2390893497146519	0.3397195636548844	0.09605288874754364	0.09445285883893229	0.399850555812576	0.7092235335851426	0.10115842278043136	0.9080250791385149	0.08886176311545102	0.7045300620155857	0.7624587864976734	0.0925798999795791	0.5254843586776117	0.4350335921569658	0.30900704325576955	0.6621842612974806	0.775888462366443
Sample 9	0.08243446619424988	0.07683262119010875	0.7280273404813009	0.26050904919709456	0.0771506523010938	0.42644596099016274	0.5365747515510373	0.9038862584918401	0.37907282549877	0.0	0.6963927949097533	0.7503363725020297	0.7687782202731146	0.6249126509855928	0.09308108182385494	0.40117220696134226	0.47498402050933547	0.7521838146699891	0.9120363939508983	0.21053772317381514	0.6969842487555064	0.42605981291500816	0.909056891230513	0.3761181760219221	0.3260266929981963	0.8755496453948867	0.76358559548692	0.678995336436756	0.906473200568529	0.8949847221699749
