	Feature 0	Feature 1	Feature 2	Feature 3	Feature 4	Feature 5	Feature 6	Feature 7	Feature 8	Feature 9	Feature 10	Feature 11	Feature 12	Feature 13	Feature 14	Feature 15	Feature 16	Feature 17	Feature 18	Feature 19	Feature 20	Feature 21	Feature 22	Feature 23	Feature 24	Feature 25	Feature 26	Feature 27	Feature 28	Feature 29	Feature 30	Feature 31	Feature 32	Feature 33	Feature 34	Feature 35	Feature 36	Feature 37	Feature 38	Feature 39	Feature 40	Feature 41	Feature 42	Feature 43	Feature 44	Feature 45	Feature 46	Feature 47	Feature 48	Feature 49	Feature 50	Feature 51	Feature 52	Feature 53	Feature 54	Feature 55	Feature 56	Feature 57	Feature 58	Feature 59	Feature 60	Feature 61	Feature 62	Feature 63	Feature 64	Feature 65	Feature 66	Feature 67	Feature 68	Feature 69	Feature 70	Feature 71	Feature 72	Feature 73	Feature 74	Feature 75	Feature 76	Feature 77	Feature 78	Feature 79
Feature 0	0.0	1.0803910539733141	0.12743089333316493	0.6146450145881474	0.7311094055245181	0.5510160761365496	0.8627557479023857	0.6771496458759498	0.2087569727649386	0.58633724770004	1.0070575869717997	0.41809017329667586	0.35278582865709374	0.5895336746441763	0.5948082988640243	0.5621497851625449	0.7714152258906312	0.4155800889955413	1.1117142846075128	0.5506480143204467	0.6807881600947351	0.3022796424022905	0.1710075661387779	1.1620678233593176	0.3910218810947561	0.49209442767175476	0.48525459642669794	0.5437078781215792	0.6214180845195618	0.41510841840971435	0.2568254314640786	0.6397365662897124	0.7825399862049137	0.6939411858599376	0.878565101537037	0.42434578235129206	0.41987241722877455	0.5176407429711496	0.5497823768789013	1.1256177936520373	0.6533726684074029	0.5483239591816187	0.3321154741781611	0.13780858748095287	0.8625226185590261	0.3667011388584923	0.39890295973363044	0.14262225492909408	0.2017921539777049	0.5193217347988286	0.539148473774201	0.5162362835214723	0.42074131059962816	0.4586191084389417	0.676153933298825	0.7413212570167041	0.6112083672162849	0.6705561106196498	0.7248078165108628	0.786663070727162	0.2461511677654272	0.5042473484129828	0.6204033222354889	0.6168296983811659	0.3692692071802175	0.6854811052497667	0.500807141005322	0.43936863390387915	0.8207768162689695	0.33991462243963205	0.9485590892650345	0.43903343469119005	0.16879750494785264	1.2504516408723227	0.3199945399423537	0.7446285022557795	0.33277029443510303	0.2962099845755636	0.303156834113218	0.4982534638528372
Feature 1	1.0803910539733141	0.0	1.0024596003620243	0.48305207277141726	0.3558480249982833	0.548208452531977	0.582171633022837	0.5019829858151764	0.9520924802103986	0.5856626119530696	0.23135409326711312	0.8031308524860974	1.0405883280397523	0.7527328685362213	0.8184101899079862	0.5327472923211708	0.3290013325014972	0.7176049290380991	0.07361908633275782	0.8359021770985323	0.48239700131757474	0.9922730139251184	0.9621927724866125	0.13677339745456932	1.0296417235161819	0.5983385005150677	0.7256710249001348	0.8080149880783994	0.7498794327642309	0.7971622130429807	1.1064920432602934	0.5874861181252601	0.657662183128966	0.9126324482637597	0.2126039078137085	0.6978622045141435	0.6881451556467922	0.6366165060330736	0.7171568847972137	0.16738789363813636	0.4532769715391189	0.5747172085241989	0.7935692552020928	0.9719363271536442	0.3780805555335274	1.1419145026256265	0.7951264107980236	1.016838061229601	1.0388331659873475	0.6195115918890266	0.5982787796585882	0.8505974209330737	0.7026568122029644	0.8715422343193711	0.41240427475092656	0.34552857265356635	0.48019945461987623	0.4977370214196896	0.3681742886554186	0.3643561393550151	1.0879322136936884	0.9375942804382523	0.8610544423033623	0.9022801564357471	0.9034018077259605	0.5689025480477446	0.5850802141422891	0.713613051259776	1.0170898895836635	0.749676282503462	0.2466643150064884	0.6634741081436151	0.9377095801253464	0.24383661442065455	0.7721225245818918	0.638226265015495	1.0137200919441212	0.8176375861711517	0.8189365962897329	0.7651855620929525
Feature 2	0.12743089333316493	1.0024596003620243	0.0	0.529979111430954	0.6476342499375431	0.4819520632669062	0.8017386312067862	0.6178894313037754	0.19076827464654517	0.5035586197209162	0.9123793338379763	0.37201052971611853	0.27343635177201514	0.5581404342672397	0.5612966643956819	0.47283127298555006	0.6829241487898347	0.3099610650934928	1.0321235872129364	0.46089764853498943	0.5781196725400762	0.1946205665944223	0.0913844963068075	1.0760584335608774	0.3919037993581784	0.4055065648600152	0.3793811941414374	0.5080508949694739	0.5297960459796498	0.3536087356677057	0.1987127317721763	0.5777405890772226	0.6915894057625368	0.6708447005852951	0.8013446748095634	0.31987114208968764	0.3344349294730079	0.4372632622041634	0.4450127847657123	1.0491798204116698	0.5712599286103448	0.4661752325195808	0.2238508004189406	0.035264495950367784	0.8044376568761973	0.3865096901563518	0.2821977386183965	0.06763925977899234	0.10499472516143658	0.456591451077613	0.451445031825884	0.47413904091311393	0.33574626418357706	0.4330827505223089	0.5921866894680053	0.6580219912976639	0.5286249559669599	0.5681521126137672	0.64076940108765	0.6998006287347216	0.16096980825401855	0.4228279180000397	0.6139363070521601	0.5873795050423855	0.3426844262343163	0.5852900693793762	0.41825376956471744	0.3418473379041708	0.8161942658305648	0.2786919345050648	0.8514756057646635	0.36943134448766435	0.07786543091717964	1.165136282583789	0.2305698079644586	0.6385354467261247	0.3064377407109071	0.19361452753156214	0.19745325336811292	0.45045961331112705
Feature 3	0.6146450145881474	0.48305207277141726	0.529979111430954	0.0	0.14098821888652785	0.19819571006424608	0.5523815787165466	0.3227220359283656	0.5214120197547967	0.28805057032298803	0.39668188527838144	0.44575212938841624	0.5655673314100967	0.5095138757166574	0.5676729082006529	0.07790251115396994	0.1792725911058664	0.27355887262291273	0.5227198111493764	0.40895826524784384	0.13858096890964908	0.5162894870747416	0.5049330201652144	0.5671862659028937	0.6630555963966218	0.1522488975350694	0.2649721656078026	0.5280177601653836	0.35674927558614805	0.4281235578162287	0.6251325313399336	0.3709206394880099	0.37974150768409864	0.7013132458008854	0.2763272662777573	0.22875198201113048	0.26234476681028107	0.28940056903452843	0.2839128392779224	0.5628876286853973	0.17844769518804643	0.22398073062876725	0.317630977237291	0.4990625692632986	0.42190371953096767	0.7509460633444949	0.36068947993316713	0.5543465665780989	0.5733032090003706	0.28791771246917336	0.2413687017790485	0.5463799604659934	0.289731867629875	0.5444552760564908	0.11642001316906517	0.1528426480136191	0.019600023749900792	0.13662607541116117	0.16409952690680368	0.27651717928997605	0.6187154613215372	0.49359161701878485	0.6297451110621016	0.6490122976508327	0.5316589842864359	0.220501924197788	0.12123018462479473	0.23490094945960532	0.8502720764418802	0.3133312006300633	0.3497426448314612	0.19305009352180985	0.4733239974236279	0.6715618038945818	0.3057485188348592	0.3336499525693777	0.6172067856025615	0.3563065147104373	0.35948071959366423	0.4532867586118952
Feature 4	0.7311094055245181	0.3558480249982833	0.6476342499375431	0.14098821888652785	0.0	0.22274049487022068	0.4682148852819025	0.270400154264494	0.6104756874294978	0.2834733435827074	0.3043616738118391	0.4893142468853643	0.6994429121509641	0.5040024694041755	0.5655436049250875	0.1774084682433252	0.05413858701542877	0.3652720902677439	0.3881013804579975	0.537889873410685	0.1802247752360116	0.6425546665468687	0.6096464576455571	0.4343761933919002	0.7173123787476602	0.2438659441029292	0.39412155756442324	0.5370274048230664	0.47483490873039047	0.47562516235574787	0.7551427725963731	0.3382266112123959	0.45899465441432924	0.6885217794236117	0.1669781967155164	0.34331788308717415	0.3400903762900054	0.3152495190769611	0.4061253161430422	0.4229724207370642	0.13545442017468956	0.2457166441740631	0.4384467876371427	0.6177147143128057	0.31337003317412826	0.818342335404574	0.44801105629971255	0.6629732506040513	0.6837695090295155	0.30892170819756726	0.2684776201420733	0.5654793328786508	0.35881376546142757	0.5767776904599998	0.06156273959806807	0.0118597308953752	0.13487978997134725	0.19554522852854933	0.04933102799360772	0.16411831975397712	0.7333856978461177	0.6275362655413066	0.6278783702798644	0.650076812168492	0.5858503096354891	0.30544996861237167	0.23202237486586955	0.37090872859772817	0.8282546465696184	0.40538002418587343	0.24294866046332	0.32466628548058923	0.584095602949167	0.5341495881935454	0.41768697463809856	0.4075672222184609	0.6843516527047975	0.4627030064657583	0.46415307117258214	0.4731658656070794
Feature 5	0.5510160761365496	0.548208452531977	0.4819520632669062	0.19819571006424608	0.22274049487022068	0.0	0.40734176445908665	0.1640742891836272	0.4044417725667973	0.14633258325516105	0.5255627373623024	0.27439766568572277	0.6107761581875587	0.31177600701413666	0.3746900219488002	0.15268321722416514	0.2638736894089488	0.23250826711642372	0.5698376964573841	0.5413822480583197	0.29151517378417546	0.5336705055121355	0.4274933685071903	0.6239066242994529	0.5008579485560224	0.12434926232979154	0.37032806176188726	0.3367328151434019	0.5171352218221624	0.2703341763026593	0.630273907120902	0.19172833154077618	0.5720606652062601	0.5081741485001713	0.37179908033329095	0.243986637063502	0.1619584008356149	0.1370405115254811	0.4191356132596336	0.5754413850618062	0.11994089544909237	0.08523667319899121	0.31461790863524003	0.4529146727126219	0.3300678956969454	0.6045274963403328	0.31862462887882714	0.4854605987883419	0.52273648963278	0.09499987472947646	0.12218065375850806	0.366420126105666	0.1748271292803018	0.36265044323531065	0.16655097175669595	0.228695172785068	0.18087446813344746	0.3000054091115801	0.19970057774702227	0.25374565527399484	0.5869564281849732	0.601812660679726	0.4320232080112865	0.46058240937817285	0.3694312803762339	0.40621196254382275	0.14189998666470985	0.3161217615019253	0.6535176367443374	0.2111395821424104	0.45278307732512696	0.2388037301188738	0.4088835159893922	0.7049917017526643	0.2609229451097399	0.5127477871187938	0.4786130735528636	0.30234884157604414	0.3056680289751352	0.2676416633362622
Feature 6	0.8627557479023857	0.582171633022837	0.8017386312067862	0.5523815787165466	0.4682148852819025	0.40734176445908665	0.0	0.2604302764098745	0.6634858662457043	0.3312114211753444	0.6547907894277081	0.4507503743158111	0.9691937729962743	0.3144613513691977	0.33681083472951046	0.5191106135913716	0.46859953100217794	0.5579352928851892	0.5523703257641734	0.9205166127801108	0.5822425234212603	0.8714298809478508	0.7207143753972156	0.5918104922642612	0.6144638573092364	0.5087100466949624	0.7395534998550611	0.361354883984704	0.8885195489634348	0.45818740661234997	0.9682795732840764	0.23401427686138324	0.9115487306096864	0.3736718502053305	0.5440922345603665	0.6066468833986782	0.4991959707186573	0.3822374385649843	0.7813431687060212	0.488245583577821	0.3748050704070691	0.3894642053351073	0.6739472147452248	0.7822981411978301	0.2550123281586701	0.7355099584779357	0.6004665617724239	0.7762250305810984	0.8099857230801821	0.37251248971461176	0.39908963693285915	0.4056827762306349	0.4840786669800935	0.4555916498361842	0.44682841105819227	0.4625002957483754	0.5372370959145223	0.6039938974495629	0.4214720133803954	0.329744707854101	0.8777148054332313	0.9829846008220218	0.39690328636090566	0.3918214128290832	0.5305268769907712	0.7377787874341194	0.5385940884171373	0.7015716600113945	0.46621240856556784	0.5602205245144063	0.560069861871067	0.6455572721488768	0.7251607795487951	0.5998578448541585	0.6219934245708519	0.8276211897629998	0.6380396429231406	0.6343147278104007	0.6317672121311106	0.37340205756048933
Feature 7	0.6771496458759498	0.5019829858151764	0.6178894313037754	0.3227220359283656	0.270400154264494	0.1640742891836272	0.2604302764098745	0.0	0.5038929048456169	0.17881226917656534	0.5395890219303637	0.3213706729321933	0.7690269979951846	0.25416818142140213	0.3257568876791496	0.2946440172028563	0.29697484903447813	0.37246571982022125	0.5063709086618388	0.7002740763126679	0.3962390859086278	0.6851063614868201	0.5506088174030684	0.5647530543265616	0.5374574296640448	0.2835186376023276	0.5275475812830435	0.31044024874741677	0.6681333716922427	0.33075965986790695	0.7798661373810125	0.1055756796798486	0.7004326329940429	0.4373379248586181	0.3788418943503199	0.39984126506042345	0.2994091534897372	0.2122348338759136	0.5715455087074967	0.48469811573606264	0.1677928402336371	0.18827325021712407	0.46968963096198185	0.5914884001560565	0.19118313414000768	0.6562268626891574	0.44421431808597817	0.60970150310163	0.65104590135241	0.16212993505633405	0.21805421852555687	0.3616821855116763	0.29779534550262754	0.3741784773329737	0.23619588102330336	0.2689191468953387	0.3046608608035731	0.4121153516419684	0.23145981517451183	0.2171487221741689	0.7199197022867524	0.7643003880125899	0.3716489434191142	0.41641744723599106	0.4188825474494998	0.533497135680064	0.3024816224031614	0.47822556138226296	0.5629477836194459	0.3464100538126649	0.45787345222057513	0.3992424815358	0.5410942883062738	0.6232980359762456	0.41193633002009217	0.6382373840719093	0.5427206914210677	0.4437002870109384	0.44538449194922536	0.27327385979078034
Feature 8	0.2087569727649386	0.9520924802103986	0.19076827464654517	0.5214120197547967	0.6104756874294978	0.4044417725667973	0.6634858662457043	0.5038929048456169	0.0	0.41288007502717516	0.9016773383767138	0.21344536212405357	0.45662224878880775	0.38820099356383003	0.38742272272957284	0.45612200619832016	0.648245670315145	0.3009288030722117	0.9730362110812687	0.5916583057896662	0.5891346948125792	0.36431336226375455	0.11309148374937447	1.0232162474521815	0.2194873243465023	0.3761670527469732	0.4637547766415277	0.3361647760478416	0.6378305935286183	0.21512319848351227	0.3879889504080329	0.4503690546890618	0.777739115413521	0.4908970104580599	0.7661711810896322	0.3431302155040604	0.2780646950074845	0.3452168142665393	0.5365196877116164	0.9728378677871494	0.5071424693191648	0.391201630059974	0.282839550646775	0.18456495624512348	0.6934998116123704	0.2556454241314137	0.29146184342235554	0.15271798992505894	0.2271343702032002	0.3478082040193575	0.38084940957691504	0.3080970370527539	0.26639861491795963	0.25240992347464875	0.5506396602382662	0.6189062864516233	0.5133904156081172	0.5862947959412511	0.5924273418894129	0.6317408634710263	0.30717941744878324	0.5790878490722496	0.4279653472345231	0.41220151474949795	0.162418189185196	0.6414882606396726	0.40020276929345777	0.4085226310900243	0.6287753972218291	0.21233154172005292	0.8287719707807948	0.38644366388056	0.1371886466120753	1.0993627774056327	0.23537036299394481	0.716816734740099	0.1673821610647267	0.2054570851317954	0.20971195047770655	0.29308448555421796
Feature 9	0.58633724770004	0.5856626119530696	0.5035586197209162	0.28805057032298803	0.2834733435827074	0.14633258325516105	0.3312114211753444	0.17881226917656534	0.41288007502717516	0.0	0.5532043882740232	0.24317093590230301	0.6409237748396635	0.27653176056375717	0.3092632717259084	0.22583689427444525	0.3015157479749972	0.2286337374864271	0.5912687556610895	0.5990165228970293	0.3215407170072757	0.5474575593053346	0.43500086426773954	0.63183975968744	0.4638005622876972	0.19490475532821383	0.4153180411966742	0.27879836884840414	0.5806687882119088	0.22232764890455436	0.6517496801391134	0.13279630353422245	0.6393948399313084	0.4345155638320194	0.43836404048700334	0.27669510309175577	0.18030410814657377	0.06896922852592585	0.4646467060196977	0.5828494515099503	0.15023987500819808	0.0755437266296552	0.3466488388461481	0.4816928924924792	0.3459045085160272	0.5697189111812577	0.2832948352687417	0.49103899381981236	0.5157616265885294	0.12093163067845276	0.06941005720878737	0.29192158956646874	0.16942428355799585	0.3216069284844109	0.22838772396372317	0.28645141348575887	0.27582465912986837	0.33661940068215834	0.24301918658933408	0.23134116514742795	0.5779463399225686	0.654586501515332	0.4091055018027591	0.3819449183691388	0.3404412307727059	0.46027146412065023	0.23601447111187338	0.3774093892661637	0.5946941143835074	0.26899296864490113	0.4614236774974113	0.345121543006693	0.42971802652667196	0.6973170185345752	0.30479787470324954	0.5502989018000818	0.4353551233202426	0.3185436811222703	0.31538148022019863	0.21385443051201553
