	K0	K1	K2
Feature 0	0.722775811949216	0.6419609688819874	0.12733188833178608
Feature 1	0.23325417677784505	0.17887613985522474	0.9718233562164353
Feature 2	0.6610449721146943	0.5308445641242612	0.13633636403724703
Feature 3	0.4911664521165341	0.29826627943323447	0.5812256631741873
Feature 4	0.3785158458544705	0.2858384064791957	0.6650890446193883
Feature 5	0.3936146179733082	0.46349698702885633	0.5315870450365583
Feature 6	0.0	0.5508759004378424	0.5895505773809003
Feature 7	0.2581891967585416	0.5203452553288644	0.6047211824226372
Feature 8	0.526941112144346	0.651158965252836	0.19905106912102555
Feature 9	0.2766994466293693	0.436704482816513	0.4477644386002418
Feature 10	0.3226503328123372	0.029523808871998576	0.8194195341266279
Feature 11	0.3499361196891639	0.6274815828623952	0.3159593101536667
Feature 12	0.8035491493529087	0.2989965044775077	0.10975676324859258
Feature 13	0.22532403687572267	0.7081963144822807	0.43669343088177043
Feature 14	0.1786911516670371	0.7153689400533008	0.356198802960467
Feature 15	0.46316413172458876	0.32857185488431884	0.5151481072770456
Feature 16	0.3447902893749896	0.2436845037383741	0.6691660444837314
Feature 17	0.46154910264857135	0.38508987199220907	0.3235069537711548
Feature 18	0.15978187898049148	0.18202365877089943	0.9684051032236752
Feature 19	0.7884496594979186	0.1417701020975409	0.3480336740260227
Feature 20	0.44256938298600074	0.17617681117944844	0.5372123520357708
Feature 21	0.6964211573197896	0.3413635374449691	0.10945456740029995
Feature 22	0.5764675095754993	0.5585691339063708	0.15705175025322002
Feature 23	0.11750272026477143	0.10661914981495717	0.962469749602498
Feature 24	0.35611510000971064	0.7769448864898235	0.14273889330152376
Feature 25	0.46522881469316	0.3893642596070086	0.46202782857222696
Feature 26	0.6268049629854243	0.22948660841014484	0.3642422541998736
Feature 27	0.22852720436694735	0.6926137308984663	0.34817316240563434
Feature 28	0.7518171519642991	0.1031053848264705	0.43547421887122595
Feature 29	0.346801678213357	0.5783253786238939	0.29137140018392765
Feature 30	0.7846179663974175	0.4083639479142245	0.04034176259960044
Feature 31	0.21926966445482327	0.539868023676899	0.5085424131377747
Feature 32	0.7261127883400833	0.0	0.5748179875910294
Feature 33	0.07666442610776923	0.8019006698365302	0.3235810630493195
Feature 34	0.37552023581909155	0.2345339600982674	0.8239619443865547
Feature 35	0.5239517964732416	0.34837213008993456	0.3604497718286848
Feature 36	0.44151834564808456	0.4553890753518986	0.3770877950567308
Feature 37	0.3274966952178836	0.46615182272822114	0.41158090378919293
Feature 38	0.6470750614402352	0.16294689057739553	0.38632140758882777
Feature 39	0.08003970416242318	0.24557597928906505	0.9620681659420166
Feature 40	0.3286409530497791	0.3714571196198844	0.572731960577533
Feature 41	0.34919904615809766	0.4289896683122491	0.46754180795096395
Feature 42	0.5821755338824339	0.38940574687016966	0.290880382151478
Feature 43	0.6607350868977123	0.5270677526703703	0.17139665982931873
Feature 44	0.16896788779628483	0.4930747768144221	0.7715949964506357
Feature 45	0.40765381977919	0.8033550508007069	0.03183421499613368
Feature 46	0.44744203916933334	0.3725738505089267	0.23099222455401192
Feature 47	0.6077514469095513	0.5601824800981675	0.10677022933947475
Feature 48	0.6057848701928169	0.49438450482784446	0.05484478457402206
Feature 49	0.3531447480891984	0.5268153078684898	0.4734668585586342
Feature 50	0.3408435999400342	0.4148843418405995	0.43269244186535916
Feature 51	0.22898140274620093	0.6676350286048692	0.2756822321846169
Feature 52	0.4171938311565691	0.4680574937779492	0.35841733747706284
Feature 53	0.2992799227835966	0.7146898238892322	0.2876229739681568
Feature 54	0.3811268805064381	0.31884301091102707	0.6131867374340223
Feature 55	0.36922870108365524	0.2849612635191548	0.6724124850092793
Feature 56	0.482977961937148	0.31563875410842557	0.5851380388257086
Feature 57	0.4675422424614506	0.17274507708207465	0.5327178394676124
Feature 58	0.3396173913990615	0.307185971865511	0.6435311686580704
Feature 59	0.21945204064411264	0.3083687206445136	0.6315344071681793
Feature 60	0.6419584248687574	0.4474216732329274	0.0
Feature 61	0.8457404709858942	0.17183536876491526	0.2619684402932807
Feature 62	0.21304780342261276	0.8399013867672565	0.42041418143687964
Feature 63	0.13445449224593004	0.7484464085506511	0.27904791492804054
Feature 64	0.37334537033298	0.6868166853398786	0.23799388968924343
Feature 65	0.585018879916197	0.10520663310483776	0.5308193805241994
Feature 66	0.5014357873094771	0.3800267442874469	0.492307021677143
Feature 67	0.62407394754255	0.30199675436408685	0.38757614142575153
Feature 68	0.0	0.9553413164991595	0.3576848034709643
Feature 69	0.5172040474522608	0.5327496253585656	0.3750314697518909
Feature 70	0.2685080492390658	0.0850751996023647	0.7464307379216307
Feature 71	0.6185696185109691	0.40215588592692325	0.4800143917463571
Feature 72	0.6047568229053227	0.5385723293222202	0.18958062415556226
Feature 73	0.0	0.11383644959726869	1.0004349314783099
Feature 74	0.5561286805225234	0.4561567868332785	0.3275868386161261
Feature 75	0.6098282045205184	0.0005784298287197265	0.48836219584820745
Feature 76	0.39257328909152456	0.6745433990764494	0.10201888773004159
Feature 77	0.5372206232109027	0.45704933185533764	0.26559726138906703
Feature 78	0.5276945996515306	0.44968379859515994	0.25724292121392783
Feature 79	0.2798018992166747	0.6294096184094123	0.3550885358332103
