Information	GSM647461	GSM647462	GSM647463	GSM647464	GSM647465	GSM647466	GSM647467	GSM647468	GSM647469	GSM647470	GSM647471	GSM647472	GSM647473	GSM647474	GSM647475	GSM647476	GSM647477	GSM647478	GSM647479	GSM647480	GSM647481	GSM647482	GSM647483	GSM647484	GSM647485	GSM647486	GSM647487	GSM647488	GSM647489	GSM647490	GSM647491	GSM647492	GSM647493	GSM647494	GSM647495	GSM647496	GSM647497	GSM647498	GSM647499	GSM647500	GSM647501	GSM647502	GSM647503	GSM647504	GSM647505	GSM647506	GSM647507	GSM647508	GSM647509	GSM647510	GSM647511	GSM647512	GSM647513	GSM647514	GSM647515	GSM647516	GSM647517	GSM647518	GSM647519
channel_count	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
characteristics_ch1.0.barcode	0_US45103081_13793380_S01_Cropped	1_US45103081_13733306_S01_Cropped	1_US45103081_13733307_S01_Cropped	1_US45103081_13733308_S01_Cropped	1_US45103081_13733310_S01_Cropped	1_US45103081_13733311_S01_Cropped	1_US45103081_13733312_S01_Cropped	1_US45103081_13733313_S01_Cropped	1_US45103081_13733314_S01_Cropped	1_US45103081_13733316_S01_Cropped	1_US45103081_13733317_S01_Cropped	1_US45103081_13733318_S01_Cropped	1_US45103081_13733319_S01_Cropped	1_US45103081_13733321_S01_Cropped	1_US45103081_13733322_S01_Cropped	1_US45103081_13733323_S01_Cropped	1_US45103081_13733324_S01_Cropped	1_US45103081_13733325_S01_Cropped	1_US45103081_13733326_S01_Cropped	1_US45103081_13733327_S01_Cropped	1_US45103081_13733328_S01_Cropped	1_US45103081_13733329_S01_Cropped	1_US45103081_13743021_S01_Cropped	1_US45103081_13743022_S01_Cropped	1_US45103081_13743023_S01_Cropped	1_US45103081_13743024_S01_Cropped	1_US45103081_13743025_S02_Cropped	1_US45103081_13743281_S01_Cropped	1_US45103081_13743289_S01_Cropped	1_US45103081_13743290_S01_Cropped	1_US45103081_13743297_S01_Cropped	1_US45103081_13743298_S01_Cropped	1_US45103081_13743299_S01_Cropped	1_US45103081_13743306_S01_Cropped	1_US45103081_13745856_S01_Cropped	1_US45103081_13745857_S01_Cropped	1_US45103081_13745858_S01_Cropped	1_US45103081_13745861_S01_Cropped	1_US45103081_13745862_S01_Cropped	1_US45103081_13745863_S01_Cropped	1_US45103081_13745864_S01_Cropped	1_US45103081_13745865_S01_Cropped	1_US45103081_13745867_S01_Cropped	1_US45103081_13745868_S01_Cropped	1_US45103081_13745869_S01_Cropped	1_US45103081_13745870_S01_Cropped	1_US45103081_13745871_S01_Cropped	1_US45103081_13746090_S01_Cropped	1_US45103081_13746340_S01_Cropped	1_US45103081_13746341_S01_Cropped	1_US45103081_13746342_S01_Cropped	1_US45103081_13746343_S01_Cropped	1_US45103081_13746344_S01_Cropped	1_US45103081_13793381_S01_Cropped	1_US45103081_13793385_S01_Cropped	1_US45103081_13793387_S01_Cropped	1_US45103081_13793388_S01_Cropped	1_US45103081_13793390_S01_Cropped	1_US45103081_13793391_S01_Cropped
characteristics_ch1.1.sample tag	LE:CCRF_CEM	CO:HCC_2998	PR:PC_3	CNS:SF_295	OV:IGROV1	RE:RXF_393	RE:CAKI_1	CNS:U251	CNS:SNB_75	CNS:SF_539	RE:SN12C	OV:OVCAR_5	RE:UO_31	RE:TK_10	ME:UACC_62	LE:RPMI_8226	ME:SK_MEL_28	RE:786_0	OV:OVCAR_4	RE:ACHN	LC:NCI_H226	CNS:SNB_19	OV:NCI_ADR_RES	BR:MDA_MB_231	BR:BT_549	BR:HS578T	BR:MCF7	ME:LOXIMVI	LC:NCI_H522	CNS:SF_268	LC:A549	LC:NCI_H322M	LC:NCI_H460	LC:EKVX	ME:MDA_MB_435	CO:HCT_15	CO:HCT_116	CO:HT29	OV:OVCAR_8	CO:KM12	OV:SK_OV_3	PR:DU_145	ME:MALME_3M	LE:HL_60	ME:UACC_257	LE:SR	LE:MOLT_4	ME:SK_MEL_2	ME:M14	LC:HOP_62	LC:NCI_H23	LC:HOP_92	LE:K_562	ME:SK_MEL_5	BR:T47D	RE:A498	OV:OVCAR_3	CO:COLO205	CO:SW_620
characteristics_ch1.2.cell line	CCRF-CEM	HCC-2998	PC-3	SF-295	IGROV1	RXF 393	CAKI-1	U251	SNB-75	SF-539	SN12C	OVCAR-5	UO-31	TK-10	UACC-62	RPMI-8226	SK-MEL-28	786-0	OVCAR-4	ACHN	NCI-H226	SNB-19	NCI/ADR-RES	MDA-MB-231/ATCC	BT-549	HS 578T	MCF7	LOX IMVI	NCI-H522	SF-268	A549/ATCC	NCI-H322M	NCI-H460	EKVX	MDA-MB-435	HCT-15	HCT-116	HT29	OVCAR-8	KM12	SK-OV-3	DU-145	MALME-3M	HL-60(TB)	UACC-257	SR	MOLT-4	SK-MEL-2	M14	HOP-62	NCI-H23	HOP-92	K-562	SK-MEL-5	T-47D	A498	OVCAR-3	COLO 205	SW-620
contact_address	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2	Scheelevägen 2
contact_city	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund	Lund
contact_country	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden	Sweden
contact_department	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology	Department of Oncology
contact_email	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com	rolf.soekilde@gmail.com
