	SKMES1_LUNG	HS683_CENTRAL_NERVOUS_SYSTEM	COLO205_LARGE_INTESTINE	NCIH2030_LUNG	KP4_PANCREAS	HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCIH1838_LUNG	BT474_BREAST	SNU245_BILIARY_TRACT	RERFLCMS_LUNG	ACCMESO1_PLEURA	DMS114_LUNG	NCIH2452_PLEURA	SW1990_PANCREAS	BICR16_UPPER_AERODIGESTIVE_TRACT	NCIH2052_PLEURA	KYSE520_OESOPHAGUS	SW1353_BONE	LN18_CENTRAL_NERVOUS_SYSTEM	NCIH1915_LUNG	NCIH1373_LUNG	HCC1806_BREAST	HCC827_LUNG	HT144_SKIN	NH6_AUTONOMIC_GANGLIA	CAPAN2_PANCREAS	HEC50B_ENDOMETRIUM	T98G_CENTRAL_NERVOUS_SYSTEM	CGTHW1_THYROID	HUPT4_PANCREAS	TE10_OESOPHAGUS	G401_SOFT_TISSUE	HEC251_ENDOMETRIUM	YH13_CENTRAL_NERVOUS_SYSTEM	JMSU1_URINARY_TRACT	OE21_OESOPHAGUS	SNU1041_UPPER_AERODIGESTIVE_TRACT	NCIH2342_LUNG	JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OV7_OVARY	COLO680N_OESOPHAGUS	SW1710_URINARY_TRACT	NCIH747_LARGE_INTESTINE	NCIH1341_LUNG	YD38_UPPER_AERODIGESTIVE_TRACT	KMRC2_KIDNEY	NCIH1944_LUNG	AN3CA_ENDOMETRIUM	BICR6_UPPER_AERODIGESTIVE_TRACT	BFTC909_KIDNEY	LI7_LIVER	DMS53_LUNG	LOVO_LARGE_INTESTINE	CAL851_BREAST	HLF_LIVER	SKNSH_AUTONOMIC_GANGLIA	NCIH1581_LUNG	SW1088_CENTRAL_NERVOUS_SYSTEM	YD8_UPPER_AERODIGESTIVE_TRACT	SH4_SKIN	KMBC2_URINARY_TRACT	MDAMB435S_SKIN	U2OS_BONE	G361_SKIN	JHH1_LIVER	KYSE410_OESOPHAGUS	NCIH661_LUNG	HDQP1_BREAST	L33_PANCREAS	LS513_LARGE_INTESTINE	NCIH2291_LUNG	NCIH211_LUNG	HCC1500_BREAST	A498_KIDNEY	HUH28_BILIARY_TRACT	NCIH1650_LUNG	MSTO211H_PLEURA	KYSE180_OESOPHAGUS	TE5_OESOPHAGUS	CAPAN1_PANCREAS	HCC1428_BREAST	ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	Unnamed: 145	PC3_PROSTATE	CFPAC1_PANCREAS	M059K_CENTRAL_NERVOUS_SYSTEM	MFE319_ENDOMETRIUM	Unnamed: 523	RMGI_OVARY	KPNSI9S_AUTONOMIC_GANGLIA	NCIH2087_LUNG	JHUEM2_ENDOMETRIUM	CJM_SKIN	SKMEL5_SKIN	SNU410_PANCREAS	HCT8_LARGE_INTESTINE	Unnamed: 442	GMS10_CENTRAL_NERVOUS_SYSTEM	SCC25_UPPER_AERODIGESTIVE_TRACT	Unnamed: 494
SID 26681509	-0.13581662745840814		0.4585206098337497	0.25913824604129426	-0.5104522791703453	-0.3373155768537555		0.5203249094382044		0.044939783028594096	0.10970730247709867	0.522441495041097	0.032663586531818035	0.3675074289093809	0.5084720300620081	0.47926314874209397		0.09658447173916618		0.2295060476008027	-0.35170835895342273	0.3192492771634361	-0.04057027532825482	0.08430827524239087	-0.3055667928103706	0.4009494814350788	-0.1806882422397249	-0.44229822275721337	0.13849286667643307	0.030547000928926163		-0.03464383564015665	-0.3838804601173859	0.011921047623474469	-0.6023120943358721	-0.053693106066187324	0.1257933530590803	0.2256961935155964	0.1418794036410611		0.2024137518837812	-0.2018540982686482	-0.20693390371558992	-0.04649671501635298		0.5651965242195212	0.25956156316187323	-0.6687728822666889	0.33491201062483944	0.3763970884415281	-0.2336028823120324	-0.2382593706383959	0.11224720520056956	0.4627537810395342	-0.25307546985864204	-0.24376249320591584	-0.4854765690562164	0.26972117405575663	-0.29202064495185986	0.22146302230981188	-0.3936167538906904	-0.4490712966864687	-0.36991099513829695		0.493655930841762	-0.3889602655643276	0.14949911181147368		0.5101652985443218	0.4140723121730112		-0.6010421429741358	-0.5159554017378651	0.607951553397946		-0.20016082978633454	-0.37329753210292427	0.058485930887104826	-0.20439400099211905	0.5237114464028317	0.6380070689590166	0.1545789172584154		-0.5625202850014963	0.6917683432724813	-0.44229822275721337	0.5165150553529989	-0.3948867052524265	-0.03083398155495037	-0.5210352071848069	-0.2386826877589741	-0.6222079990030592	-0.029564030193214182	-0.1942343900982356	0.7878613296437919	0.467410269365897	-0.5002926682764626	-0.008821491284870609	0.050442905596114036	-0.532888086561004
parthenolide	0.05975588224884025	0.10801403399478504	0.8924206584266714	0.8170702109637059	0.4686802207276324	-0.6780858589194158		-0.6141649737120684	0.9893602790391384	0.35353796393029113	1.1299015630711875	-0.25307546985864204	0.8196101136871761	0.12452340169734485	-0.355518213038629	0.8196101136871761	0.31205288611360177	1.1205885864184613		-0.04014695820767659	0.8196101136871761	0.4174588491376393	0.8196101136871761	0.08854144644817538	-0.24206922472360146	-0.3021802558457433	-0.022367639143381347	0.5232881292822543	0.8196101136871761	1.1472575650149035		-0.7259206935447816	0.8509355806099828	-0.3047201585692141	0.8814144132916315	-0.3500150904711091	0.8166468938431269	0.09404456901569533		-0.2759345943698783	0.8196101136871761			-1.0158929211410268		0.10801403399478504	0.4288884113932574	-0.4147826099196136	-0.2784744970933491	0.17320487056386785	0.6883818063078532	-1.1454279600380353	1.9045718937297689	-0.2573086410644266	-0.284824253902027	-0.8918610048115377	0.5258280320057244	0.8196101136871761	1.8398043742812649	-0.19550434145997106	-0.3186896235483031	0.8196101136871761	1.0045996953799627	1.791969539655899	0.21807648534518456	0.7061611253721485	0.3035865437020335	0.2951202012904637	0.3920598219029315	0.7895545981261055		0.18971423826642766	-0.6920553238985048			0.8196101136871761	-0.13877984730245727	0.7336767382097489	-1.1826798666489402	-0.10703106325907306	-0.4393350029131643	0.2824206876731102		0.14822916044973827	-0.061312814236599136	0.08727149508643996	0.3289855709367405	0.5118585670266355	0.8196101136871761		0.373433868597479	0.7984442576582528	0.1376462324352766	0.8196101136871761	0.5927121370571217	0.27776419934674745	0.2519418549914614	-0.2374127363972387	0.7870146954026347	0.05255949119900667
LY-2157299			0.7057378082515703	0.8327329444251086	0.5656198413401001		0.356501183774341		0.8196101136871761		0.9017336350793976							0.6858419035843824	0.5063554444591155			0.7501861059123087	0.8450091409218838						0.9635379346838524		0.3992562129527651		0.6625594619525672		0.6748356584493425		0.7920945008495763		1.1095823412834214		0.8378127498720496				0.4437045106135036					2.046806446244132	0.6765289269316569						1.0359251623027688						0.5580001331696876					0.8035240631051944		0.8196101136871761	0.5334477401761377	0.7984442576582528						0.3454949386393011				0.6976947829605794	0.6016017965892688		1.0638640922609477							0.7552659113592505								
vincristine	-2.7181780581231885	-3.637453517171372	-1.8312016953751409	-0.6116250709885968	-3.2664583926964097	-3.4887422127121592	-1.703105934688099	-1.1424647401939865	-1.350652100094473		-0.018557785058175062	-3.679573570668929	-1.411609765457771	-1.4741760358792677	-2.569932402496612	0.06314241921346757	-0.8304800223276612	-1.3280892975676408	-2.3173390766474444	-1.519640294629394	-0.5942690690448805	-2.860920591182245	-1.708016413286809	-2.184417500785808	-2.990455630079253	-0.5993488744918222	-2.209985854868747	-0.5968089717683506	-1.3174640378411222	-2.2721711398817233	-1.921791559178932	-3.3047262603967025	-1.9808442974996268	-3.3142085638976604	-2.8838220474055394	-2.985333492920254	0.3797836254061562	-1.07007751257507	-2.256466074708262	-1.8106708150270852	-0.4135126585578782	-0.9299595456635992	-2.2321676719870585	-3.578400778850677	-2.457668702119204	0.2908870300846792	-2.374275229365247	-3.1658359131349094	-3.2300107886146043	-2.0658463753117813	-2.1020823208332966	-2.5976173421824433	-2.1536000144076963		-2.6733064433418714	-3.076981649525491	-3.61370542670692	-1.9699227157887025	-1.5355993500752023	-0.7030615690335446	-0.635330829740991	-2.8952939413732164	-3.11512252208961	-2.673687428750392	-2.62479430132358	-2.9118879724998914	-3.6783882827313095	-0.5375445748873667	-1.4499199648701218	-2.8753980367060286	-0.13920316442303626	-4.494459027782464	-3.5655742700971493	0.048326319993222164	-0.8008478238871688	-1.4972468189507941	-3.1677831718895715	-2.7632189997527363	-2.9103640308658085	-1.0053099931265652	-0.5125688647732379	-2.7259247614297744	-1.8730254268882924	-1.165323864705223	0.4602138783160634	-1.6851996204876298	-2.6105285143600856	-0.5337347208021604	-1.6301683948124304	-3.0959885882394635	-3.1805673489310404	-2.6614535639656745	-3.5527900930556804	-3.0677956680089387	0.3442249872775657	-0.4317152947427517	-1.030285703240694	-0.3889602655643276	-3.224549997759142	-3.6424063274821408
BRD-K99006945	0.5440306681905986	0.7400264950184253				0.6782221954139706		1.040158333508554		0.6041416993127398		0.29300361568757105		0.7942110864524682	0.7650022051325549		0.7235171273158655			0.8932672926678279				0.3713172829945872	0.8721014366389054	0.5135518355089491		0.8191867965665979				0.34930479272450665		-0.6404106351879334		0.7586524483238778		0.6202277498947221		0.5440306681905986			0.6557863880233118	0.7057378082515703		0.6862652207049613	0.7129341993014038	0.6904983919107458	-0.1366632616995654			0.5685830611841493		0.5613866701343156	0.7527260086357795	0.22230965655096907				-0.7508964036589112	0.5850924288867091				0.7848981097997421								-0.2293697111062479	1.4863345785982502					1.1036559015953225	0.7692353763383386	0.7243637615570226			0.7065844424927274		0.05340612544016312	0.7167440533866101	0.5546135962050602					1.014335989153268			0.6274241409445549	-0.8778915398324487	0.7743151817852811		0.2155365826217137
isonicotinohydroxamic acid	0.6794921467757061	0.7285969327628072				1.0109494521886402		0.7819348899556929		0.6807620981374414		0.8022541117434591		1.0299987226146707	0.8005608432611454	1.422837010511482	1.7445580221511108			0.7717752790618102	0.8797211448093172			0.8695615339154344	0.6794921467757061	0.8767579249652679	0.1456892577262674	0.8060639658286654		1.5248564365708908		1.0130660377915326		0.8818377304122098		1.746674607754004		0.7044678568898348		0.5317544716938233		0.8196101136871761	0.9626913004426952	1.5540653178908037		0.8500889463688248	1.0194157946002091	0.9004636837176623	0.6811854152580197			1.5582984890965892	1.905841845091504	0.7188606389895027	0.8196101136871761	0.9631146175632742		0.8196101136871761		0.5042388588562237	0.7984442576582528	0.8196101136871761		1.5320528276207244	0.8661749969508065	1.0164525747561601	0.489846076756555		0.6198044327741431				1.1637669327174645			1.4964941894921338	0.6900750747901676		0.8196101136871761		1.5494088295644413			1.1095823412834214		0.8014074775023026	0.8352728471485794	0.6926149775136378	1.7085760669019427	2.0273338586975203	0.8196101136871761		0.7844747926791638	1.8817127692185325	1.4571256972783369	0.8437391895601485	0.7205539074718157	1.1997488879666331	1.8063623217555664	0.8928439755472497
clofarabine	-2.3416798110807058	-0.17814833951625406	-0.1256570165645255	0.3243290826103778	-1.742008778069259	-1.4397603539762391	0.1537322830172582	2.0015115143422366	0.6316573121503394	-0.919376617649138	0.6341972148738103	-0.34027879669780464	-0.493096277226629	-0.8220136799160921	1.4694018937751123	-1.8722211243591935	0.08515490948354808	0.0538294425607421	-1.6979837975290997	-0.5532073083487701	-0.9117569094787256	-1.2038457226778627	-0.5650601877249671	-0.015594565214125982	1.3792353470919	0.5749328179928264	-1.2482940203386013	0.19140750674874055	-2.0251232683121336	-1.9667901690964216	-0.2560386897026911	-1.6920996895530591	-0.15994570333138056	0.0944678861362743	-2.779897694303528	-1.0379054114111066	0.04028329470223136	0.2832673219142674		-1.278772853020251	-0.496482814191257	-0.5616736507603391	0.33364205926310403	-2.2750496963016564	-1.0734640495396972	-0.09856472084750403	-1.7944154375968728	-0.13920316442303626	-1.0438318510992048	0.05255949119900667	-1.7362516652293918	-0.9837208199770636	-2.053231525118543	-1.559728425948174	-2.1489435260813328	-0.23571946791492504	-0.4715071040771274	-0.7504730865383322	-0.3165730379454105	-0.2378360535178169	-0.4588075904597732	0.058485930887104826	-2.9417318295006734	-1.5297999055232776	0.090658032051068	0.2295060476008027	-1.0764272693837462	0.44920763318102347	-2.7209719511190062	-2.2437665610909083	-0.08586520723014976	-2.4552557945319067	-0.8783148569530269	0.2405122927358425	-0.20820385507732533	-1.7010740125093218	-3.314462554170007	0.5651965242195212	-1.8452558237783456	-0.5781830184628989	0.7459529347065242	0.4974657849269682	-1.7356166895485243	0.2434755125798916	-0.6543801001670216	-0.390230216926063	0.4902693938771339	-0.2463023959293867	1.2721361155855524	-2.481289797447482	-1.8515209171629072	-3.0648324481648888	-0.4875931546591083	-0.9426590592809532	-0.2877874737460753	-0.6404106351879334	-0.022790956263959567	-0.4634640787861367	-0.6835889814869349	-2.0133973840721096
BRD-K44224150			0.8191867965665979	0.5088953471825857	1.1125455611274704		0.2904637129641009				1.957486533802076							0.5960986740217491	1.159110444391101			1.2590132848476177	1.180276300420024						1.3233574871755438		0.7514560572740442		0.8196101136871761		1.3834685182976851		0.7099709794573548				0.8196101136871761				0.7781250358704866					-2.095817227448737	1.9947384404129809						0.9440653471372435						0.1867510184223786					0.9686177401307942		1.0139126720326892	0.8196101136871761	1.0909563879779682			0.6617128277114107			1.0985760961483817				0.8196101136871761	0.8196101136871761		0.8196101136871761							1.4948009210098194								
BMS-270394	0.4140723121730112	0.8196101136871761	0.9880903276774029	0.9643845689250096	0.6849952693432261	0.6384303860795948	0.702351271286943	0.8196101136871761		0.7065844424927274	0.7408731292595825	0.8149536253608133	0.5385275456230787	1.659894598035419	0.5639265728577865	0.7493394716711516	0.6684859016406661	1.3292839268636425	1.3343637323105824	0.6583262907467834	0.7446829833447888	1.322934170054965	0.7531493257563578	0.8162235767225487	-0.0232142733845378	0.4729133919334169	0.6892284405490104	0.019964072914465263	0.3776670398032636	1.0266121856500434	1.0418516019908677	0.1770147246490734	1.1227051720213532	0.4123790436906976	0.6896517576695886	0.012767681864630918	0.6113380903625734	0.4640237324012697		0.5939820884188571	1.115085463850941	1.3127745591610818	-0.62474790172653	-0.33054250292450016	0.8196101136871761	0.6621361448319889	0.8064872829492435	0.5220181779205189	0.7696586934589176	-0.4257888550546535	1.3877016895034688	0.5055088102179583	0.5753561351134047	0.7057378082515703		0.8035240631051944	0.6777988782933916	0.4276184600315227	0.5580001331696876	-0.05030656910155926	0.4094158238466485	0.5931354541776999		0.3721639172357436	0.7683887420971822	1.4550091116754436	0.7285969327628072	1.2818724093588538	1.1476808821354827	1.3762721272478515	0.7827815241968501	0.7044678568898348	0.267604588452864	1.750907778959788	0.8196101136871761	0.6748356584493425		0.5787426720780319	0.2726843938998057	0.7848981097997421	-0.03930032396652014	0.8196101136871761	0.4284650942726792	0.7730452304235457	0.7819348899556929	0.5804359405603463	0.5948287226600135	0.7497627887917305	0.5127052012677926	0.9927468160037664	1.1358280027592855	0.9046968549234468	0.6926149775136378	0.7010813199252075	0.8323096273045296	0.5817058919220818	0.6697558530024015	0.5609633530137367	0.6104914561214161	0.3234824483692206
BRD-A86708339	-2.0376111233691976	-0.8355598277746029				-1.4637624347130376		-0.647183709117188		-1.3173370427049482		-1.0442551682197838		-1.414445990165647	0.5440306681905986		-0.5417777460931512			-0.6899387382956128				-0.5261150126317486	-2.4017908422028467	-1.4657096934676983		-0.8088908491781597				-2.4305764064021824		-0.973137891962602		-1.999258592244789		-1.3639865893926948		-0.6192447791590093				-2.3377852935713843		-0.23614278503550398	-1.1665938160669589	-1.715001145776354	-1.5401711749774498			-1.6778339025895646		-2.1311642070170373	-1.8880108529567703	-2.5073238003630576				-1.4313786749887856	-0.8266701682424549				-1.5555375864544474								-2.6320753557975296	-0.8829713452793905					-1.8320483296162973	-1.483446680819936	-1.2703065106086808			-1.2398276779270323		-0.5582871137957118	-0.7741788452907263	-0.8888977849674886					-0.6945952266219756			-1.3447679921184323	-0.4892864231414227	-1.508210732373776		-1.8382710912888012
