	ERBB3_PI3K	RAS_WNT_PI3K	KRAS_AP1	MYC	BRAF_MAPK	TNF_NfkB	HNF1_PAX8	MYC_E2F	EMT
SNUPN	0.6188283268	0.6867131791	0.614909737	0.5770711109	0.6542486982	0.6401599947	0.6268128771	0.9503476791	0.716149243
CRYL1	0.8115605294	0.9582517686	0.5089638142	0.4513912919	0.8083803972	0.3894376076	0.6617481513	0.7107709142	0.7314405804
TPK1	0.2641210905	0.4040213257	0.1280923511	0.2462416309	0.343668473	0.2797278311	0.6563784608	0.5179880665	0.397937936
GEM	0.227015264	0.6247445089	4.08577724503177E-09	0.4575696775	0.5301520706	1.1603754065	0.3855253555	0.4531041884	0.9127038909
AP000318.2	0.6473427536	0.6708954701	0.5520253431	0.6985224087	0.7204302403	0.7555917563	0.7702172582	0.8274865308	0.7465241203
ERCC1	0.9110054385	0.7621794945	0.8011445945	0.7893672414	0.8266154759	0.9333375062	0.8147661691	1.0668428678	0.971987474
RSAD1	0.8695733183	0.7775741489	0.5014499889	0.8103527277	0.7533269891	0.6867632774	0.7283780921	1.0523037079	0.8133129956
AEBP1	0.1609925706	0.1451903639	0.2355570021	0.7750833573	0.7297381428	0.1069983526	0.1349305484	0.2386475074	1.0076048169
LEPRE1	0.3843891875	0.4809890367	0.7235654261	0.7929064801	0.8124131656	0.8671534702	0.9922556965	1.0022497834	1.0586038509
RP11-127L20.6	0.3166835076	6.54361701991497E-17	0.0601173263	0.2769336729	0.3035512813	0.2901828862	0.0337078404	0.4097664559	0.2477170573
NAGS	0.2996673357	0.4548564366	0.247789376	0.3195181703	0.3642766135	0.8054771902	0.186577643	0.5811682036	0.298691106
AGPAT5	0.6001150473	0.8809013249	0.6798127894	0.9887921718	0.7139100861	0.9421041416	0.661367798	0.9697037923	0.6313240319
CNRIP1	3.10820338697103E-21	8.41007542777591E-20	2.21409082300942E-20	0.8054238412	0.7590908169	0.4028270231	0.1584030547	1.49098226846881E-14	1.2252549471
LEPREL2	0.1429825911	0.2491336428	0.3323607712	0.7737529264	0.6380518616	0.4164569082	0.2761545384	1.0501971004	1.2591543582
AC046143.3	0.3014014047	0.4792431812	0.3781545536	0.4802257265	0.425188803	0.4637087756	0.3496584322	0.4972222473	0.6234231833
TM4SF19	0.1526787732	0.2607398883	0.4212093312	0.2239678856	0.4097721668	1.3975981849	0.388626646	0.3713187937	7.63210221178355E-21
RP1-12G14.7	0.3376630894	0.331188805	0.2846720117	0.3990297528	0.3317815725	0.2742616546	0.328249691	0.5077216624	0.6025544976
NOB1	0.9616796397	0.9715509852	0.9228966631	0.7925211225	0.7872669786	0.9998971509	0.8803566152	1.0985982516	0.8972262403
ENG	0.7345983628	0.1907710436	0.1848811757	0.1889609842	0.9347726959	0.9468863619	0.2389502433	0.4790781093	1.2256532765
PCOLCE	0.4459732319	0.3456167358	0.2911430174	0.4741569581	0.630612949	0.2636254339	0.2014795334	0.9031745407	1.3606037239
AC005035.1	0.3974196851	0.6599887313	0.6600395797	0.9507712573	0.7084638644	1.1334722679	0.8380357517	0.7251814035	0.8404114677
STEAP2	0.2445653107	0.7612901886	0.2753482829	0.1842592666	0.1703337787	0.8617236379	0.27517785	0.5112736213	0.3804173921
DHH	0.0671670696	0.0492677666	0.0132844634	0.2230533088	0.3495362949	0.140271809	1.01359360270609E-20	0.2989750883	0.0536774463
MTAP	0.5202224307	0.8550652141	0.6285708392	0.7733700988	0.5197828685	0.4870382683	0.6126082461	0.7082530676	0.5897802933
TWIST2	3.41504133285212E-21	1.30144444057146E-21	0.3726186571	0.0390173502	0.1485449323	0.3148160655	0.1611993807	0.3665637496	1.0562307794
TNFRSF19	0.1224568097	0.6879088036	0.3260920482	0.7832866489	1.0436432291	0.0711306929	0.5875570912	0.0036315357	0.8010352243
ZNF589	0.4916619666	0.6058553586	0.3356876652	0.6210884183	0.5625605469	0.4533460276	0.2614928528	0.9754915345	0.4485051154
RAB31	0.4989326171	2.12733744224009E-18	0.827734394	0.2555166632	0.5422018485	1.2577538862	0.6983810201	1.0029399258	1.0046224584
DUSP6	0.696121339	1.145481934	0.6079226881	0.4481942736	0.978898155	1.2023973345	0.3972751633	0.8101413685	0.57145533
SLC2A3	0.1243015802	0.4144136822	0.4728301115	0.2431259409	0.7874150481	0.8139286851	0.3290533768	1.0331407625	0.9547074081
TMEM145	0.2005044776	0.2627593703	5.33565096175674E-18	1.059930919	0.3915901508	0.4273629294	1.13986470005688E-10	0.8021325569	0.0827397076
EML3	0.9067919368	0.7102205658	0.7017933555	0.6583126298	0.7214837428	0.8612279633	0.6692172183	0.9609137951	0.824525407
ADAMTSL1	4.25892299032765E-21	0.0509610865	2.65237037604807E-20	0.4223506263	0.0737743508	0.2383019955	0.1212018426	4.67565945888033E-15	1.1877608697
SLC20A1	0.9352168856	0.8600886042	0.737971556	0.8994223226	0.8555766696	1.1932706094	0.8234492	0.8974814827	0.9411645831
STX1A	0.6737215339	0.6144562797	0.2563243393	1.0178761971	0.5418796445	1.3387432255	0.5099954874	0.4759115842	0.5989944233
ISG20	0.7831655595	0.5651968622	0.2662421511	0.2486032047	0.6770063505	0.7628733139	0.457827841	0.4589894881	0.2126561524
CTSL1	0.9069404543	0.3618324369	0.889124525	0.3207203863	0.8811399501	1.1128110521	1.02267607	1.1525302375	1.0237480207
STARD8	0.0003306576	0.1966907382	1.12290943807539E-06	0.1191662654	0.4170315955	0.4578058989	0.5762286186	0.5690932375	0.5791152288
TRAP1	0.9838962804	0.9462868282	0.8523180932	0.8641264118	0.7767820352	0.9213396678	0.8412458863	1.145134837	0.7772738916
FAM216A	0.3489806531	0.5635812277	0.4041322477	0.8709459552	0.5741426351	1.035102534	0.6219791018	1.0424831101	0.6848439903
SLC35E4	0.3246963054	0.6297005212	0.359920162	0.387214207	0.5725801945	0.6194841219	0.2840443368	0.7444045321	0.7773488305
EXOSC2	0.8173471493	0.7965143475	0.7643604405	0.8791351484	0.7014850779	0.9297787775	0.6715825231	1.0951884386	0.6948174749
RPLP0P2	0.3940461972	0.2861786621	0.1171487751	0.2226201781	0.2962705092	0.2373817077	0.0079622175	0.0344302646	0.4971060597
