	Sample 0	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Sample 19	Sample 20	Sample 21	Sample 22	Sample 23	Sample 24	Sample 25	Sample 26	Sample 27	Sample 28	Sample 29
Sample 0	0.0	0.6482118549249313	0.35374017093521454	0.7535903673995985	0.8645385717211319	0.32290532683215784	0.799318091283856	0.5727439189011804	0.6301412184277037	0.60144183031188	0.469264723325299	0.49207166760062043	0.6897007489558885	0.9343958351759696	0.9442978852061767	0.4887473145941361	0.9083851995591881	0.6192753392218394	0.2978735418830809	0.6134681104308425	0.5481040789400949	1.088599854488324	0.5635595036115807	0.8223051732268337	0.4133390217818716	0.5162617765474623	1.142339637154087	0.6574208605428794	0.9207737103882078	0.3525929029927644
Sample 1	0.6482118549249313	0.0	0.3982093727717846	0.4903993256589443	1.144577835870843	0.4451873825950732	0.5021263683357198	0.32321623398295013	0.5592608836585851	0.8781716699504999	1.0164493568275905	1.0161908797911208	1.02625497086657	0.7598314554725482	0.7930227023527696	0.3848074569534438	0.3699002199155288	0.5449964195675059	0.42508170054128325	0.3178832196595993	0.748090350174431	0.592816479586843	0.851779609343612	0.3993345939527511	0.3740009817755101	0.3069520371628111	1.0419657369661521	0.7053088988503722	1.210837838939519	0.7662824031532246
Sample 2	0.35374017093521454	0.3982093727717846	0.0	0.48037794854238564	0.9406936387130694	0.33185187414419515	0.5199575863997458	0.26099016751413057	0.4860904021447196	0.6823651844576873	0.8138495575251251	0.8299776934463724	0.8266146419625942	0.7613635381597519	0.7759291138592092	0.27555037554942285	0.5712627903169143	0.5305882855178101	0.3187839099782665	0.3698657672796006	0.5733734895513899	0.7776435401091705	0.6944125712693965	0.4723115125456356	0.27775925293829884	0.17036410782639472	1.01657483770625	0.6272840646447625	1.0287436451711527	0.48884103648259136
Sample 3	0.7535903673995985	0.4903993256589443	0.48037794854238564	0.0	0.8513953273521597	0.542574386996345	0.04861735377186795	0.5479576663475815	0.8843547682950456	0.6683053032367859	1.1654489033624367	1.1931935230520525	0.8334898814520993	0.3532814372189708	0.37172727525452054	0.27748434223014806	0.41363605201718223	0.9317665856436547	0.7189776387832616	0.6754846432097027	0.5411440462751805	0.3914139945997773	0.7335545898395883	0.34816710341014734	0.6955157319360057	0.43666739893602335	0.6291065389895942	0.48819891315775765	0.9519686411897029	0.6528307061721828
Sample 4	0.8645385717211319	1.144577835870843	0.9406936387130694	0.8513953273521597	0.0	0.7849528734425181	0.8844133774041938	1.1819023414044008	1.412175704573644	0.2898015375323737	0.9982953471053808	1.0592929833453086	0.23647803230345238	0.6812452528497994	0.6576796990521919	0.7780683158041238	1.2505322739099785	1.4260657082750252	1.0592973263007328	1.2928922393999078	0.40095181994063206	1.194718348888591	0.41018418341025303	1.1675508065613998	1.1664440599983539	1.0570677420717283	0.6344443674705273	0.4775611136435853	0.14561622093993734	0.513481707430988
Sample 5	0.32290532683215784	0.4451873825950732	0.33185187414419515	0.542574386996345	0.7849528734425181	0.0	0.5827108290492684	0.5302140892558653	0.7102939368828437	0.4964560588942468	0.6463243087056879	0.6663504787393351	0.6207133226245742	0.6869678625357823	0.7072774915103107	0.2710886758778975	0.7231495042070609	0.6829584940315391	0.305272461880157	0.5753463483433261	0.3940463831390755	0.8490689075820514	0.4400868549038909	0.674700166723734	0.4320825849219735	0.44086424589744483	0.9143604039796326	0.42114304140165704	0.8336667961043128	0.36232116340593057
Sample 6	0.799318091283856	0.5021263683357198	0.5199575863997458	0.04861735377186795	0.8844133774041938	0.5827108290492684	0.0	0.5698965746496775	0.9088766638620999	0.7079906467954695	1.2102402584658187	1.237201293510849	0.8722182777865038	0.35017537111717234	0.3703437744320459	0.3204660149305923	0.39459547689477026	0.9568290412578315	0.754899957910417	0.6945032403573839	0.5815317518650861	0.3454381868365459	0.7728484329547451	0.34073341966191656	0.7264062817646969	0.4644749965457523	0.6256357494857453	0.5192175855911494	0.9842045299082892	0.7000863793538773
Sample 7	0.5727439189011804	0.32321623398295013	0.26099016751413057	0.5479576663475815	1.1819023414044008	0.5302140892558653	0.5698965746496775	0.0	0.3416287772938015	0.9264976748179081	1.0086748481719698	1.0115607583931656	1.0766968231716156	0.8822762283324136	0.9029403251498749	0.4400009846658165	0.4314270917702504	0.41627117493226234	0.4169911826147168	0.16449533437011749	0.8070694729432769	0.7181290803456911	0.9340576934276793	0.35690967967143256	0.25875972432090466	0.1294132649773862	1.1592296925713506	0.8269818335122093	1.2721837058134566	0.7485216107437528
Sample 8	0.6301412184277037	0.5592608836585851	0.4860904021447196	0.8843547682950456	1.412175704573644	0.7102939368828437	0.9088766638620999	0.3416287772938015	0.0	1.1446184826767092	0.9783079022975789	0.9626899374955328	1.27249997634164	1.2061450368634972	1.2267979837922522	0.7283411232745606	0.7317947395982923	0.15741452326377495	0.4520582107350008	0.2508109248748987	1.0430684782790318	1.0410522175692491	1.1243763117982475	0.6810016166864487	0.28055086106352994	0.4495971257769504	1.4788288242219358	1.0879794558262412	1.490657785914431	0.9216999778638159
Sample 9	0.60144183031188	0.8781716699504999	0.6823651844576873	0.6683053032367859	0.2898015375323737	0.4964560588942468	0.7079906467954695	0.9264976748179081	1.1446184826767092	0.0	0.7837818686643617	0.8380187194180972	0.16669967530467591	0.5883111452613047	0.5804313515417783	0.5275238305931597	1.0329733668153047	1.1472295187936299	0.7733504170920931	1.023344987913432	0.13609790659348325	1.0295674109447808	0.16881563325157753	0.9560813720936263	0.8885566256587144	0.8059097520026838	0.6649982620762115	0.268734402505519	0.3486961030719381	0.2636560478639533
