	K0	K1
Feature 0	0.43980111424316226	0.46333672902499173
Feature 1	0.6085847695197651	0.26575463364793617
Feature 2	0.5325789511035697	0.413883105223201
Feature 3	0.6660227729697282	0.22117569933143752
Feature 4	0.5705224549030553	0.3277298770411349
Feature 5	0.6681556195480561	0.10573871299726206
Feature 6	0.1671091510979907	0.7450687206617653
Feature 7	1.0217710041310504	0.0
Feature 8	0.33760422789523115	0.4598095205371563
Feature 9	0.6433885403875631	0.5313946540042103
Feature 10	0.6946023906750239	0.35257628337082203
Feature 11	0.5921930234497127	0.2398193922515921
Feature 12	0.4456823068854501	0.5732419333590917
Feature 13	0.1839219141850888	0.5486406662873491
Feature 14	0.7388053385293636	0.20652183363324342
Feature 15	0.21680504277143337	0.5683690233314043
Feature 16	0.8562613948787452	0.1278736368756221
Feature 17	0.49099776321892113	0.5409678554611624
Feature 18	0.6609542636550082	0.17833238377947197
Feature 19	0.6005386877743976	0.26175992115322677
Feature 20	0.24477389142834471	0.7404751251720781
Feature 21	0.18613758725931578	0.7054812567078074
Feature 22	0.670823587267538	0.4551546571984385
Feature 23	0.09370013912102902	0.666170950137702
Feature 24	0.09799535401763693	0.9295180306468619
Feature 25	0.6455173475587453	0.18377805299520542
Feature 26	0.403328336842885	0.4940732971103889
Feature 27	0.6435427753429381	0.3938956472310247
Feature 28	0.04289708286507876	0.7833642187169042
Feature 29	0.4092861655962905	0.5848040644597029
