	K0	K1	K2
Feature 0	0.06892802499418887	0.4431630633354186	0.39151255730159795
Feature 1	0.17032314762620113	0.259427233870573	0.5081431579867555
Feature 2	0.4280273033884924	0.17710772676273473	0.2336877183411318
Feature 3	0.07287025349479939	0.625912862852146	0.10183023776259846
Feature 4	0.8561436920038016	0.040070118945854306	0.2142864946520385
Feature 5	0.519386405690909	0.30815263572824936	0.1833634914932581
Feature 6	0.49148971175813344	0.23820476837380178	0.1875424558204279
Feature 7	0.1691725068877425	0.6131499027525497	0.03282124596004228
Feature 8	0.3337999870187784	0.3534581463799676	0.11424215808242362
Feature 9	1.0402926502620577	0.0	0.0
Feature 10	0.5643149630377244	0.26560259980756407	0.25776662690302554
Feature 11	0.5535132265271527	0.0829129446242166	0.41264143689515054
Feature 12	0.3939637032121922	0.15391874753921553	0.36994150134782655
Feature 13	0.3693991490281884	0.21334640192172596	0.29368798826135895
Feature 14	0.12220954371593767	0.4498446266800886	0.2886775796978311
Feature 15	0.6545738342321729	0.2480072012025342	0.10489219571881911
Feature 16	0.2778170222187463	0.1456118091437866	0.4828928749289016
Feature 17	0.3121007650640588	0.03425603737676531	0.689590510218301
Feature 18	0.0	0.2787826122316971	0.5909684492845636
Feature 19	0.5750869178233133	0.0	0.477399267319297
Feature 20	0.0	0.5853223740573449	0.14826376712389688
Feature 21	0.20808081237040865	0.5003299215920586	0.27466002404486795
Feature 22	0.6510753931008809	0.28166177890352545	0.09254833099957673
Feature 23	0.4748931583202866	0.28698891047555236	0.27244467184112514
Feature 24	0.27541955429335035	0.11636586053908426	0.5000317496509267
Feature 25	0.44137238407732265	0.46035280301408743	0.0
Feature 26	0.1516704415135847	0.0	0.8253081510136651
Feature 27	0.3948621474208604	0.21964672151949755	0.3997720796534726
Feature 28	0.5467598552355839	0.1788446687880635	0.20484914915657373
Feature 29	0.18857955185190756	0.4321432153443662	0.348231713331747
