	K0	K1
Feature 0	1.0124567282544388	8.140824651276565e-06
Feature 1	0.14721605057386095	0.7598874390546476
Feature 2	0.19856739630128478	0.6093740528018149
Feature 3	0.5900995651441018	0.5508946831000775
Feature 4	0.7576814864646692	0.1929888108264319
Feature 5	0.5577877151271272	0.21910738429270815
Feature 6	0.5834440368391054	0.5742810617116175
Feature 7	0.12573490036500853	0.6387057775229911
Feature 8	0.48899378895107376	0.39499394079416306
Feature 9	0.6156837877932556	0.6514794514692771
Feature 10	0.25578760819645563	0.5632747519840778
Feature 11	0.6171625670108234	0.18350839110837075
Feature 12	0.7790183128806134	0.34489397982741415
Feature 13	0.7512074257438083	0.16869030091153167
Feature 14	0.5047968404147721	0.26320576328469997
Feature 15	0.5231723827999485	0.5249514117673183
Feature 16	0.40414183124361297	0.594810664466729
Feature 17	0.7975889328432184	0.3035225196419727
Feature 18	0.13028528744098744	0.8018196292098508
Feature 19	0.18263194338019845	0.49982775938597673
