	K0	K1	K2
Feature 0	0.8140982611823807	0.0	0.4062212458340343
Feature 1	0.2219879442882845	0.5977938530251822	0.05164243729128927
Feature 2	0.0	0.2415895562987528	0.6121497837473181
Feature 3	0.6543356105135074	0.5382769856424895	0.0
Feature 4	0.6309000331421095	0.14673757293303327	0.3118947151804617
Feature 5	0.5790299845494661	0.2569140906736764	0.017202842104014765
Feature 6	0.5042795039643726	0.42363171572577707	0.30490484919034716
Feature 7	0.059907480157309574	0.38883808136234266	0.31131265320354684
Feature 8	0.41968317960217516	0.26863749588744007	0.27109004849717366
Feature 9	0.4512508437118766	0.3994602477730102	0.5109704099212496
Feature 10	0.012193163208287392	0.19039880889226518	0.6768413501684657
Feature 11	0.35021266584506977	0.0	0.5977988087669572
Feature 12	0.7958299245769134	0.37615304603872185	0.057517718375377704
Feature 13	0.6806076524574145	0.1833483004630726	0.18319671531245135
Feature 14	0.2847121759479279	0.058972055034434215	0.5379755620650513
Feature 15	0.46984100406576423	0.3812583516572231	0.26547228000325296
Feature 16	0.23507179504839018	0.3263605150772914	0.49950350374964786
Feature 17	0.7550374068968726	0.30472299956056015	0.16306047100301882
Feature 18	0.01839704581044258	0.4596997648308834	0.4496708516873349
Feature 19	0.18570061971016738	0.37409735860433035	0.12067323984638685
