Sample	Sample 0	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Sample 19
Sample 0	0.8447638918856245	-0.8243191210846258	0.8225042586180231	0.11437823234576434	-0.8352807305985687	-0.503603847779851	0.19444204164852466	-0.8266707364322677	0.3181151706592206	-0.7311254381835202	0.645509316769828	0.20874256345668407	0.2234516185730563	0.8461362607975512	0.6866295266412882	-0.8241622712517622	0.07330343374854253	-0.30503950988485595	-0.16516272475455596	0.7320355781956291
Sample 1	-0.8243191211063571	0.8166479828031656	-0.8223263163113309	0.050670345759776546	0.8113993694796504	0.5946353761091818	-0.346702297190412	0.8099010458423207	-0.1670391879464392	0.7936787406057212	-0.7336714803905084	-0.09435385349392346	-0.37547632620079446	-0.8266483659002832	-0.7646873879149482	0.8171873565032914	-0.17766235086812127	0.15694920289912814	0.3137457098152805	-0.794225752138894
Sample 2	0.822504258620554	-0.8223263163657736	0.8304465705408031	-0.05655016182898597	-0.8104862856266893	-0.6357787447306845	0.38382649557935755	-0.8125315390737132	0.14222217708007018	-0.8169729518308141	0.765062907323638	0.0782367832819947	0.4121109900271514	0.8246962566631785	0.7922339526465122	-0.8230941296522414	0.20712167300979856	-0.1331442273375704	-0.35081911425243956	0.8174326633780719
Sample 3	0.11437823237407072	0.050670345768179303	-0.0565501617774702	0.8492169906443754	-0.09112764867513705	0.3649604613283428	-0.6050790684789213	-0.058808457608294826	0.8215370920338786	0.18535163142947872	-0.25672484701740816	0.8120618779559913	-0.5755057724586963	0.11982302423485504	-0.22515297886409188	0.05114966192925825	-0.8084710572272296	-0.8169478150885412	0.6449528955293107	-0.18451547121052847
Sample 4	-0.8352807306221881	0.8113993694856443	-0.8104862856410867	-0.09112764869402522	0.8227594911239705	0.5080836376693851	-0.23142628441925148	0.8129658711472421	-0.2760527917504932	0.7351380141127895	-0.6537208792903791	-0.17329935435229982	-0.2613361939182382	-0.837296159069742	-0.6936898994518887	0.8113176146302281	-0.0951571183755976	0.2631288841808727	0.20019312178692483	-0.7359652535828984
Sample 5	-0.5036038478417241	0.5946353762450735	-0.6357787444722951	0.36496046127493575	0.5080836377436395	0.8360758427620949	-0.8045618954944651	0.550044165823399	0.13654520419407562	0.843501715870377	-0.850367481641696	0.22882158806293315	-0.808145894557529	-0.5023909115637172	-0.8494638077898016	0.5982598202567684	-0.7252774503212017	-0.146541823845366	0.7985397626906401	-0.8433055081582106
Sample 6	0.19444204150578395	-0.34670229714199996	0.38382649517723405	-0.6050790685984191	-0.2314262843460297	-0.8045618954888397	0.8097299629503726	-0.3025365802387027	-0.4318689680527066	-0.7072383511672312	0.7660598081990228	-0.46114863854375465	0.8072316468056893	0.1869012830857999	0.744693813351918	-0.3500206893469896	0.8183628436351634	0.4327649669819744	-0.8139168209508562	0.7062791061895818
Sample 7	-0.8266707364543375	0.8099010458416966	-0.8125315390476225	-0.05880845762253025	0.8129658711408753	0.5500441657151073	-0.30253658030586095	0.8070337097476559	-0.20289482056216226	0.7655901423938922	-0.6963206741477042	-0.11878053865815087	-0.33197976959010855	-0.8290709223920645	-0.7315434046023981	0.8101526839252091	-0.14411555310293314	0.1915642482100231	0.2698100216762344	-0.7662442173597019
Sample 8	0.31811517071467466	-0.1670391879110068	0.14222217726759406	0.8215370920372888	-0.27605279172233493	0.13654520422396366	-0.43186896794943813	-0.20289482053376767	0.847366785176267	0.04868328163920526	-0.0756699598407848	0.8295429216320639	-0.405696187560545	0.3262716746744439	-0.06250686420102668	-0.16463682929974344	-0.6595572446461472	-0.8440888856400244	0.46599758900739835	-0.04843298011615279
Sample 9	-0.7311254382316729	0.7936787406731189	-0.8169729516791479	0.18535163138390306	0.7351380141645231	0.8435017158312541	-0.7072383511827437	0.7655901424534508	0.04868328162870127	0.8947350122929628	-0.885312517244816	0.09689458326544918	-0.7244068468124846	-0.729819657677291	-0.8912605357104839	0.7958285111487989	-0.5348533110163485	-0.05323520323176168	0.6848590148329347	-0.8947720831799028
Sample 10	0.6455093165742019	-0.7336714802877939	0.7650629069469631	-0.2567248471622402	-0.6537208791134481	-0.8503674816178775	0.7660598083243012	-0.6963206740087666	-0.07566995991052114	-0.8853125172139649	0.8813062816810929	-0.1435546201265281	0.7762766946263633	0.6435037397723624	0.8848280609518153	-0.736541549178061	0.6324837791670413	0.08247146038440015	-0.7516742096478117	0.885279296210371
Sample 11	0.20874256350411954	-0.09435385346902596	0.07823678339995507	0.8120618779546368	-0.17329935432782356	0.2288215881036332	-0.46114863843517256	-0.11878053863664846	0.829542921628665	0.09689458328907626	-0.1435546200195704	0.8066198618929206	-0.4369529655720641	0.2164732937338538	-0.12205928180858001	-0.09276496284928762	-0.7008089911519009	-0.8241955155156206	0.4980538983528177	-0.09639409929551104
Sample 12	0.22345161850650896	-0.3754763262367653	0.412110989713398	-0.5755057724775626	-0.26133619392791235	-0.8081458945631037	0.8072316468018671	-0.33197976960768055	-0.4056961875807619	-0.7244068468468476	0.7762766945474712	-0.4369529655909369	0.8066634209131662	0.21552679531951577	0.7577790363309952	-0.37874722023377516	0.8059889068666418	0.4078090063804849	-0.8090715019941606	0.7235391075758104
Sample 13	0.8461362608179992	-0.8266483659065542	0.8246962566896004	0.11982302421100188	-0.8372961590725255	-0.5023909115205603	0.18690128321402116	-0.8290709223984578	0.3262716746372263	-0.7298196576502797	0.6435037399886143	0.21647329369596027	0.2155267953734641	0.8473746787293945	0.6847690829653755	-0.8264815831693946	0.06926182926306733	-0.3133240080726323	-0.1581893354613009	0.7307459728891994
Sample 14	0.6866295265966614	-0.7646873879309094	0.7922339524118429	-0.22515297889631578	-0.6936898994232349	-0.8494638077673977	0.7446938134295176	-0.7315434045981564	-0.06250686421760093	-0.8912605357057045	0.8848280609754863	-0.12205928183424827	0.7577790363625889	0.68476908289931	0.88939654964285	-0.7672202560598931	0.593468145403674	0.06833762732817698	-0.7269410714688616	0.8912608575336249
Sample 15	-0.8241622713013814	0.8171873564077712	-0.8230941294595995	0.05114966183441332	0.8113176146387323	0.5982598194722007	-0.3500206888033939	0.8101526838812734	-0.16463682975968127	0.7958285106990708	-0.7365415487678327	-0.09276496315431454	-0.37874721961422414	-0.8264815831928788	-0.7672202555925056	0.8177481863193682	-0.18025251723913055	0.15463943102887723	0.3170556774337361	-0.7963675798671007
Sample 16	0.07330343372092987	-0.17766235090492635	0.2071216727610542	-0.80847105723433	-0.09515711839057836	-0.7252774503452446	0.8183628435828655	-0.14411555312527308	-0.6595572446604859	-0.5348533110769053	0.6324837789903244	-0.7008089911683207	0.8059889068571673	0.06926182924428893	0.593468145346879	-0.18025251773882559	0.884427476306959	0.6609952752738489	-0.8348995885842835	0.5334749229556757
Sample 17	-0.30503950990894013	0.15694920284119324	-0.13314422749557997	-0.8169478150812528	0.2631288841219941	-0.1465418239009344	0.4327649668839257	0.19156424815558593	-0.8440888856319136	-0.05323520325487847	0.0824714603267805	-0.8241955155064369	0.4078090063664008	-0.3133240080799872	0.0683376273247848	0.15463943056314328	0.6609952752633641	0.8403372576965741	-0.4663566725593647	0.052957190047695085
Sample 18	-0.16516272477093208	0.3137457099395909	-0.35081911402311944	0.6449528954441377	0.2001931218783237	0.7985397627183934	-0.8139168209207728	0.2698100217810674	0.46599758893385335	0.6848590149386663	-0.7516742095818858	0.4980538982746573	-0.8090715019876298	-0.15818933548920328	-0.7269410714790685	0.3170556781486486	-0.8348995885512662	-0.4663566724851669	0.8209721175424435	-0.6837983541574926
Sample 19	0.7320355781588344	-0.7942257521550302	0.8174326631841191	-0.18451547124305467	-0.7359652535572581	-0.8433055081372924	0.7062791062949703	-0.7662442173580376	-0.04843298012901252	-0.8947720831763826	0.8852792962444722	-0.09639409931862214	0.723539107622513	0.7307459728297334	0.8912608575383912	-0.7963675802648947	0.5334749230238317	0.05295719005060811	-0.6837983541505758	0.8948099599878516
