	Score	0.95 MoE	P-Value	FDR
Feature 0	0.1993671545762437			
Feature 1	-0.3187808681993004			
Feature 2	0.44599159408578587			
Feature 3	0.391380422070622			
Feature 4	-0.19466737601427092			
Feature 5	0.22388003625724698			
Feature 6	-0.5529372365028264			
Feature 7	0.14922938475308875			
Feature 8	-0.2598576518617759			
Feature 9	0.4191173607508761			
Feature 10	-0.24081421619470758			
Feature 11	0.24311661642976232			
Feature 12	0.48900355787229205			
Feature 13	-0.5809692933589046			
Feature 14	-0.353811496179712			
Feature 15	0.2177695945322453			
Feature 16	0.42369338466913986			
Feature 17	-0.17903728443938605			
Feature 18	-0.40916224422908853			
Feature 19	-0.19344309339450771			
