	Score	0.95 MoE	P-Value	FDR
Feature 0	-0.21927432796971802			
Feature 1	0.2729665803293608			
Feature 2	-0.19400873647374797			
Feature 3	-0.29947685153055614			
Feature 4	-0.17444463283819409			
Feature 5	-0.4605053349128641			
Feature 6	0.5057217762712553			
Feature 7	-0.4850366899691386			
Feature 8	0.2571524530600563			
Feature 9	-0.47518783518988805			
Feature 10	0.7651719295021875			
Feature 11	-0.24923268800055795			
Feature 12	-0.14990080443796633			
Feature 13	0.15828626245956326			
Feature 14	0.5880016093437305			
Feature 15	-0.27185219905105446			
Feature 16	0.2920243605240342			
Feature 17	0.4961477612516068			
Feature 18	-0.3105113061464754			
Feature 19	0.6645523456937956			
