	K0	K1
Feature 0	0.6388245836253594	0.2113396195124913
Feature 1	0.4343474124794507	0.5417121673415226
Feature 2	0.33988453162087673	0.39878071682781474
Feature 3	0.6379663265094015	0.19723148163110998
Feature 4	0.7680297458867961	0.09449044934187392
Feature 5	0.46529642414956524	0.39446901745648305
Feature 6	0.41534222118074543	0.6401518324234869
Feature 7	0.4527916062488626	0.43513356843169027
Feature 8	0.689343687944016	0.28411109400552514
Feature 9	0.38251189673676994	0.5710185017542634
Feature 10	0.20943698087566193	0.7469162163303734
Feature 11	0.7593486991119813	0.1332139114425075
Feature 12	0.5533566238854826	0.35905061387268566
Feature 13	0.3379823071673479	0.4852647389920785
Feature 14	0.5737552274317087	0.1588475248476561
Feature 15	0.6179829008882493	0.2510216026098624
Feature 16	0.2148206376404936	0.7525404569071346
Feature 17	0.8764421812753159	0.0
Feature 18	0.21421292883613366	0.5804577742203512
Feature 19	0.45513176672592925	0.40868946930280364
Feature 20	0.38169689085302844	0.3138412159454006
Feature 21	0.34255865140189606	0.38631898992314756
Feature 22	0.4584949689945071	0.39704277247735287
Feature 23	0.20634184754956272	0.5838676542797697
Feature 24	0.34475262249116395	0.6030727132650109
Feature 25	0.1663101661451223	0.6476001379022482
Feature 26	0.40407831431371033	0.5983865041387996
Feature 27	0.6200771828687234	0.19807975165694813
Feature 28	0.7202703990593439	0.10909371395990063
Feature 29	0.5158075390370926	0.3340850525551321
