	K0	K1	K2
Feature 0	0.4708067650204511	0.04408057317956364	0.5029459003866519
Feature 1	0.2223286869945243	0.3564177395051276	0.32471935771350646
Feature 2	0.7372229970640081	0.13043897829303655	0.06873763351215413
Feature 3	0.7660686113091041	0.06425405030204079	0.0
Feature 4	0.2786986204827974	0.11585579891639969	0.48323236346444925
Feature 5	0.5460148002828319	0.05065470724235656	0.432272779010283
Feature 6	0.0	0.46510886506059784	0.47761692297326946
Feature 7	0.5662900996382796	0.0	0.538324372819528
Feature 8	0.37215707044147633	0.2719884975142033	0.3678590029007665
Feature 9	0.8695932394248611	0.0	0.38238308550833316
Feature 10	0.2981005142792066	0.631628706088469	0.019368704638633612
Feature 11	0.7228642152231731	0.30582381291761673	0.3143191645419906
Feature 12	0.853851225607315	0.18093831162615256	0.0
Feature 13	0.0	0.3481506374956869	0.7334248689529823
Feature 14	0.15645074250792718	0.6353932645604937	0.18690415343103015
Feature 15	0.5120547680865607	0.037830982227048525	0.35949346060951154
Feature 16	0.6585508272101868	0.3528777863030109	0.0
Feature 17	0.26429793553541675	0.44217552657758313	0.047943460276809166
Feature 18	0.0697573143807561	0.06934650660689848	0.6060983738709774
Feature 19	0.15812415302617572	0.5205394417807547	0.0
