	Score	0.95 MoE	P-Value	FDR
Sample 0	0.44467497206440804			
Sample 1	-0.30055744783564126			
Sample 2	0.589405039663748			
Sample 3	-0.270157321441821			
Sample 4	0.1944207131554585			
Sample 5	0.14195972176942298			
Sample 6	-0.20056495936989782			
Sample 7	0.24984727221302974			
Sample 8	0.2690493142954189			
Sample 9	-0.5296499924525349			
Sample 10	0.34000212307478916			
Sample 11	-0.23023883756637703			
Sample 12	0.5174917824026675			
Sample 13	-0.1031084686579372			
Sample 14	-0.38436234587475315			
Sample 15	0.6228625353838727			
Sample 16	-0.6468301869763391			
Sample 17	0.2930734868191572			
Sample 18	0.3928840022324281			
Sample 19	-0.19276639691037342			
