	Score	0.95 MoE	P-Value	FDR
Sample 0	-0.2839368048518376			
Sample 1	0.4206366177641083			
Sample 2	-0.14949651615401502			
Sample 3	-0.16132763943210426			
Sample 4	0.5762542720684324			
Sample 5	0.4336726518794575			
Sample 6	0.2580689253586956			
Sample 7	0.6015156933438113			
Sample 8	-0.31101562613382866			
Sample 9	0.413451002215603			
Sample 10	-0.29036327150624697			
Sample 11	-0.1962810224360085			
Sample 12	-0.24376702890290608			
Sample 13	-0.4131640264577846			
Sample 14	-0.5008543470596747			
Sample 15	0.22796399378967802			
Sample 16	0.13599240723043218			
Sample 17	0.26392582597709224			
Sample 18	0.22152197006838925			
Sample 19	-0.49273745109151923			
