	Sample 0	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Sample 19	Sample 20	Sample 21	Sample 22	Sample 23	Sample 24	Sample 25	Sample 26	Sample 27	Sample 28	Sample 29	Sample 30	Sample 31	Sample 32	Sample 33	Sample 34	Sample 35	Sample 36	Sample 37	Sample 38	Sample 39	Sample 40	Sample 41	Sample 42	Sample 43	Sample 44	Sample 45	Sample 46	Sample 47	Sample 48	Sample 49	Sample 50	Sample 51	Sample 52	Sample 53	Sample 54	Sample 55	Sample 56	Sample 57	Sample 58	Sample 59	Sample 60	Sample 61	Sample 62	Sample 63	Sample 64	Sample 65	Sample 66	Sample 67	Sample 68	Sample 69	Sample 70	Sample 71	Sample 72	Sample 73	Sample 74	Sample 75	Sample 76	Sample 77	Sample 78	Sample 79
Sample 0	0.0	0.5190679098551854	0.3962470943728967	0.22463169350336873	0.19773323492627426	0.4477461298768826	0.3511944456374296	0.10006051387605122	0.5995880844482375	0.3496968998354536	0.11127855730562856	0.18219877403479615	0.4385965657593961	0.5627663943984345	0.16493446516062646	0.22483781312634166	0.7964882076349774	0.7393301720728209	0.3990603229577616	0.590649148193777	0.17532984778937746	0.5265905359333853	0.2656339460624161	0.5163078165052943	0.5200620324491788	0.5030874239512854	0.4119410745275303	0.7368024531535874	0.2569665432586489	0.45707694653174813	0.13980117272576645	0.3698613933182663	0.4413578265840007	0.3221017456037475	0.26458316297858026	0.2900855643941437	0.5523705470054259	0.5737812977596259	0.1189229971845478	0.10529662669036696	0.44320611995442877	0.1855416291549863	0.3808384567211517	0.5503262908096317	0.06128559790533506	0.2466825381326437	0.17637951705241928	0.7390431835048005	0.0631534465939836	0.4397354570601007	0.2131257853472846	0.7468011634585717	0.2713876948210659	0.31167371068441785	0.43107379102722515	0.18789658799424933	0.4517703336471559	0.6195007954543363	0.08869976383907481	0.23199931636529442	0.30469656451214744	0.07191956991454973	0.3149580707871124	0.07125214477462463	0.22619193389760311	0.12693604845975753	0.460251734566804	0.22822140423518794	0.1281129111217062	0.5147427357802151	0.1653528302110358	0.6123428679179804	0.5059160308804973	0.44866879349084027	0.28366828348006584	0.3856374200464369	0.039798890816711674	0.4165897180874113	0.2580645866954783	0.5610359700698199
Sample 1	0.5190679098551854	0.0	0.33754871314549	0.7366733974196578	0.3227024886852295	0.3960597137740071	0.2927862776740147	0.6124025710637815	0.7781065279837635	0.7090203803164805	0.41865785032813296	0.6137474392791586	0.4679345284929244	0.4496746589688206	0.6348975128508041	0.6801327834629968	0.3321724115169086	0.5065625697031839	0.13859481178883365	0.6631637043359858	0.4897160969109109	0.37070844578443546	0.3088414363079618	0.35990338518049314	0.7563704185556869	0.11148154469721186	0.5804654688615238	0.6067455764009778	0.7315323513494956	0.5538674613488321	0.4916162686761858	0.27400288647643045	0.865401378685935	0.4121327275661952	0.44056095865101613	0.3953384763143316	0.23549276315826506	0.35948914255603415	0.49097417545105243	0.4425611438869749	0.5624583777900154	0.6779938707005817	0.4568422244814332	0.34282703986888236	0.553269343445489	0.6508994161823167	0.5837213164708304	0.46411807057910437	0.5820793101913337	0.1151978441459105	0.3103525428779718	0.5575657320507186	0.44247889575446325	0.8149562348576083	0.38101739523901357	0.3420198685876427	0.42806400810634376	0.3484436842494244	0.58249933846079	0.5957895051673519	0.6353272067187005	0.46405251052346175	0.684879154477756	0.4677673865600654	0.7023411919852875	0.6148638016273004	0.8212764873135505	0.7445815460066707	0.5044244434605977	0.4878488028476114	0.4996497667854703	0.796839159586169	0.43629278685874234	0.27098213174273916	0.5866960221151454	0.744114860939277	0.5324633669359121	0.17960722590193834	0.7376303573685439	0.978482334793398
Sample 2	0.3962470943728967	0.33754871314549	0.0	0.550182716839078	0.2942411312237206	0.09829219246941402	0.07551095781502438	0.44976346356577135	0.44179281009072724	0.41504283301097156	0.29511577505121106	0.5140100239633476	0.13337791656408038	0.1832923050075362	0.5520236164861912	0.6172352355016089	0.4782744650346971	0.34438665400126195	0.3262013920804115	0.33340354534664896	0.2802875658671668	0.13439746251690726	0.15032986299963966	0.13599302168537772	0.4227495760517788	0.3982074242334797	0.25626928256559084	0.3656208686069685	0.6505912450646166	0.21638346477218484	0.29827959476113897	0.07830757877395622	0.5834776519863418	0.1384283452442509	0.18117289927531413	0.1200633574762394	0.2389789368903696	0.18075212450744269	0.33920210707431714	0.2939867992027564	0.23658011453230154	0.4758520742827446	0.12414223167643842	0.18287707522385968	0.4430320023625388	0.6242508761593695	0.3509736697121082	0.3490434576004917	0.44548248025360143	0.26527359005980955	0.2986584734824158	0.35923559994793325	0.5127103221568977	0.6031840609717136	0.05478727779343553	0.3161856324083591	0.6127223805338903	0.6412381727231201	0.40873766804077843	0.34325094691304264	0.6516279141117314	0.3316620416563254	0.40015640913865	0.392238443526461	0.47889361293379074	0.428642185707602	0.5141080784656293	0.5710849785906444	0.30191473332071433	0.1815200627958463	0.2772332509419254	0.4597371584069243	0.13630887323285154	0.12515530990937213	0.30124334108031015	0.4477030433170837	0.38399949859454485	0.3920508922806174	0.5111674307980066	0.6838607306875033
Sample 3	0.22463169350336873	0.7366733974196578	0.550182716839078	0.0	0.4200584493055975	0.582155566567769	0.525770119775566	0.12568618392940042	0.5845272463974466	0.28770740918442017	0.31843827138786934	0.2422380380626075	0.5429449661057506	0.6852925240178194	0.21861512172345826	0.25471047742475406	0.994091623153675	0.8725569978105907	0.6216830016610485	0.6313131916786761	0.2972658001714803	0.6721327751369045	0.45377391412454116	0.665451525719336	0.48884652475768336	0.7257780554913429	0.46041628849501515	0.8357761626280678	0.23711870722380687	0.5236364684163942	0.27064922246709733	0.5471210604563785	0.28580575937328395	0.4559913285455214	0.3917492257115362	0.433328142795143	0.7384800797929478	0.7258928808343937	0.2697446541913195	0.2975295350655419	0.5060877218138015	0.08106476500833808	0.4878933652643938	0.7080092287755234	0.21022066613306623	0.3212105218626948	0.20523893441290075	0.8867619993745723	0.16499709457180903	0.6509711081617875	0.4351875951675068	0.8654505598071107	0.46320005125254676	0.09272069912617115	0.5689995005687633	0.4101335867364417	0.6492743941958604	0.8368569666315461	0.15496490871672466	0.25263060884670346	0.4045585174228191	0.27562325256787756	0.2616484224795091	0.290969590630998	0.09994238871424775	0.12961578131419077	0.35681816580271775	0.03612629412046715	0.251722832229104	0.6193069147566221	0.276203351819977	0.5901210658903632	0.6271022738851416	0.6233598779566886	0.30947739604108226	0.30839200622294755	0.2048894550184314	0.6393189780939021	0.10061965886919268	0.3921213709771427
Sample 4	0.19773323492627426	0.3227024886852295	0.2942411312237206	0.4200584493055975	0.0	0.36235813181721044	0.22852431917847152	0.29449746764194706	0.6403229492900422	0.4639736274418203	0.11242284152190335	0.31620752303442423	0.3898892397385099	0.47475367550455877	0.3214964225848722	0.37131707520002305	0.6150952001516293	0.6256423749886796	0.2021190255761592	0.5831341661653087	0.2260281401304933	0.41577287607199526	0.14569898198597717	0.4027207339188709	0.5831490946134686	0.30821559054621767	0.4275721542287483	0.658822247508973	0.4178919590685213	0.4447191762433772	0.21321371997255534	0.23883236960739435	0.5952899621857991	0.270455910459259	0.2462900095999106	0.23618068635685205	0.39122829035035306	0.45044164255351354	0.20066101374627987	0.1416099499709015	0.4383029980292329	0.36901817219062977	0.34238200226731597	0.42347893907192685	0.23384249397618231	0.3565427529428406	0.30268763778419416	0.6103457344479216	0.26071393081654387	0.25297333811603234	0.03064285853769716	0.6480194180961615	0.22207470741278773	0.5032709502122699	0.3435074585851913	0.04040939744396116	0.3471684109496057	0.4568387760190519	0.2698156021255781	0.33413404552998766	0.37179204652176107	0.15069519203671555	0.43242451862907977	0.14649625625373627	0.4014169118869848	0.30593596358796465	0.5819392479895952	0.4254318947523084	0.2191285637914639	0.4533366046795523	0.23315082443577323	0.657401943742524	0.42648461520674147	0.31044056187199937	0.35738921763038484	0.5024106121827595	0.21635931104750405	0.23083108699530142	0.4358891788968098	0.7147783694163281
Sample 5	0.4477461298768826	0.3960597137740071	0.09829219246941402	0.582155566567769	0.36235813181721044	0.0	0.14316522213478314	0.4905583581843996	0.39204077167278434	0.4181643641908387	0.3573274646961711	0.581936959466876	0.09586225950539691	0.16792967220466318	0.609976531266619	0.6718327229080263	0.47995979311434106	0.3149568423968184	0.39018657160792214	0.28582623717205013	0.30206054047693215	0.10267857356729736	0.2255323990809452	0.09020406025837369	0.39610050852518314	0.45060596038725625	0.21462580044622925	0.30624888390976224	0.6937660764057475	0.18462856992726975	0.35546725159526316	0.16967319737161485	0.5889251830280895	0.1349570551504385	0.1951325571523743	0.16119332807689696	0.23694354058888606	0.1857014081033659	0.4053919428457049	0.34422774544606316	0.1805387381288106	0.5033030224202267	0.11705073112496708	0.14051031581591114	0.5000599085108524	0.6776638439702477	0.3833291297397775	0.3058082989398468	0.4924566836393528	0.3440405373628043	0.37266677410334104	0.3057679241982662	0.5843062103570524	0.6248567976748389	0.060650681990203154	0.37628477526593546	0.6798981330112689	0.7032552489382934	0.44991559653041563	0.34877795382113014	0.7191947685237272	0.3807331666160064	0.40822697872900293	0.4515984812410671	0.5032973403527254	0.4706769290396063	0.4999149771394827	0.6072202026277876	0.3455787586538968	0.10002000257941165	0.3238996083733094	0.4240850758502112	0.12666424901822318	0.1331705075669616	0.32569225639792326	0.455358500048846	0.4338114444935074	0.469157856304879	0.529854806056913	0.6804492704505742
Sample 6	0.3511944456374296	0.2927862776740147	0.07551095781502438	0.525770119775566	0.22852431917847152	0.14316522213478314	0.0	0.4160581206485307	0.492907822357234	0.4301525610804621	0.24693794623282692	0.47938639170542646	0.1929408679288488	0.2558450146608865	0.50719272543565	0.5679404208550248	0.47482537043572753	0.40361905173995394	0.2604088392381249	0.398686881962322	0.24760003696705268	0.1878859209798899	0.09470422843765305	0.17657895371093318	0.4673593971761598	0.3382833001871093	0.2891451511689823	0.4321941632361729	0.6016676809129589	0.27300426157936253	0.2748569131458931	0.05684165595885338	0.5955131186244789	0.12837914211105278	0.16364754139716448	0.11013784591847056	0.2248000375599453	0.23425300014069492	0.308974612924467	0.24769489150260582	0.27622614435816023	0.45305268437718477	0.16859020961181218	0.2072893655152192	0.4000685004391082	0.5671176186529687	0.33776959924903316	0.39154306615284545	0.4055671293399781	0.2239267070434871	0.23488894508281413	0.41993708762320825	0.4479516882945606	0.5863618802473636	0.12376845008521634	0.24807774040909325	0.5422151173377922	0.5765705952594644	0.37696337991362633	0.3315742528734472	0.5945544698777824	0.28342332647294	0.4101319956137008	0.3382366139934906	0.46426843678995633	0.40340722866216	0.5352353868134982	0.5443142008864782	0.27501184435784076	0.2393880708006401	0.2594389135841882	0.5151458194546209	0.21125020652928758	0.10931239117624054	0.3149672313578332	0.4680892538976255	0.34549689732335653	0.33221724887074155	0.4969169091877357	0.7021244123345131
Sample 7	0.10006051387605122	0.6124025710637815	0.44976346356577135	0.12568618392940042	0.29449746764194706	0.4905583581843996	0.4160581206485307	0.0	0.5717162642475095	0.29426704115275626	0.19545621481893524	0.18715387419159538	0.4652290923543025	0.6015428955470671	0.16538322121134424	0.22156340796546564	0.8771776291486346	0.7850542563082841	0.49603693679730293	0.5884842549947885	0.20015702403365804	0.576790418892708	0.33821270231394784	0.5682012515068329	0.4838975435172491	0.6001899698820855	0.4087251919685009	0.7646861992069938	0.23103383011067188	0.4647579792752919	0.17000052759400425	0.437108804437669	0.3571691690004414	0.36181014026219993	0.2983213349728085	0.3347530020441	0.6254844561008542	0.6284986316546574	0.16451100745250224	0.176456235896886	0.4481118471049383	0.09140918051529831	0.40756024797807844	0.6071779359158815	0.1024015974200415	0.26858170070762993	0.14356727472162525	0.7918990808638252	0.04831549502949643	0.529426712276174	0.31029756788787266	0.7846980338498184	0.35738163977595067	0.21164372248592286	0.4759344482237	0.28474279353619686	0.5416014736572003	0.717809067141464	0.04186521519390993	0.20289364211084218	0.34428839022057856	0.15148960868884961	0.26070687980792184	0.1692126384718668	0.1361738694157185	0.05680532192035101	0.39322120350044387	0.13446932173250029	0.14924179642556148	0.5426296591247346	0.18325978807990792	0.5820825615395687	0.5431837312715538	0.5144057056842622	0.264160510364621	0.3268653992310577	0.08126474345479415	0.5155771689548343	0.16449022528087265	0.47447641095449883
Sample 8	0.5995880844482375	0.7781065279837635	0.44179281009072724	0.5845272463974466	0.6403229492900422	0.39204077167278434	0.492907822357234	0.5717162642475095	0.0	0.301585493470182	0.5668550569015665	0.6952786731957469	0.3110394873924894	0.3997906733471353	0.7304588392795405	0.7931669821346078	0.8435521849194161	0.5293227870500105	0.7497197286810986	0.16210665014271713	0.45563787871092165	0.4480832111608019	0.5232547999613377	0.4568350040579851	0.11441718364763112	0.8285499881042193	0.22147747505541154	0.4055176307403669	0.7907121648836888	0.22722839224531535	0.49369364881905764	0.5125588922587907	0.4032404014896256	0.3987788695374096	0.40191055167054474	0.41531272990654056	0.6238113419613822	0.501138766705504	0.5551819113044815	0.5378959781793884	0.22780836120301676	0.5201475932973075	0.32558890818901226	0.5049535036917304	0.6378703415497252	0.8334318369746705	0.43539202804384197	0.5750135232572193	0.6047221901084551	0.7036738097728701	0.6547705147995214	0.4765437215581709	0.8384863900246597	0.5683299982475124	0.39950401711833555	0.6488747287154008	0.9862150026279278	1.0636319809547765	0.5404170117191892	0.38570292491007024	0.9005569109345385	0.5640430594925497	0.3266935775571677	0.6467871773641908	0.4851170651255424	0.5323011115214578	0.2748431571711825	0.6183019939881244	0.47620466210025786	0.31740985878135247	0.44976886539519734	0.08263303672316534	0.3747349209628557	0.5242668409064573	0.335803968159115	0.3074043523655323	0.5659475571973175	0.8139944579642091	0.49057321254422487	0.4292337255139293
Sample 9	0.3496968998354536	0.7090203803164805	0.41504283301097156	0.28770740918442017	0.4639736274418203	0.4181643641908387	0.4301525610804621	0.29426704115275626	0.301585493470182	0.0	0.36004981463528996	0.41896161793908365	0.34526819609136805	0.48584855750566824	0.44897279674352547	0.5096676299555538	0.8893672871189298	0.66862563748067	0.6343377646054874	0.36319270000790743	0.2686660655783678	0.5041123505620401	0.40194770804272945	0.5061511486301867	0.20119938254144235	0.7345816716477277	0.23471382669593915	0.599447962246885	0.5075441610626468	0.28848005266264104	0.268373519788666	0.4506647706712954	0.17085170102959663	0.3331158445028875	0.2872451747532289	0.3205850354037805	0.6354286095317655	0.5596416352629244	0.31898452056306964	0.3307685701122393	0.2832960823280154	0.23179512443417305	0.30711977775274246	0.5586197552846399	0.3730730005645839	0.5626311761776335	0.1751953873390619	0.7025218374616672	0.3347602230895794	0.6174753819582407	0.47907988150613057	0.6466235828053499	0.6139718267931128	0.2778721858172003	0.40728903728243676	0.4677915153688764	0.7889616612289722	0.9205218419255365	0.27151257988746175	0.16786857245728734	0.6316080720288595	0.3427618097441591	0.0347586176440627	0.4120373831175504	0.18941860879615766	0.2504624207645006	0.1242896667064978	0.3200636960107914	0.2495435761163829	0.412766995947435	0.23420549370822807	0.3024609953774874	0.4335698402496336	0.5130037592703381	0.13083913778998366	0.06077084972274221	0.31171450644984505	0.6767336419521034	0.198990081261174	0.2720346776310765
