	Sample 0	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Sample 19	Sample 20	Sample 21	Sample 22	Sample 23	Sample 24	Sample 25	Sample 26	Sample 27	Sample 28	Sample 29	Sample 30	Sample 31	Sample 32	Sample 33	Sample 34	Sample 35	Sample 36	Sample 37	Sample 38	Sample 39	Sample 40	Sample 41	Sample 42	Sample 43	Sample 44	Sample 45	Sample 46	Sample 47	Sample 48	Sample 49	Sample 50	Sample 51	Sample 52	Sample 53	Sample 54	Sample 55	Sample 56	Sample 57	Sample 58	Sample 59	Sample 60	Sample 61	Sample 62	Sample 63	Sample 64	Sample 65	Sample 66	Sample 67	Sample 68	Sample 69	Sample 70	Sample 71	Sample 72	Sample 73	Sample 74	Sample 75	Sample 76	Sample 77	Sample 78	Sample 79
Sample 0	0.0	0.8629457676322485	0.6529659968009949	0.6947002477662972	0.6576349106648854	0.7250221742506965	0.7750499169794476	0.33948834117805116	0.5569524612024244	0.8767596871613833	0.678921923299364	0.12775468337425036	0.29367305077980266	0.9730745588704586	0.9514897878421775	0.8577666400488991	0.1458435510583649	0.6175129671875322	0.6269721026413783	0.9193872029464142	0.4485130464816093	0.977576216160098	0.6097326785941292	0.8513465962842544	0.6474333338902499	0.45751248220999685	0.5844958047675314	0.6409004629366026	0.7053149886804488	0.6028350852757801	0.7566891327970007	0.5953362395707765	0.4893157393667001	0.7419661471226298	0.7623486145985524	0.9930419690067774	0.6852653660981656	0.8478947122306225	0.30913799873979314	0.7022257575608536	0.6137402421965612	0.5001945210050215	0.2037592417113142	0.6410997245224368	1.1059680876554492	0.3162940593468632	0.27118930868875446	0.9100118147215097	0.4158047895780734	0.4998032011352701	0.4688002321156611	0.7498839927538351	0.5679433650516631	0.6044592652376413	1.226406328661351	0.9756295781450653	0.24415498678412775	0.9728043823964627	0.5674752333231513	0.3747129852588124	0.7626504018435296	0.5475365598979457	0.41768273708034676	0.49704536223307827	0.41330304456665395	0.8831447629279503	0.504702604014882	0.8037114407053729	0.13351449214532815	0.8264847625679027	0.6514738020870333	1.008853811757934	0.5555703040530046	0.822586906971388	0.5833072144400372	0.9291521661978618	0.2172863346782186	0.9532348068084869	0.4225503377651162	0.48794584693465054
Sample 1	0.8629457676322485	0.0	0.3209552599686679	0.5764149064122592	0.28715558300401794	0.15102706518836667	0.1946585384194189	0.7212072568241504	0.35441160735735533	0.07545955755104691	0.7262422706416126	0.8399183185116061	0.5763353391755541	0.48893180588600954	0.2581029637463451	0.23747012224080372	0.7933937136472665	0.34820995657100107	0.5574779527102801	0.7480139312357341	0.4618160135320053	0.38219278993060957	0.5386691925816749	0.48539073481516043	0.4539097353026215	0.41991263557566233	0.2789708208949957	0.6610720013317942	0.6099647296308092	0.44556391897309267	0.2463247725259003	0.2954785573412538	0.4648531125114536	0.15455980827643157	0.3319154916722756	0.3086777803614715	0.38388639981288397	0.6050217409382526	0.8752805469397021	0.5181407390501565	0.34578955798911837	0.36817522802458846	0.7365491863439912	0.24341054952357052	0.2836161330640587	0.5478279164016964	0.7249167099486974	0.2368916624202636	0.5269109713031287	0.3639592051378517	0.5745202164215489	0.381461386337125	0.29648003074436313	0.6397971296423299	0.38770023150171645	0.13829309618878138	0.8573146894107302	0.4063607425592047	0.3448939617636754	0.4989263081375355	0.25686011078907184	0.5396412546199449	0.45418956206181677	0.8995139225627699	0.4570817109735769	0.6489284477828197	0.3597458533808849	0.12425308957542713	0.7406037693967064	0.4175320711926204	0.26132292636453475	0.4852911479599803	0.3873332986489426	0.4334699597354284	0.8591113404011657	0.3241944922752848	0.6552999479649664	0.4740743976762049	0.4853849001221328	0.47428304222483125
Sample 2	0.6529659968009949	0.3209552599686679	0.0	0.27450166368184076	0.04814940446898355	0.2630310489599216	0.29695244727442943	0.4344193879723399	0.35588356214603856	0.29372250322707194	0.42432707503660416	0.5930122105972464	0.41707075577499814	0.367901716253249	0.30193456039226135	0.20830242151603032	0.54678954080778	0.39881388950579777	0.25414892342436624	0.4986943079519863	0.22656246659293128	0.33183133659393727	0.24006272906248163	0.2740746972176781	0.1531190581804967	0.23171479988721477	0.22411328544587655	0.3501179401909426	0.32778573302780917	0.12632307743423835	0.11455479160999925	0.2547135721996835	0.1751019804088222	0.2453524605884435	0.12970188889832202	0.34105090405866495	0.08812572269719846	0.3619318007343323	0.5950031811224616	0.24567101635548053	0.08230443770413555	0.22707042119408904	0.5024664146169276	0.13492664245090735	0.5437292531937438	0.3574925173093894	0.6043080699879954	0.28977729112634265	0.46120951352378836	0.24009940764144044	0.5439627678936862	0.14750330984704413	0.20548808891418494	0.6809028226055257	0.6080293201283855	0.4361259532507339	0.7283991445196046	0.3357503637335185	0.34083472247645397	0.3710038924135347	0.1139980638976357	0.2567823595540041	0.3330298478842931	0.6003374222492435	0.2737068504675653	0.421843080301462	0.23411854025553688	0.30278908045061104	0.5197414629706523	0.21527750647173308	0.33019371037462264	0.3864405006571532	0.3649862361063602	0.2255795633851461	0.8569419531213037	0.2844347129523166	0.45969062382628695	0.3407360942733492	0.4036219350675006	0.41454771672698015
Sample 3	0.6947002477662972	0.5764149064122592	0.27450166368184076	0.0	0.31137292561990604	0.5373995429123184	0.5558338197848783	0.380470460406575	0.6024156696242454	0.5359588969345136	0.18497347056549687	0.5926845308335703	0.5597394474349402	0.3344395474758229	0.45116138472961104	0.3851175323424733	0.5554978753743356	0.654705701565411	0.10739059374314759	0.26044105765860515	0.3714331803513719	0.3908191293189819	0.14097183083744577	0.19673626102825717	0.14439170549069327	0.41896612473749245	0.4802286935362163	0.11517397468348713	0.1308553926133335	0.16980928932120964	0.331633883647817	0.5090019560607945	0.26902688782722434	0.5154590466954996	0.2556213880960146	0.46419047557357956	0.20086931646317852	0.16944711747498714	0.5182578833733932	0.13365842658290408	0.30214061641617024	0.44804761605012544	0.5275933011348846	0.40623495941102583	0.7648120407432911	0.48652032204106943	0.7455860219034643	0.47674114024360126	0.6610887692537372	0.4638837806112175	0.7517180687605096	0.21027699349603154	0.4569066939245078	0.9087666351122508	0.7808545247251942	0.6826209976314469	0.8461511231575957	0.3726908270538145	0.5893524254940329	0.5496042197508958	0.3217463843992728	0.22473261868008118	0.5279622262831009	0.44655577408615355	0.436696940126302	0.23869466210436083	0.45969929909855917	0.5686755513815783	0.571491837871918	0.22613877659524284	0.5971277533778622	0.3677355685507224	0.6024646149572869	0.2055228845212622	1.052399438304587	0.3827903066574608	0.5582602653227854	0.31091621204311076	0.6056256220021544	0.6266477145471261
Sample 4	0.6576349106648854	0.28715558300401794	0.04814940446898355	0.31137292561990604	0.0	0.23133010621722955	0.28272434323700013	0.450859314186633	0.3294384522025105	0.26856017623909334	0.4521112449203765	0.6042153654366929	0.4112880849876028	0.37831830205270167	0.2949164300867114	0.20479574207912798	0.5576091059645537	0.3749105146526037	0.2799719865386819	0.5273281582368374	0.23983419398065442	0.3371638701763708	0.26104387930153755	0.2997800088489855	0.17928984172137769	0.23037120340801553	0.19393249992415593	0.3821086938649407	0.3501360359679595	0.16106521991439998	0.09925835565180705	0.237952106027285	0.1919057044538773	0.2217917102933176	0.13762793468672818	0.34080986196996815	0.1313462206077669	0.38793180259025933	0.6098008316730041	0.2644310310543877	0.11157505456353846	0.21484405231729098	0.5054514802597095	0.111142478613621	0.5262435434537645	0.3536386051770022	0.5989630290152458	0.2905912683971198	0.44554892648682093	0.22224227886128647	0.5292447823468129	0.16294320515248342	0.18095258782474485	0.6595636577996321	0.5940180376268148	0.4096695096179973	0.7233625532074819	0.3412201139703373	0.31878496381228894	0.35856768700976405	0.10710785731468857	0.26647244289011335	0.3200304889194203	0.6196377279285852	0.26235723072163825	0.4408741596582183	0.21700741559005635	0.27896788138026074	0.5255592924163885	0.24480328536751503	0.30109121238695946	0.3993956839330857	0.3509185353474256	0.24706249955591533	0.8398795311942018	0.281074486654069	0.4629731142948358	0.3561867874826304	0.3891304168585543	0.4059898940659477
Sample 5	0.7250221742506965	0.15102706518836667	0.2630310489599216	0.5373995429123184	0.23133010621722955	0.0	0.1240343151371116	0.6162085176680862	0.21338671986549979	0.17850517285342937	0.6812210180751933	0.7097587898642882	0.43481066006621377	0.5432464126092504	0.3461767444427308	0.2837640590038143	0.6638902985292039	0.21131322779243275	0.5088997670746266	0.7493657429773116	0.3353838349033401	0.45304465307586556	0.4877493283478714	0.49832137729165993	0.4103078623093304	0.28572692706961295	0.1459795807588321	0.6088918436342325	0.5807953904131227	0.38214175924729243	0.24596923493839543	0.14633077788085883	0.36768019908154753	0.05805069635515218	0.3324085307727367	0.3953565382120204	0.3419472316747561	0.6073287786930062	0.7666448773152312	0.4937645398667012	0.2588210483584109	0.23034387575274173	0.615856597204534	0.13914959088969056	0.3896631796711648	0.41421886932037855	0.577091620043616	0.2866178942790199	0.3816220257095474	0.22728116396703885	0.43074142766645174	0.37525666462058876	0.16247104641088295	0.5146760133082676	0.5205897273101917	0.2508194962020633	0.7116086495910936	0.4735017834399448	0.1973025875329493	0.3574416705794935	0.2570653759846014	0.4760289760584882	0.31091934516416225	0.8155560553904917	0.3330205976466697	0.6593166748473172	0.22271344317371602	0.09373116825678875	0.6055795144278048	0.42360424824997894	0.12239380100819655	0.5463514637028717	0.23832289910404025	0.44513041563389666	0.7274019006123105	0.3943803924705884	0.5139681981312695	0.5210144586931222	0.3384688309209511	0.3241505384217839
Sample 6	0.7750499169794476	0.1946585384194189	0.29695244727442943	0.5558338197848783	0.28272434323700013	0.1240343151371116	0.0	0.6670391779741461	0.28559402321883254	0.18476299707776117	0.717848487304114	0.7563474520566695	0.4909309907868014	0.5584959086641165	0.3427177749882474	0.2837403973524262	0.7110626997033042	0.25337124403673605	0.5498253751349355	0.7669950046596087	0.3639262168642534	0.4524000355121369	0.5356713944453965	0.5077707225711011	0.4495894025582372	0.3307343231975516	0.23529931859807277	0.638966657787963	0.6231056311965201	0.4144081845116225	0.28293979248140455	0.1842869153541304	0.413859933234155	0.07880146852297132	0.36393310609718155	0.37641553386978027	0.3568507308739203	0.6290420439337976	0.8205530759741277	0.5383800337675241	0.27205628345620736	0.2868927806682711	0.6809093143291323	0.19340906971656513	0.336019380289469	0.47512390662560694	0.6182145557077603	0.23310351180850042	0.434878796319677	0.29611959086835604	0.4658547701735598	0.4083695687641946	0.23750105064492621	0.548885097142727	0.4826352236900474	0.23428715297768427	0.7575257165052641	0.4810560281117763	0.251008686488854	0.4208310869121873	0.2857633971720146	0.5390310846086475	0.3715678999147962	0.868445953782526	0.40614628670071706	0.6927142782287454	0.2892120774107095	0.0729482874857833	0.6552691454146965	0.4188227910564754	0.19336315415886807	0.5463411887309717	0.26052185369431113	0.46161209344115656	0.763476945494866	0.41038502768355517	0.5581456482872342	0.5264862624805152	0.39207434397180296	0.34231825566566565
Sample 7	0.33948834117805116	0.7212072568241504	0.4344193879723399	0.380470460406575	0.450859314186633	0.6162085176680862	0.6670391779741461	0.0	0.5405883656258507	0.715072658330226	0.3396667880119301	0.22814680072448115	0.3407631266880192	0.678962094834269	0.7249520601609739	0.6370136323995355	0.19808334271251996	0.6145137320476712	0.31018195512334634	0.5836325498161649	0.31478064064800804	0.7143269400892717	0.2995176355410572	0.5550760129105986	0.3636688363971339	0.3550169346342102	0.4843038720198249	0.3080860494569755	0.3762032143873384	0.3376013767646597	0.5371845492029952	0.5184807727385845	0.2640982167604435	0.6204711140350949	0.5088373792978158	0.7597159185631932	0.4347625124094954	0.5241997867643389	0.16107282534625436	0.39276235099774404	0.42153515350017107	0.407373548053313	0.17504572292635032	0.4907184160151825	0.9676947469872227	0.28136102630297	0.4859159836510402	0.7180702342300517	0.49596116371808796	0.4137691862251402	0.5898303109458819	0.4799238058042937	0.46112332503396875	0.7538391924750995	1.0420026396622768	0.8466227705447935	0.5405793339312962	0.7005395877276842	0.544077607334729	0.3844101710232056	0.5392510033662719	0.2520716910490023	0.40012790613265914	0.2327652367268917	0.31264574097744036	0.5538519520761486	0.415673438049489	0.6876279737001973	0.24264196450201495	0.5556638375051852	0.6002900443523939	0.7215795480862301	0.5496882878368753	0.5369482367981138	0.8241748553518089	0.6760177650847703	0.2943204749007946	0.6633041112410566	0.46195510139858414	0.5245765874586525
Sample 8	0.5569524612024244	0.35441160735735533	0.35588356214603856	0.6024156696242454	0.3294384522025105	0.21338671986549979	0.28559402321883254	0.5405883656258507	0.0	0.3913239399733514	0.7111230398945295	0.5713011701850322	0.26578924927727005	0.6998789966331662	0.5447297321364848	0.46872962650480615	0.5295979463659256	0.08936176895242466	0.549953806760405	0.8431915354213224	0.2837375345395957	0.6344004188023539	0.5233881808623635	0.6280309645488481	0.47585554966925503	0.21306776566797964	0.13642610835327232	0.6407250131807288	0.6365339986077198	0.4327586686138957	0.3960277453194256	0.1347998622516045	0.35649301542226647	0.25102241679150694	0.46417939853971246	0.595023209648045	0.4392709341147195	0.7096660242545485	0.6677534177050165	0.5643117248324644	0.3261353236076948	0.16173559845848254	0.48554837363834813	0.23552344225054336	0.5843881401403099	0.27667544883091233	0.3774790491048529	0.4844553084005805	0.17428835278706808	0.1441024607340174	0.2306016926015993	0.4917256769697675	0.1506255429698291	0.3330849852451841	0.73048808728366	0.4460816260693193	0.507936056483715	0.6475770524128982	0.049236596330087	0.1857085123136024	0.40826959842047994	0.482011525849619	0.15142768458445768	0.7618129278542651	0.23245543091346008	0.7582500159057718	0.14670326447881177	0.29215779325282487	0.4556603402554409	0.5626241307963997	0.10429726011881563	0.7151951146053365	0.11027583964529841	0.5761242399477601	0.5272743732200649	0.5726488227529681	0.3576260789311111	0.678706682784912	0.142841036351211	0.16454032758539544
Sample 9	0.8767596871613833	0.07545955755104691	0.29372250322707194	0.5359588969345136	0.26856017623909334	0.17850517285342937	0.18476299707776117	0.715072658330226	0.3913239399733514	0.0	0.6955963546133589	0.8446790488446915	0.5952622954566699	0.43782244355288963	0.19587333620820732	0.17590920182003913	0.7978424736987793	0.38473005500376556	0.5300272335116686	0.700919994801001	0.4546651998918617	0.3226444377375761	0.5155667001933658	0.43299270397459416	0.4249051584675431	0.423493297822652	0.3013363031480305	0.6286519482625135	0.5797581894445519	0.4175604185570872	0.2112801528840396	0.30820078983015575	0.45301068358420493	0.15681007939649744	0.2924342413907391	0.24158294975293396	0.3437346680826168	0.5597630683005193	0.8729050191522308	0.48867387662822354	0.3189037385865396	0.37848225829067506	0.7471116858078555	0.23862145702027066	0.2640446487800178	0.5617419361974196	0.7498165454235213	0.16219031371634082	0.5583917946869336	0.38012153292011563	0.6078331790978088	0.34345014544183333	0.31142954258134486	0.6849898283803577	0.35305085172797884	0.14799448199290427	0.8845711252931665	0.35100554834450914	0.3747193099052798	0.5220012455824197	0.2167362679250722	0.5281744231524835	0.4752518248284552	0.8874802278018304	0.4714231228724559	0.6092722380601133	0.37454964864616824	0.13077560268682872	0.7504237949095411	0.35987058085836704	0.2987939272192846	0.4267495783909714	0.4089018938358021	0.3845113874610485	0.9026275978012361	0.27268859080681407	0.6666506988073021	0.4178058191424937	0.5124970042539229	0.4937535724626662
