	Feature 0	Feature 1	Feature 2	Feature 3	Feature 4	Feature 5	Feature 6	Feature 7	Feature 8	Feature 9	Feature 10	Feature 11	Feature 12	Feature 13	Feature 14	Feature 15	Feature 16	Feature 17	Feature 18	Feature 19	Feature 20	Feature 21	Feature 22	Feature 23	Feature 24	Feature 25	Feature 26	Feature 27	Feature 28	Feature 29	Feature 30	Feature 31	Feature 32	Feature 33	Feature 34	Feature 35	Feature 36	Feature 37	Feature 38	Feature 39	Feature 40	Feature 41	Feature 42	Feature 43	Feature 44	Feature 45	Feature 46	Feature 47	Feature 48	Feature 49	Feature 50	Feature 51	Feature 52	Feature 53	Feature 54	Feature 55	Feature 56	Feature 57	Feature 58	Feature 59	Feature 60	Feature 61	Feature 62	Feature 63	Feature 64	Feature 65	Feature 66	Feature 67	Feature 68	Feature 69	Feature 70	Feature 71	Feature 72	Feature 73	Feature 74	Feature 75	Feature 76	Feature 77	Feature 78	Feature 79
Feature 0	0.0	0.29036939313014926	0.2206892040940708	0.6346671046473161	0.3027440486809399	0.3287521352386597	0.397346435399826	0.6149893605518085	0.6791299832759897	0.5425983816327425	0.35188239654146053	0.4008522764345694	0.6725908593637339	0.31132594880907316	0.603695550530157	0.4287011392096505	0.48034526647722825	0.6755859952050227	0.6219140308784363	0.306021947806513	0.4331918001067699	0.6669586605379403	0.312663126842146	0.4477600605889123	0.11953265003722352	0.20731205465890912	0.4224166768207099	0.37967827395900344	0.2866559266676221	0.5204850755869829	0.3510009027861441	0.6108208503443017	0.10346740559225774	0.15274692515838179	0.14092307509056273	0.41768242016976087	0.29164801986212124	0.3213348649218657	0.19973327439004107	0.10188939086468173	0.6267848291891835	0.7472247033806884	0.2629440119376037	0.07018698581446364	0.4009733443736569	0.453297293431789	0.5071892770410364	0.5080586445210927	0.11223426651203554	0.7487838997041202	0.5030397366750236	0.36046604898651297	0.3845586557662626	0.4759466023504327	0.7532781648345227	0.45115656186088815	0.46965021187608247	0.5988748286020722	0.422306412140985	0.18028030859737754	0.6895355843935154	0.06930383367491226	0.05871226554593714	0.4989408308893128	0.09025960118320302	0.7864530855591854	0.3854886961239516	0.2442118980495301	0.701092392982984	0.4768943723008473	0.7423359296642033	0.1843020230874957	0.5632737054086095	0.6582126076458272	0.9139614953789673	0.7306100635894266	0.3825162208404542	0.5375226100370859	0.040124937497989885	0.19185964402007652
Feature 1	0.29036939313014926	0.0	0.24695473591124417	0.35373352969244787	0.2609121814646597	0.14060193135071997	0.5832022761296853	0.3625992254391109	0.38975286400818193	0.7751667646711389	0.13018937578168213	0.24915026298898668	0.8103501154747704	0.5687921074968336	0.38445135162593147	0.3506623398627654	0.22458323468990077	0.38604061740024664	0.43575952875484936	0.3896846895439603	0.2205292945233399	0.4266002323209025	0.4086339393447	0.4369663974685706	0.2100029211245579	0.08344826000825438	0.5780362516818582	0.6448026346238407	0.12880951895734305	0.4111914789511556	0.16007379522854606	0.32980461576351655	0.2606064270618708	0.42173526953566093	0.19352475379174927	0.18510874959626078	0.15562231010539637	0.5448871662508039	0.11598976106846197	0.20700973597421285	0.39675200399454896	0.5540143970617057	0.3979184346931598	0.356430548155031	0.15293908970439718	0.163489034070831	0.2559537729241353	0.45021307407553707	0.3145822304604652	0.46382247353565476	0.7386179005678679	0.2742814972312909	0.31245123050416385	0.30382266350162945	0.504174907422244	0.4285355847063632	0.6017140794205003	0.38750194068777655	0.1548978648957524	0.42620041490983007	0.40815069695008	0.28108558192522315	0.2833177005164147	0.29987939644464984	0.28892937434258653	0.7746675667769681	0.16565992616566563	0.4991520622895704	0.46861288215464575	0.542622160731848	0.6949256214310424	0.1883412608114079	0.5258973420615097	0.4451116056538477	0.6446832255500281	0.6002952020646868	0.20272382785221715	0.28467659113162175	0.300284497466337	0.24387040436430885
Feature 2	0.2206892040940708	0.24695473591124417	0.0	0.581982602526967	0.12906063858247685	0.3616088132223609	0.3435691613917294	0.4548025606963072	0.5944602567932071	0.5502276701978819	0.35886782804238593	0.21249016459641945	0.877703356276238	0.369884097057049	0.4167784419050037	0.2237929925958886	0.4699408332287653	0.5806791073712707	0.42229358562022123	0.16085083166406694	0.2809238508413227	0.5052800357976716	0.16731381782611923	0.25241976456000076	0.12368833949351542	0.20532089036044793	0.33456933567740454	0.4586392106844495	0.15711252499421446	0.3062036516077552	0.37562573827449114	0.5432000925631477	0.27532820479863174	0.3634393725587871	0.17005260356456897	0.4297284902438405	0.14870866619667042	0.32742825300225226	0.1407708930860985	0.19701705412482304	0.45153719743771875	0.5523624663890646	0.20253592549181354	0.27441737018076207	0.265835206884013	0.37942825878074665	0.3585023274889034	0.2991526978995238	0.3190467576558025	0.6540634134330919	0.5191346477986576	0.4612874210988046	0.17385476927756582	0.5369070843745182	0.5802219349408868	0.24227559975758062	0.6709055841175178	0.4196503507816305	0.353569024796211	0.2501088049889215	0.5810028584053455	0.16408901828987613	0.21131043088701396	0.5409049314497937	0.292329312121025	0.6006735786588432	0.2652847995089087	0.4577018089545978	0.5275128426000175	0.32542361953709237	0.5468269615418887	0.07078504145424354	0.37956927398227974	0.4764400598716347	0.7567312444971374	0.5238315996813241	0.43038737855848763	0.4021474536041551	0.19844244069992784	0.03253261568147037
Feature 3	0.6346671046473161	0.35373352969244787	0.581982602526967	0.0	0.5515196251894696	0.3269486873619351	0.9218353032445421	0.3378576754630252	0.09925848590805261	1.1189203230270452	0.2963073052350486	0.46870390389731126	0.995711415444516	0.9204631040196581	0.43211720509281787	0.5856918184208253	0.18262729768010805	0.14609097000875118	0.5144984124707596	0.7073330654984877	0.37804582458983743	0.3844275531242196	0.7313128774169417	0.6960999451978807	0.563527898691333	0.43127148543984667	0.9064157120727818	0.9905753453597976	0.4318387964024058	0.6001005680608638	0.33523851811487093	0.0845293391326831	0.5841656652053351	0.7489768763730202	0.5399462164642022	0.24115279619073407	0.4506629344602523	0.8907009524748093	0.46792838684194155	0.5513790099485565	0.4061745499453565	0.5720235572859184	0.7223925754190914	0.6956712070856615	0.337537123943373	0.20806068541057096	0.3164970275653326	0.6722734829146342	0.6269093861575133	0.178329592963971	1.0820062567467967	0.4257442771487751	0.5703043251310129	0.30571730993664026	0.42354088552210334	0.6866898759963933	0.8118510951624359	0.43589943042251533	0.2746626895121556	0.7796123645107345	0.19441387127801615	0.6308652979614435	0.6237583560929357	0.26024663696922173	0.6095305779640594	0.9734984291748222	0.35710534321434867	0.810408653177276	0.4334270052531922	0.8270825091294698	0.8701568510707448	0.5352972831035578	0.7356582756456576	0.4625477143916646	0.4569702103607747	0.7025643738745282	0.3169245911467993	0.29654946869174975	0.6502078561810748	0.5854938110719171
Feature 4	0.3027440486809399	0.2609121814646597	0.12906063858247685	0.5515196251894696	0.0	0.3655616784919319	0.3883281537308263	0.38519063325585673	0.5553122445607305	0.5898812996177896	0.3498955483967667	0.1352982624998826	0.9617967345278624	0.4397841325123447	0.34820299115632974	0.13364817149287164	0.47222169830183097	0.5523834606106488	0.3399359123018227	0.16095778938130306	0.203372813266403	0.4169504498480028	0.19355437055219865	0.1879091958210632	0.2226651964602398	0.24258178914404782	0.3635031378100995	0.5100138853713333	0.13613379807161444	0.23260543082523272	0.41636453570660525	0.4967939777636888	0.3589715655000888	0.45225100000712437	0.26903918181449177	0.43088230078371653	0.10971776046484694	0.37789418816200243	0.19342610923156392	0.28587426043712694	0.37047983647722876	0.4575324087077164	0.1983525167871204	0.35002622378245507	0.23373680040674708	0.3671352202762086	0.29653697011326974	0.2261114550464977	0.3814243175813806	0.5958064143195395	0.5573129158585187	0.5097560224381842	0.1039504932742522	0.5498539370071404	0.5067097851568022	0.1999384900792226	0.7530575415069176	0.32940440512253955	0.37206860036190176	0.35404572378780236	0.5172495760763021	0.2407321225339772	0.2702797425481122	0.5489178133897563	0.36407406365303946	0.5299230087930373	0.19831257773078198	0.5443100219133713	0.4392870662053839	0.2864599000697587	0.46344107335360096	0.16310967109693916	0.2830237465155753	0.38434141035952085	0.6840001091728443	0.42986745738943427	0.4570011807477234	0.3260726853571746	0.2917976416560979	0.13519468434097684
Feature 5	0.3287521352386597	0.14060193135071997	0.3616088132223609	0.3269486873619351	0.3655616784919319	0.0	0.6745968601093819	0.44185224954971064	0.39388101947886495	0.8462223905409002	0.04498075231388442	0.36783245420453636	0.7421573632192539	0.6309272345432156	0.487507566739023	0.46691111060366497	0.17891105968233614	0.4097489652092778	0.5423399750095278	0.4909296209814597	0.31751743443082947	0.4950916794865002	0.51482569529305	0.551071571572995	0.29549449909952474	0.1614745757252952	0.6762793288543273	0.691416683369409	0.24932553489839102	0.5332218779878786	0.14503145755777283	0.3140838939622412	0.2762228351881572	0.43160093744297817	0.2745688068151186	0.09940819205359484	0.2711458452652968	0.617604129484003	0.22535365909774993	0.262797216926692	0.48401308339622895	0.6456729464314486	0.4726170757817086	0.38149874671136963	0.2670955889426215	0.21058330288114321	0.3439191412410492	0.5691897184229906	0.30246634795626204	0.46438387911356116	0.8054353978433364	0.19317655486217847	0.43443091117443733	0.1864108282340689	0.580984141364971	0.551924019771576	0.5405058624223601	0.4780565204921261	0.228365354692349	0.496552822556555	0.4266568953966722	0.34000732818467533	0.3180806978118503	0.19420138490184705	0.2900590760408864	0.8844386412736654	0.25133525576115306	0.49080870609178995	0.5453154139952019	0.6460168251871515	0.8034243928676816	0.2984423442513633	0.6271482119558587	0.531818104328273	0.6961506151174892	0.706095965652842	0.11728276415480064	0.3484334665746653	0.35362325326788147	0.349229170743501
Feature 6	0.397346435399826	0.5832022761296853	0.3435691613917294	0.9218353032445421	0.3883281537308263	0.6745968601093819	0.0	0.75314259027753	0.931625118105779	0.2226393059262003	0.6789579692240595	0.49966129291121725	0.9936215867976738	0.18428888568509127	0.6891279226088325	0.4249564144209527	0.8070876167001005	0.9186557177647658	0.6561477317277412	0.2293962552832131	0.5871479674841152	0.7836220572133837	0.20127035662887108	0.3427379186514237	0.3985402353973011	0.5234652275646465	0.06522055788987846	0.24874539184148664	0.4904108160931841	0.49296675169221876	0.697532846103643	0.8766872324715798	0.4935205958904419	0.45065948948363643	0.4486615074081674	0.7573419545482657	0.4738362969244146	0.11184151818587997	0.4698735486509565	0.4542117042206584	0.7271126547997433	0.7645566464300226	0.23820673186268665	0.3870389209413126	0.5993989989618873	0.7223074693596832	0.6730496503819067	0.42248112197012155	0.49427771597999126	0.9809743364752922	0.20609323864282791	0.7475619402672083	0.4056780777445835	0.8482293254539093	0.8564702884608985	0.3526780176729299	0.8159146285802044	0.6830373093850689	0.6950852527559699	0.2598769390365101	0.902603222489662	0.35008195254149327	0.3903545699041861	0.8614379479120722	0.4847717076788383	0.5470611137300538	0.5828025920581316	0.5208517675347006	0.7923000835968569	0.24951587220642263	0.5604582774045607	0.3981096613433262	0.44392810683656475	0.7286138044134429	1.043085948493312	0.6602560143147674	0.7464712178510982	0.7109361601408757	0.36563668928966103	0.33995010414834986
Feature 7	0.6149893605518085	0.3625992254391109	0.4548025606963072	0.3378576754630252	0.38519063325585673	0.44185224954971064	0.75314259027753	0.0	0.2751518238239698	0.9653561765969205	0.40025040856517885	0.2559535167417653	1.1668564407688446	0.817572084090683	0.1048143489186588	0.3412080705967714	0.39831236713416823	0.2669682427075014	0.1830718839308397	0.5302188078251435	0.19220031826330378	0.09102727454126172	0.5524216196647119	0.44950284046915473	0.5118010679131829	0.43178040143698126	0.7171140791834171	0.8939161176535392	0.32949755051589885	0.3108725448655987	0.46369235243535706	0.2781634422054345	0.6142051600959593	0.7629811072171996	0.5161806983609123	0.42060551124207957	0.3303474578568758	0.7592062239722646	0.4202917504350463	0.5450750235409979	0.07168210844649893	0.24321195528502326	0.5823061907772533	0.6784757869455167	0.21958950654340356	0.2690932146284689	0.10916089370236251	0.3956213295399145	0.6609782189338858	0.2805849069819776	0.9365553998719717	0.5995472248438144	0.3484485814225958	0.5489595668000997	0.1429053249557023	0.4358035307232987	0.9607186599009047	0.11578880773096827	0.3224660649600568	0.7025958931402901	0.1997143107388246	0.5764288171258485	0.5938083219681023	0.5168255984817429	0.6384037905289811	0.6643899549279807	0.24323849684617957	0.8485037206654212	0.12141956743893148	0.5932927054801513	0.5563340726455576	0.4495881121990915	0.45974395810120844	0.13475408519068885	0.3031894922798654	0.37165679710242794	0.493407048834945	0.11025547075211951	0.6133076419208215	0.4723113631798465
Feature 8	0.6791299832759897	0.38975286400818193	0.5944602567932071	0.09925848590805261	0.5553122445607305	0.39388101947886495	0.931625118105779	0.2751518238239698	0.0	1.136614810484371	0.35820545832832795	0.4534210797834684	1.0810503891986136	0.949243220585964	0.372908847727831	0.5664515413391069	0.25784286664800543	0.0746010669274542	0.45762285804872915	0.7121051205327722	0.36395904452735417	0.31955497498666036	0.7349851339190617	0.6788465814343845	0.5952535781689604	0.4719496580137314	0.9099634604788543	1.023525359374743	0.4451789772923013	0.5641072715242423	0.39610838811805865	0.10619887567470271	0.6377224424443905	0.8035513026859727	0.575793389008281	0.31729212141212737	0.46095803908172683	0.9119179889529937	0.49675708150603076	0.5941479429058243	0.3447257338251223	0.5028460263639339	0.7396412970194053	0.7431099831494976	0.33314004490033455	0.23054774658298635	0.2838689358741153	0.6434039634278849	0.685638644254206	0.10845378209673626	1.1020849030378124	0.5050495739495985	0.5566385009767394	0.39890808601106925	0.33841589623361534	0.6660205737750211	0.8929348418393324	0.3832979978587405	0.29656728588873943	0.8103415368369417	0.12385259535571189	0.6668774917537134	0.6669051392442769	0.35393813615897385	0.665533632915749	0.9331374757150703	0.3617380187056424	0.8716542441721152	0.36250658519815604	0.816848483396563	0.8264335724601567	0.5568476998554819	0.7088207170230286	0.4005948555730972	0.36106561770144746	0.6451153383998242	0.39383223167689696	0.26417805305754954	0.6899237177464455	0.6028672863494189
Feature 9	0.5425983816327425	0.7751667646711389	0.5502276701978819	1.1189203230270452	0.5898812996177896	0.8462223905409002	0.2226393059262003	0.9653561765969205	1.136614810484371	0.0	0.8561120897998176	0.7109314180308853	1.0388197963523944	0.24026422005324014	0.9043076012048421	0.6338137758284058	0.9952058461040995	1.1285429090940509	0.866778642369554	0.43546727833852794	0.7929004876880094	0.9899677917726359	0.41644701382888394	0.545306253880062	0.580992541487247	0.7062499903247244	0.2642687304917198	0.2081075679364981	0.6918825113581079	0.7039321138974076	0.878462410704903	1.0733876036083017	0.6389977469346497	0.5435036498886842	0.6287141493053228	0.936844710101478	0.6757511836973835	0.230693171241071	0.6620325055355318	0.6221352875957717	0.9378907012070391	0.9664722881760065	0.40728073899353934	0.5062612006882437	0.8083222307375879	0.9241885789510526	0.8833103579260517	0.6263263373556862	0.6154707521915215	1.18408697716601	0.04812735816948107	0.9026212063151752	0.6193091968100071	1.012350100179099	1.0694615694278085	0.5643690660360672	0.8896614156052173	0.8910802220913911	0.8984446328865484	0.4005660302370057	1.1068107809102632	0.5114043444392581	0.5360568263667052	1.0323757618462361	0.6171856184115285	0.6784791952892705	0.782010812095941	0.5840905173733991	0.9998519514271021	0.4237823347795383	0.7175194872671052	0.5955682531592835	0.6199746545199928	0.9353488081896651	1.255070612375085	0.850268227617805	0.9185303531055307	0.9155111531636556	0.518042985254482	0.5399760008458124
