	Feature 0	Feature 1	Feature 2	Feature 3	Feature 4	Feature 5	Feature 6	Feature 7	Feature 8	Feature 9	Feature 10	Feature 11	Feature 12	Feature 13	Feature 14	Feature 15	Feature 16	Feature 17	Feature 18	Feature 19	Feature 20	Feature 21	Feature 22	Feature 23	Feature 24	Feature 25	Feature 26	Feature 27	Feature 28	Feature 29	Feature 30	Feature 31	Feature 32	Feature 33	Feature 34	Feature 35	Feature 36	Feature 37	Feature 38	Feature 39	Feature 40	Feature 41	Feature 42	Feature 43	Feature 44	Feature 45	Feature 46	Feature 47	Feature 48	Feature 49	Feature 50	Feature 51	Feature 52	Feature 53	Feature 54	Feature 55	Feature 56	Feature 57	Feature 58	Feature 59	Feature 60	Feature 61	Feature 62	Feature 63	Feature 64	Feature 65	Feature 66	Feature 67	Feature 68	Feature 69	Feature 70	Feature 71	Feature 72	Feature 73	Feature 74	Feature 75	Feature 76	Feature 77	Feature 78	Feature 79
Feature 0	0.0	0.7785966618492853	0.40345500105332627	0.5398391079208466	0.6620007910415212	0.6352776085708567	0.36999255644986156	0.41325342065281867	0.5906170057729422	0.47923723687034364	0.527936426782618	0.22689329702347372	0.4669190682883309	0.4401629733139397	0.3389656733906027	0.7357241894108613	0.3866560793420635	0.6795529292360706	0.14072818807051754	0.9779442252106688	0.4774705353439323	0.6121315900971198	0.47717027737791246	0.197452585801233	0.5249585718217715	0.4252690647569467	0.29326016362766205	0.5820414833795086	0.3981549714006068	0.7489160395266037	0.706765787149424	0.4217401019560576	0.32368482204574667	0.46474259950878144	0.26292324139435463	0.5691050128307044	0.2506189772119618	0.5441127492135853	0.7137045297296549	0.8855615953186216	0.2914232779950525	0.9055757211790074	0.6297796347594353	0.41802106939099126	0.6938657169214084	0.6413817625537395	0.7149027940948426	0.8461597996873821	0.23536234244736962	0.15857855781656155	0.6986495621976712	0.79021356300435	0.4549401491278631	0.8711312654539556	0.4245421687130947	0.6104778431802307	0.7670127898215178	0.24367272261468664	0.992031534786957	0.4888950663562067	0.14614830050044908	0.2049604930927731	0.393646342807396	0.7954922112017146	0.8349978528169231	0.6858058627673325	0.23708156743960856	0.3132524438545834	0.6650198360158337	0.20933349502465878	0.5566230920417136	0.5065103835380875	0.4172881823148759	0.4132842516054333	0.4130627589015844	0.45899652309329736	0.7291438329371158	0.3875206383339595	0.7687639223368677	0.24822704487249034
Feature 1	0.7785966618492853	0.0	0.39773484102497975	0.44858876673814635	0.15066881350916755	0.19279508567678325	1.114954507453404	0.6363449379601971	0.23275695448230596	0.5120040178078782	0.28747348040667725	0.8397601001845475	0.8135721779471383	0.4263281769085551	0.922217138263986	0.4941625860748491	0.8545266201670878	0.1229727017301303	0.8459463735498446	0.3130596313824244	0.38991839637022396	0.22574763021596556	0.34746483637617587	0.6716908573581217	0.5105770099121705	0.3649939994676952	0.7242026257026026	0.20910071862244764	0.41731865437931437	0.4181301869845687	0.17546671015707288	0.5607575266955047	0.8331762865543018	0.31927788104726923	0.718411519891292	0.28224500697698035	0.6536978442604525	0.7736754054109596	0.11883328705645337	0.39925127606714583	0.6015496842205925	0.1596719414693101	0.3088667747298296	0.43787751459638635	0.22392356249672246	0.295627459483616	0.1577194312088644	0.38379344905608487	0.7872285074342409	0.6462301176748719	0.46411505389522956	0.4693621493029599	0.3442412945643167	0.3088506405996855	0.44292886089268474	0.7072255199489825	0.03690415034066329	0.634497381723004	0.589949518134009	0.8564314878428216	0.6359809156706946	0.6172729811117842	0.5537535822972771	0.22207739150103212	0.15334080565810382	0.46383076820634067	0.9973002888008853	0.52771114973392	0.33256841322236735	0.7737286720430231	0.25217018324859125	0.28253452568633547	0.391133274622946	0.39189483687307114	0.4056973829217659	0.35519371349454437	0.7389202272989293	0.8994470594981536	0.2701695853406638	0.5597852774563319
Feature 2	0.40345500105332627	0.39773484102497975	0.0	0.2151229149419076	0.2668746477569115	0.2875990058789324	0.7278529664512404	0.2874271600955577	0.19038202116580363	0.21559319833362775	0.14077227389809535	0.4425099868934594	0.46286493875270973	0.09627592376261557	0.5301208355100351	0.40471781825101877	0.4760489675856502	0.28516731978193166	0.4637220911069052	0.5769652254040585	0.11071267511802263	0.21355840327837566	0.08813230992609568	0.2865022000604014	0.24741940580962632	0.041270832211186895	0.33598172991102154	0.1911195785376026	0.21514251323705835	0.3906097972986609	0.38373708002236706	0.22000729416599016	0.5652360483416561	0.08990452850770538	0.3276973247107324	0.17305100722116823	0.25957564618222784	0.4589061326205852	0.36763173411445643	0.5106500452803472	0.20987148863701408	0.5099900302285376	0.2440583726891557	0.0889336700769224	0.2926631072471683	0.3863128663298839	0.38667253286009884	0.46346538168098983	0.4910434389529175	0.3072415610302483	0.3633651860878909	0.43932618996710177	0.0843550302143899	0.4745467851082256	0.285947812918866	0.4412310491937093	0.39455553851760483	0.2625232742760461	0.6403758101658987	0.5042277012140163	0.2609994576759856	0.28139719517031886	0.1982907724154399	0.4842731742228681	0.4916897737730576	0.3503734353338215	0.6277430934404723	0.27289429635389373	0.42630180985403826	0.3789384983500103	0.1819194158758251	0.16219198601894638	0.02556217975531725	0.14308912336550816	0.05734529842272443	0.10880672253561303	0.5281641817123509	0.5164006949690937	0.3726114479914556	0.1775603503549607
Feature 3	0.5398391079208466	0.44858876673814635	0.2151229149419076	0.0	0.3088162965987146	0.39865517588545357	0.8017764671565809	0.21420031565355252	0.2337957795257425	0.09098992534591731	0.23397414567055433	0.4847263785424282	0.3787481723633288	0.12570711368384707	0.5312646697056275	0.20131813085100084	0.4391048463436781	0.32787110197959124	0.5655685297892709	0.5032005910465909	0.12323333702361954	0.24135666789494678	0.18869338372769312	0.38307847143926094	0.06430413133960387	0.23743482096870278	0.34098084939506523	0.2774249635927428	0.42693626422318537	0.23858634727587175	0.5093638410443091	0.14753090455500353	0.7607814813604029	0.26274902153427915	0.35512902997584583	0.1875914668350027	0.3130895001643915	0.3311073410050707	0.474929089690968	0.4014564517756336	0.2570261498690107	0.5033573646957649	0.16934563635228173	0.1538669637282579	0.2507801422317223	0.5558508347786022	0.508165864805842	0.3204819584830355	0.6812090311814164	0.4884083164898305	0.18195777457384402	0.2506981284202142	0.24510128861999392	0.37484775472688353	0.49820243993260027	0.26495040095181566	0.4606552577846556	0.36134492364335896	0.4560870467902597	0.41695057348207754	0.4165315391101478	0.4546292953561137	0.1625689400252511	0.6043181723841636	0.5825195252537106	0.1523269156854578	0.7491383042937881	0.48536179976718274	0.5954366968894745	0.43089050181710065	0.2849287236507137	0.3186124320373112	0.2004379544206428	0.32423079027918905	0.19985992843672848	0.2522715159762158	0.3296930175709517	0.488335425651901	0.282910268727602	0.3200140854967665
Feature 4	0.6620007910415212	0.15066881350916755	0.2668746477569115	0.3088162965987146	0.0	0.13906704609699702	0.9943153888023695	0.48984665485521595	0.08487827972692105	0.37480422052570944	0.14503094475222766	0.7020356854782226	0.6734560328162669	0.2823907947038905	0.7824485721261586	0.38618161049734573	0.711875675144635	0.04024371230883855	0.7286439248573462	0.33728643787120527	0.25552098827143793	0.0752160842330076	0.20352463279376432	0.5500604680486302	0.371954899303051	0.241658937042655	0.5839607870823615	0.09858261797090782	0.3459639748683984	0.3074027182678213	0.22356159016285676	0.4153224827738578	0.7638366360329564	0.19824590547275917	0.5833242278779425	0.16045627712387686	0.5191079515897287	0.6272348443117152	0.1840471308993711	0.3393001509726846	0.4636081707931374	0.24410899587497628	0.1995345681237664	0.29317161410877374	0.11074529467013286	0.3165732718617967	0.22471475163674434	0.3174089933941498	0.703018279069165	0.5451062093097684	0.3393118530928214	0.37362475656653943	0.21157291553675903	0.273365557759143	0.38904982543385025	0.569668972750387	0.16465614433570544	0.5182422877926116	0.5272930250288773	0.7126388049666801	0.5166675222731846	0.5197582456964389	0.4136303852206357	0.3068403070196079	0.27578533109169595	0.3406565080706028	0.8876465375322986	0.44570456689621685	0.3516368175687983	0.6420089689428271	0.12203690794525285	0.20162092785160698	0.2609101008710104	0.30334051589745814	0.28029797673980905	0.2200901692249341	0.6075612210012856	0.7570509641522657	0.21282023487068946	0.4402043898074323
Feature 5	0.6352776085708567	0.19279508567678325	0.2875990058789324	0.39865517588545357	0.13906704609699702	0.0	0.9905125425073484	0.5409457140545404	0.17259487550978495	0.45346424079449243	0.1723518517447494	0.7104712704289835	0.7337890127271964	0.33314531564745103	0.8068121757866772	0.508735183955901	0.7512603549627136	0.15627606416990178	0.7239378358300058	0.43011420365477326	0.32680664011545846	0.17015577914144228	0.23709873141600576	0.5629377137390588	0.4585464620469013	0.2589734867405935	0.6146403403468587	0.1666411496236211	0.2919849332662867	0.41065635803279504	0.1361573324676003	0.47097755105291006	0.6959086140801826	0.2012966667988018	0.61171331548021	0.2605361444093244	0.5422884711884693	0.6899887110894625	0.14546418328698835	0.42549804090098214	0.4911161029796792	0.30731955598470234	0.32342815006803904	0.32980631398510213	0.23891417425905345	0.21460699169050135	0.16921638749344078	0.44162647519152154	0.6370565125583325	0.507995631623333	0.44109085242795076	0.498639768092926	0.2114404618156893	0.38822159939388695	0.31139846549814315	0.6564345974387279	0.19125886250135074	0.5383230647436733	0.6474998634464392	0.7685908285697016	0.49240327098102016	0.5005632359841746	0.46847864466906786	0.22016295338511557	0.23449313461022747	0.4512326902521112	0.8629122307804268	0.37734638110114105	0.22785352292497205	0.6585192727033594	0.11894982647936302	0.21226141548194094	0.29321367478702093	0.31089200366305364	0.32041904275400546	0.21041827653136264	0.7022126765064268	0.7919774819572599	0.35134447895709225	0.4473212587195107
Feature 6	0.36999255644986156	1.114954507453404	0.7278529664512404	0.8017764671565809	0.9943153888023695	0.9905125425073484	0.0	0.6253629406227348	0.9169177833610238	0.719487977953813	0.8629647818974977	0.34855530954341174	0.5445053471222973	0.73884742095226	0.3380602207027054	0.9674509459915094	0.44766328786918125	1.009141380892982	0.2700355479526522	1.2885568257879227	0.7685302250576029	0.9389056986324001	0.8028826817117644	0.4477898936009036	0.7627280696697281	0.7540631140359542	0.47276870426963713	0.9100109640063578	0.7484167517837184	1.0258716024944479	1.0623541804999712	0.6662625452534244	0.5552813244391698	0.803462158033056	0.4474567557914822	0.8721994806113748	0.4937135403776747	0.6779644470497546	1.060534458484966	1.1845392872626195	0.5541540584798005	1.2364026794163006	0.9129445509125801	0.7249760822164355	1.0065847782632247	0.9972332236944925	1.0633985243608701	1.1221562206950093	0.5180336295007044	0.5098621029905474	0.9587369918100798	1.0357815379989581	0.7948121556413309	1.1692914338539229	0.7780131831265652	0.7623223514721545	1.1041796768678378	0.4900645792126919	1.2297956979410525	0.5510536290083197	0.5020092137864745	0.5206400648774365	0.6392415292741769	1.1544568255785022	1.1860799274789324	0.9367283274476849	0.1958456866831158	0.6744592089762965	1.0281121203846333	0.37172135746420476	0.9002595841260731	0.837047948909379	0.7344804771330188	0.7325848864714515	0.7198515017562301	0.8015483601866614	0.8837438363117138	0.4117257875304197	1.0558675178342396	0.5558481277492714
Feature 7	0.41325342065281867	0.6363449379601971	0.2874271600955577	0.21420031565355252	0.48984665485521595	0.5409457140545404	0.6253629406227348	0.0	0.40592044644112374	0.15727728192847476	0.3706946976997495	0.291929032401913	0.2033041521940718	0.21591818899965481	0.3270535402315499	0.36555641539756456	0.2339731585226366	0.5134392185006182	0.4227391633941989	0.7079917325336846	0.2604430288325905	0.4173071383858393	0.30595328647785	0.2782903197975402	0.16940092952769273	0.3271555589508534	0.15329839051486294	0.4415480331156416	0.4788963601339836	0.40966846610278995	0.6570207587661776	0.07655707222241152	0.6985382732763805	0.3700430725657696	0.1912514086011212	0.3688320542811395	0.1782690631984953	0.17728202531421577	0.636720140868141	0.5761949517103445	0.14506856253322986	0.7053475777103972	0.3756458957889346	0.2146106007874034	0.45180025925921014	0.6712118136097379	0.6625990570643164	0.5176243884769893	0.6075892359776475	0.42672463356492824	0.33754058184262975	0.4267626082510935	0.34118033430320693	0.5785281506461792	0.5461625745566355	0.2070813311675783	0.6434861364695967	0.28787368834683846	0.613241072440488	0.22813588969826756	0.3311373927320736	0.41011493392238596	0.11061647027390002	0.7549980030845564	0.7533066952846056	0.3215717276942683	0.6011938793207185	0.4862364829877634	0.7032370158489697	0.26480694677700506	0.42273050353349606	0.4419088557095972	0.28553827566877177	0.39889156618403876	0.2814643056215531	0.34063907707479496	0.318149272374707	0.28168806249194767	0.4971076887120312	0.2759176019508546
Feature 8	0.5906170057729422	0.23275695448230596	0.19038202116580363	0.2337957795257425	0.08487827972692105	0.17259487550978495	0.9169177833610238	0.40592044644112374	0.0	0.2955610105329365	0.07509147020072576	0.61922357457067	0.5909392328002406	0.1976708981377203	0.6981120978924573	0.3445789783578823	0.6272036336162146	0.11207961206634337	0.6537564215132267	0.3914713403593751	0.17616458347697297	0.02786537631357633	0.12208067734930106	0.47331373913764246	0.2957092720151284	0.17197302417308205	0.499601964613519	0.07798457475555992	0.31176262696020063	0.2807708348639231	0.2786507745849007	0.3313808547734936	0.7192515459328273	0.13770906809459377	0.5003611315985967	0.10288219538351794	0.436753333707945	0.5478361527296394	0.24659664440056103	0.3543251562542845	0.38024624682000263	0.32239685177718286	0.15814557021057682	0.20885028307166628	0.11619425309081524	0.34575743112258867	0.2818340461406683	0.3202545525507574	0.6519503584441333	0.48376061857809416	0.2936991208211884	0.34646934115537964	0.14261197760159192	0.3027539962222083	0.3659097741952924	0.49668031707851545	0.24213580957423245	0.44401185461602405	0.5220828054890311	0.6296088960431231	0.445619641679665	0.4583662371912313	0.33000302633929074	0.3710786285254653	0.35229224854371516	0.2915656148507591	0.817112946510546	0.4025686242358141	0.3822711639734477	0.560445285173579	0.08534050949191523	0.1717244313589994	0.18382422378040592	0.2541078322354221	0.20509688508063914	0.15313275533432513	0.5444835892858332	0.6722902068117387	0.2237400064975579	0.3663257079268461
Feature 9	0.47923723687034364	0.5120040178078782	0.21559319833362775	0.09098992534591731	0.37480422052570944	0.45346424079449243	0.719487977953813	0.15727728192847476	0.2955610105329365	0.0	0.2838214299224991	0.41254766598382175	0.3032058604808157	0.13492324779328002	0.45299032041771137	0.2598724260306596	0.3631502965679356	0.3908284051920485	0.4890701395477184	0.5892010868547348	0.13647322594785585	0.30913482739469705	0.22546852507169948	0.3093891640640371	0.055890553169729906	0.24449663204274144	0.26476254579592134	0.3234874087837844	0.42196004611006105	0.32635350993091644	0.5580951966139697	0.09548999040512403	0.7167427453166961	0.2861405823760923	0.2744907248736568	0.23360504728512616	0.23981708015592143	0.29173740709860174	0.5251976795498374	0.49200030208494605	0.19121263171511566	0.5815750800190933	0.228194249822632	0.15913375055058515	0.3314755204477729	0.5864022593515065	0.5540317230218152	0.4044832198259811	0.6385279284297865	0.44259585641467863	0.26228481376679125	0.3220864014825767	0.27216763699593993	0.4617493835642257	0.49603105823953053	0.2375530104075698	0.5191618471068936	0.28831400715600436	0.5268707914320739	0.3493216680152344	0.3692027033408022	0.403295558188918	0.08848096261313754	0.6569911290644042	0.6409160002875128	0.22787083610709807	0.6761064420068225	0.4688367900785542	0.6301626619994253	0.35155448827754365	0.3369789869822887	0.33678389430830985	0.20072121653241576	0.31163008533924114	0.18826473686375786	0.28353089337869763	0.3340405335232451	0.4121099094952338	0.3562981046264293	0.26613998855860443
