	K0	K1
Feature 0	0.3661486618185641	0.8036574371600633
Feature 1	0.5757373915182359	0.5436713175658502
Feature 2	0.5187058893604821	0.5604223621250654
Feature 3	0.4888667240802679	0.6569364055083307
Feature 4	0.38134131895722306	0.6285285248975104
Feature 5	0.736608196011267	0.28756122070206896
Feature 6	0.27578966255809473	0.9232388613024229
Feature 7	0.5754021515128542	0.4611632021988366
Feature 8	0.6985873252366434	0.4230925272855489
Feature 9	0.6987620533406288	0.4381890049501564
Feature 10	0.7518593699451643	0.3448180447052407
Feature 11	0.22925524720257295	0.8932233571614211
Feature 12	0.4720517412907098	0.7380612052455615
Feature 13	0.4184917138611705	0.6486623264403601
Feature 14	0.1174347310645863	1.0397114229311946
Feature 15	0.5561234031302812	0.5058460344859604
Feature 16	0.6918065464943174	0.44196793358453274
Feature 17	0.5026093069840089	0.4911140743575904
Feature 18	0.3962419766499811	0.661169361314997
Feature 19	0.40325352304171647	0.5652816491567901
Feature 20	0.8219732705757455	0.27664562522664127
Feature 21	0.08300336481679732	1.0018533417041053
Feature 22	0.28406030971828033	0.8203101707005364
Feature 23	0.5675185863772492	0.38880306831332556
Feature 24	0.6999727570665956	0.32585719594170753
Feature 25	0.7357472231686902	0.2799483993319377
Feature 26	0.7513809370311535	0.282290458889476
Feature 27	0.493580252215181	0.6726167351664339
Feature 28	0.48585814188874743	0.6248437630491179
Feature 29	0.616102478427265	0.42459157335664993
Feature 30	0.8629522241337004	0.19956092995938518
Feature 31	0.6103100821369248	0.5385091599087777
Feature 32	0.5322924897728201	0.4598764073219346
Feature 33	0.6395483459300106	0.34208364567036437
Feature 34	0.4940360295764844	0.7493914362615425
Feature 35	0.24956966248579765	0.7297853453422155
Feature 36	0.5555243650082065	0.5606145127710254
Feature 37	0.5443147116427877	0.411920889387712
Feature 38	0.6955088100386929	0.43037502710089576
Feature 39	0.5423229747631091	0.5565090600015803
Feature 40	0.4027510769107349	0.6937825107525074
Feature 41	0.9671415036859732	0.0
Feature 42	0.6389756699303574	0.30037230751135846
Feature 43	0.35774443339022527	0.78448425247435
Feature 44	0.4341323028478809	0.6666735832503428
Feature 45	0.29176070391300324	0.8242196056976374
Feature 46	0.5660657312893272	0.5109709315892356
Feature 47	0.2993959352786607	0.673470791244888
Feature 48	0.4164482423393761	0.6331674869764243
Feature 49	0.6188520471473798	0.47711571003700975
Feature 50	0.4044845870189937	0.6763503729750165
Feature 51	0.4040841142147896	0.7546269424855628
Feature 52	0.5281181813711153	0.4660807265481402
Feature 53	0.6621498027456763	0.31234124303411515
Feature 54	0.17459528578663477	0.9238030706031419
Feature 55	0.4291192567673331	0.5215980793659923
Feature 56	0.4827418376936202	0.6112064785104335
Feature 57	0.6025623829208903	0.604432035996614
Feature 58	0.5701944041826672	0.48940163627756944
Feature 59	0.773598256884593	0.35098539095203185
Feature 60	0.41246423232673785	0.5924283998755085
Feature 61	0.6550041896244151	0.3847210859461634
Feature 62	0.5571782173103974	0.40235917828143186
Feature 63	0.5459639180687391	0.5267127883819763
Feature 64	0.7308764862559962	0.4492923099973972
Feature 65	0.16877371159772914	0.8560037279346828
Feature 66	0.20697492382186602	0.9287060832049581
Feature 67	0.34189714798977	0.6871433248193185
Feature 68	0.6444112146446589	0.49823216352149113
Feature 69	0.5924465575595514	0.5085016703532614
Feature 70	0.5367040426323477	0.49905922812664755
Feature 71	0.4715427657503023	0.6681372973349741
Feature 72	0.466941176194751	0.45858160872386083
Feature 73	0.2876839586105035	0.7397254625506333
Feature 74	0.08676841523290069	1.1180812725896874
Feature 75	0.7119695397457441	0.3896839135802423
Feature 76	0.5934054616843776	0.4003273670715285
Feature 77	0.3651602207618832	0.8425296446417879
Feature 78	0.731868516322628	0.3434270708087266
Feature 79	0.6337166074863265	0.41561115461281456
