	gene.list	gene.scores
1	MYC	0.664350003
2	NOB1	0.53811286
3	LOC100507246	0.51567081
4	EFTUD2	0.515561959
5	MYBBP1A	0.508181476
6	RRP9	0.49825039
7	TCOF1	0.494282895
8	NOP16	0.488344429
9	DDN	0.486397961
10	TRMT1	0.484620708
11	TTLL12	0.477894871
12	KIAA0664	0.476942057
13	RABEPK	0.476227105
14	MRPS2	0.474892536
15	SNORA64	0.474511092
16	POLR1B	0.47285657
17	TRAP1	0.470827229
18	MINA	0.470265197
19	RBM28	0.468591405
20	C10orf2	0.467764198
21	HMGA1	0.46743744
22	PUS1	0.463572057
23	WDR74	0.463234564
24	C3orf26	0.459513528
25	SLC19A1	0.453853353
26	GEMIN5	0.45318859
27	GEMIN4	0.451432533
28	PES1	0.448198178
29	RCC1	0.447186068
30	HEATR1	0.44575525
31	TOP1MT	0.444254009
32	EIF3B	0.441892626
33	ADAT2	0.441616787
34	NOLC1	0.44144903
35	LYAR	0.441104727
36	C1QBP	0.439162197
37	WDR3	0.438750078
38	SNHG4	0.438402921
39	SDCCAG3	0.437683079
40	TAF4B	0.436738065
41	CPNE7	0.436199258
42	PPAN	0.434661019
43	TBRG4	0.434574594
44	TBL3	0.432993324
45	LOC100128881	0.432632841
46	POLR3G	0.430376327
47	MCCC2	0.430075677
48	MRPL12	0.429171565
49	NOC2L	0.428425775
50	SIGMAR1	0.426135524
51	C12orf45	0.425867564
52	TUFM	0.425188961
53	IMPDH1	0.425155724
54	GRPEL1	0.424845141
55	SNORD104	0.42443451
56	GATAD2A	0.42420387
57	BCS1L	0.423284437
58	C12orf11	0.42242785
59	ZNF169	0.422299466
60	MRPL4	0.42166131
61	SNHG3	0.421453097
62	PUS7	0.420153184
63	SLC6A8	0.419328077
64	KARS	0.417405174
65	MRPS27	0.416205142
66	RUVBL1	0.413429107
67	EIF2A	0.412790276
68	ZNF598	0.412429986
69	BYSL	0.411837086
70	DIMT1	0.410707768
71	DDX21	0.410508053
72	MRPS9	0.409593719
73	HSP90AB1	0.409317912
74	MRPS5	0.40917006
75	MRPS30	0.408424065
76	SLC29A1	0.408416232
77	CLCN2	0.408317075
78	NLE1	0.405550407
79	KLF16	0.40453836
80	CIRH1A	0.403333061
81	ABCF2	0.402528016
82	WDR12	0.402343561
83	NMD3	0.40156269
84	PTRH2	0.400837697
85	AATF	0.399999179
86	TRIM65	0.398723581
87	GNB2L1	0.398032623
