Gene	Score
MYC	0.664350003
NOB1	0.53811286
LOC100507246	0.51567081
EFTUD2	0.515561959
MYBBP1A	0.508181476
RRP9	0.49825039
TCOF1	0.494282895
NOP16	0.48834442899999997
DDN	0.486397961
TRMT1	0.48462070799999996
TTLL12	0.477894871
KIAA0664	0.47694205700000003
RABEPK	0.476227105
MRPS2	0.47489253600000003
SNORA64	0.474511092
POLR1B	0.47285657
TRAP1	0.47082722899999996
MINA	0.470265197
RBM28	0.468591405
C10orf2	0.46776419799999996
HMGA1	0.46743744
PUS1	0.46357205700000004
WDR74	0.46323456399999996
C3orf26	0.45951352799999995
SLC19A1	0.45385335299999996
GEMIN5	0.45318859
GEMIN4	0.45143253299999997
PES1	0.44819817799999995
RCC1	0.447186068
HEATR1	0.44575525
TOP1MT	0.444254009
EIF3B	0.441892626
ADAT2	0.441616787
NOLC1	0.44144903
LYAR	0.44110472700000003
C1QBP	0.43916219700000003
WDR3	0.438750078
SNHG4	0.438402921
SDCCAG3	0.437683079
TAF4B	0.436738065
CPNE7	0.436199258
PPAN	0.434661019
TBRG4	0.434574594
TBL3	0.432993324
LOC100128881	0.432632841
POLR3G	0.430376327
MCCC2	0.43007567700000005
MRPL12	0.429171565
NOC2L	0.428425775
SIGMAR1	0.426135524
C12orf45	0.425867564
TUFM	0.42518896100000003
IMPDH1	0.425155724
GRPEL1	0.42484514100000004
SNORD104	0.42443451
GATAD2A	0.42420387
BCS1L	0.423284437
C12orf11	0.42242785
ZNF169	0.422299466
MRPL4	0.42166131
SNHG3	0.42145309700000005
PUS7	0.42015318399999996
SLC6A8	0.419328077
KARS	0.417405174
MRPS27	0.41620514200000003
RUVBL1	0.413429107
EIF2A	0.412790276
ZNF598	0.412429986
BYSL	0.411837086
DIMT1	0.410707768
DDX21	0.410508053
MRPS9	0.40959371899999997
HSP90AB1	0.409317912
MRPS5	0.40917006
MRPS30	0.408424065
SLC29A1	0.40841623200000005
CLCN2	0.408317075
NLE1	0.40555040700000006
KLF16	0.40453836
CIRH1A	0.403333061
ABCF2	0.402528016
WDR12	0.402343561
NMD3	0.40156269
PTRH2	0.40083769700000005
AATF	0.399999179
TRIM65	0.398723581
GNB2L1	0.398032623
THRSP	0.39743723799999997
DHX37	0.39727520299999997
TMEM161A	0.39717582100000004
CAMKV	0.396563943
WDR43	0.396027271
PMPCA	0.394985245
METTL11A	0.394864185
COX10	0.394013424
AANAT	0.39390979
NAT10	0.39383654700000004
PPPDE2	0.39360777
FKBP4	0.392938092
PLTP	0.39176779700000003
DUSP7	0.39154063
TYRO3	0.391293469
UBE2O	0.39128547
RPL4	0.390891517
SCARB1	0.390671506
MRM1	0.38986255200000003
WDR46	0.38934936600000003
GNL3	0.38880044
TMEM177	0.387688195
PGAM5	0.38721689200000003
P2RX5	0.386975615
TSR1	0.386785472
ACCN2	0.385257295
ANKLE1	0.38514676700000006
ATIC	0.384727372
AHCY	0.38428969
TEX10	0.38381287299999994
IMP4	0.383234365
PFKM	0.383224021
TGIF2	0.382976166
RFT1	0.38164738600000003
IFRD2	0.38084400399999996
ZNF593	0.38075722799999995
DCAF4	0.38046236200000005
DNAJC2	0.379331916
ATP1B3	0.37920948
PEX5	0.37875657100000004
CTU2	0.376680571
IMPDH2	0.376556434
FBL	0.37643503799999994
PTGES2	0.37612714700000005
LRFN1	0.375723136
MARS2	0.375192167
RPUSD1	0.37506461799999996
TBKBP1	0.37461467299999995
RPF2	0.374599168
ALG3	0.373786119
MRPL16	0.373659005
WDR59	0.37305114899999997
RPL13	0.372926217
HARS	0.372527679
LRPPRC	0.372114426
NPM1	0.37176319
PHB2	0.371545109
ZNF276	0.371391267
KATNB1	0.37097316399999997
12-Sep	0.370908609
USP10	0.370520924
NCL	0.370452537
CGREF1	0.36952788
CDK6	0.36936407200000004
RRP12	0.36883202200000004
ABCC4	0.36878109600000003
GLUD1	0.36877603
PDIA5	0.36846668899999996
NIP7	0.367912051
MRPS22	0.36771265200000003
MRPL3	0.367703711
TRUB2	0.367516199
PRRG3	0.367184581
CHCHD6	0.367135416
PFAS	0.366536994
NOP14	0.366270626
CNBP	0.365818624
CCT7	0.36565840299999997
DHX38	0.36551776
ORC2	0.364866126
ANKRD13B	0.364767945
C7orf40	0.364601535
TMED8	0.363421125
DDX10	0.363351694
RPL38	0.362699757
CCDC86	0.362046607
TGM6	0.36149955899999997
PNO1	0.360501512
NEIL2	0.360484701
LTA4H	0.360330569
PPM1G	0.360108221
CDKL1	0.359780638
NUP93	0.35942480299999996
HK2	0.359315337
SRPK1	0.35894824700000005
PNPT1	0.35879335700000003
PDCD11	0.358561303
RUVBL2	0.358534385
PPIF	0.358336576
MRPS17	0.35808211100000004
EXOSC7	0.35796706899999997
MTHFD1L	0.357888263
WDR36	0.357792192
C7orf33	0.35778637799999996
RPL23	0.35762736700000003
EIF4G1	0.357095379
CARM1	0.35709503299999995
RGS10	0.35618213299999996
NCLN	0.356121239
ADAMTS8	0.356075531
FAM98A	0.35590213600000004
PVT1	0.355651565
